stat, rank, value, (percentage) 
minecraft.crafted.red_wool: #1, 4124(49%)
minecraft.picked_up.lava_bucket: #1, 547(60%)
minecraft.picked_up.red_mushroom_block: #1, 19593(34%)
minecraft.picked_up.exposed_cut_copper: #1, 93(54%)
minecraft.mined.red_mushroom_block: #1, 25251(33%)
minecraft.mined.mangrove_log: #1, 4134(37%)
minecraft.picked_up.mossy_stone_brick_slab: #1, 112(50%)
minecraft.mined.exposed_cut_copper: #1, 81(54%)
minecraft.dropped.mangrove_leaves: #1, 1472(72%)
minecraft.crafted.red_banner: #1, 1057(42%)
minecraft.mined.exposed_copper: #1, 693(30%)
minecraft.dropped.red_mushroom: #1, 307(28%)
minecraft.crafted.diamond: #1, 7407(20%)
minecraft.dropped.charcoal: #1, 249(40%)
minecraft.picked_up.exposed_copper: #1, 693(26%)
minecraft.dropped.suspicious_stew: #1, 179(45%)
minecraft.dropped.mossy_stone_brick_slab: #1, 92(61%)
minecraft.picked_up.respawn_anchor: #1, 35(67%)
minecraft.used.exposed_copper: #1, 340(25%)
minecraft.picked_up.mangrove_leaves: #1, 16577(28%)
minecraft.picked_up.suspicious_stew: #1, 59(26%)
minecraft.mined.respawn_anchor: #1, 27(63%)
minecraft.mined.red_mushroom: #1, 413(29%)
minecraft.used.exposed_cut_copper_stairs: #1, 175(54%)
minecraft.mined.mangrove_leaves: #2, 17466(28%)
minecraft.crafted.shield: #1, 51(19%)
minecraft.mined.cut_copper: #1, 129(20%)
minecraft.mined.polished_blackstone: #1, 446(19%)
minecraft.used.mushroom_stem: #2, 6915(25%)
minecraft.picked_up.mossy_cobblestone_wall: #1, 65(36%)
minecraft.picked_up.red_mushroom: #2, 1751(19%)
minecraft.used.diamond_block: #2, 812(19%)
minecraft.dropped.red_carpet: #1, 102(27%)
minecraft.crafted.pumpkin_pie: #2, 13367(31%)
minecraft.used.red_mushroom: #2, 1630(29%)
minecraft.crafted.pumpkin_seeds: #1, 320(28%)
minecraft.crafted.white_bed: #3, 181(19%)
minecraft.crafted.suspicious_stew: #1, 129(32%)
minecraft.dropped.cooked_beef: #1, 259(17%)
minecraft.picked_up.mangrove_log: #2, 4105(17%)
minecraft.mined.weathered_cut_copper_stairs: #1, 13(43%)
minecraft.dropped.light_blue_shulker_box: #2, 72(33%)
minecraft.used.carrot: #3, 5056(17%)
minecraft.picked_up.weathered_cut_copper_stairs: #1, 12(35%)
minecraft.used.red_banner: #2, 250(20%)
minecraft.picked_up.black_bed: #2, 152(21%)
minecraft.mined.stripped_mangrove_log: #2, 2025(19%)
minecraft.picked_up.stripped_mangrove_log: #2, 2023(18%)
minecraft.mined.black_bed: #2, 146(21%)
minecraft.dropped.glowstone: #2, 566(25%)
minecraft.picked_up.cut_copper: #2, 128(16%)
minecraft.dropped.exposed_cut_copper: #1, 12(75%)
minecraft.used.deepslate_bricks: #2, 11738(11%)
minecraft.dropped.globe_banner_pattern: #1, 15(68%)
minecraft.used.black_bed: #2, 149(20%)
minecraft.used.deepslate_tile_slab: #3, 3700(16%)
minecraft.dropped.acacia_fence: #1, 4(67%)
minecraft.used.weathered_copper: #3, 232(19%)
minecraft.used.chipped_anvil: #2, 32(13%)
minecraft.used.damaged_anvil: #2, 22(13%)
minecraft.dropped.deepslate_bricks: #2, 526(17%)
minecraft.broken.shears: #2, 46(11%)
minecraft.mined.gray_wall_banner: #1, 20(45%)
minecraft.mined.black_stained_glass: #2, 659(13%)
minecraft.crafted.bucket: #3, 1163(12%)
minecraft.mined.damaged_anvil: #2, 23(12%)
minecraft.used.stripped_mangrove_log: #2, 1986(21%)
minecraft.used.mangrove_log: #3, 2726(15%)
minecraft.dropped.purple_shulker_box: #1, 3(43%)
minecraft.crafted.light_blue_concrete: #1, 128(34%)
minecraft.used.shears: #2, 20732(10%)
minecraft.dropped.jungle_leaves: #2, 107(27%)
minecraft.mined.stripped_mangrove_wood: #2, 156(20%)
minecraft.dropped.netherite_ingot: #2, 12(17%)
minecraft.picked_up.stripped_mangrove_wood: #2, 147(19%)
minecraft.used.light_blue_dye: #2, 19(17%)
minecraft.picked_up.damaged_anvil: #2, 25(11%)
minecraft.mined.potted_red_mushroom: #1, 2(50%)
minecraft.dropped.lime_shulker_box: #1, 2(25%)
minecraft.picked_up.globe_banner_pattern: #1, 15(75%)
minecraft.used.red_concrete_powder: #2, 3083(10%)
minecraft.used.mycelium: #2, 1232(29%)
minecraft.dropped.coal_block: #2, 62(18%)
minecraft.dropped.azalea: #2, 195(10%)
minecraft.dropped.music_disc_wait: #2, 9(22%)
minecraft.mined.spruce_door: #2, 25(10%)
minecraft.picked_up.glowstone: #3, 1567(12%)
minecraft.crafted.crimson_button: #2, 32(16%)
minecraft.dropped.light_weighted_pressure_plate: #2, 268(35%)
minecraft.crafted.yellow_concrete: #2, 248(26%)
minecraft.used.red_concrete: #3, 3169(12%)
minecraft.dropped.music_disc_11: #2, 13(41%)
minecraft.dropped.respawn_anchor: #1, 9(100%)
minecraft.picked_up.dark_oak_button: #3, 126(17%)
minecraft.crafted.golden_leggings: #2, 9(15%)
minecraft.dropped.flowering_azalea: #3, 115(12%)
minecraft.mined.deepslate_tile_slab: #3, 241(13%)
minecraft.picked_up.cooked_beef: #3, 645(11%)
minecraft.used.mossy_stone_brick_wall: #2, 93(16%)
minecraft.crafted.jack_o_lantern: #3, 3328(23%)
minecraft.used.respawn_anchor: #2, 48(15%)
minecraft.picked_up.red_concrete: #4, 3064(13%)
