stat, rank, value, (percentage) 
minecraft.picked_up.carved_pumpkin: #1, 10565(39%)
minecraft.mined.polished_diorite: #1, 2277(75%)
minecraft.mined.packed_ice: #1, 136386(51%)
minecraft.picked_up.packed_ice: #1, 128627(49%)
minecraft.mined.carved_pumpkin: #1, 9955(46%)
minecraft.mined.acacia_leaves: #1, 19417(57%)
minecraft.used.red_terracotta: #1, 25761(51%)
minecraft.crafted.red_terracotta: #1, 30631(60%)
minecraft.picked_up.pumpkin_seeds: #1, 29654(42%)
minecraft.used.packed_ice: #1, 53010(43%)
minecraft.used.mud: #1, 27491(46%)
minecraft.mined.polished_deepslate_stairs: #1, 1056(52%)
minecraft.used.quartz_slab: #1, 6592(53%)
minecraft.picked_up.polished_diorite: #1, 2276(48%)
minecraft.used.pumpkin: #1, 10590(39%)
minecraft.mined.magenta_glazed_terracotta: #1, 516(68%)
minecraft.used.light_blue_wool: #1, 5289(44%)
minecraft.crafted.blue_ice: #1, 7949(63%)
minecraft.dropped.egg: #1, 4889(37%)
minecraft.used.polished_diorite: #1, 7038(51%)
minecraft.picked_up.pink_bed: #1, 507(68%)
minecraft.used.light_gray_wool: #1, 14593(44%)
minecraft.custom.boat_one_cm: #1, 96733831(25%)
minecraft.mined.spruce_sapling: #1, 274(35%)
minecraft.crafted.magenta_terracotta: #1, 8912(54%)
minecraft.dropped.pumpkin_pie: #1, 2101(33%)
minecraft.picked_up.mud: #1, 31930(35%)
minecraft.used.polished_deepslate: #1, 23029(32%)
minecraft.used.pink_bed: #1, 527(68%)
minecraft.mined.mycelium: #1, 16224(67%)
minecraft.mined.black_glazed_terracotta: #1, 635(79%)
minecraft.mined.polished_deepslate: #1, 3269(33%)
minecraft.used.magenta_glazed_terracotta: #1, 8732(86%)
minecraft.used.gray_wool: #1, 6645(35%)
minecraft.crafted.dark_oak_trapdoor: #1, 5850(28%)
minecraft.killed.tropical_fish: #1, 156(56%)
minecraft.used.polished_deepslate_stairs: #1, 4633(38%)
minecraft.mined.dark_oak_leaves: #1, 17640(32%)
