stat, rank, value, (percentage) 
minecraft.mined.crimson_planks: #3, 141(5%)
minecraft.picked_up.mangrove_planks: #4, 114(7%)
minecraft.used.carrot_on_a_stick: #4, 2(6%)
minecraft.mined.crimson_fence: #5, 4(2%)
minecraft.picked_up.mangrove_slab: #6, 93(5%)
minecraft.mined.mangrove_planks: #6, 44(6%)
minecraft.picked_up.birch_wood: #6, 29(6%)
minecraft.used.crimson_planks: #6, 341(3%)
minecraft.mined.crimson_wall_sign: #7, 1(4%)
minecraft.mined.stripped_birch_wood: #7, 20(1%)
minecraft.used.birch_wood: #7, 30(1%)
minecraft.picked_up.stripped_birch_wood: #7, 20(1%)
minecraft.picked_up.crimson_fence: #7, 3(1%)
minecraft.used.light_gray_terracotta: #8, 114(1%)
minecraft.dropped.powder_snow_bucket: #8, 1(2%)
minecraft.custom.pig_one_cm: #9, 75886(3%)
minecraft.mined.birch_wood: #9, 2(2%)
minecraft.used.crimson_fence: #9, 21(1%)
minecraft.dropped.spectral_arrow: #9, 26(0%)
minecraft.picked_up.crimson_planks: #10, 136(3%)
minecraft.mined.powder_snow: #11, 61(3%)
minecraft.crafted.birch_stairs: #11, 40(2%)
minecraft.picked_up.black_dye: #11, 26(1%)
minecraft.used.crimson_sign: #11, 3(0%)
minecraft.dropped.iron_shovel: #12, 3(2%)
minecraft.mined.dark_oak_sign: #12, 2(3%)
minecraft.picked_up.mangrove_log: #12, 277(1%)
minecraft.picked_up.carrot_on_a_stick: #12, 1(2%)
minecraft.mined.lime_concrete: #12, 65(1%)
minecraft.dropped.lantern: #12, 8(0%)
minecraft.dropped.warped_fungus: #12, 2(0%)
minecraft.picked_up.lime_concrete: #13, 63(0%)
minecraft.mined.green_concrete_powder: #13, 9(0%)
minecraft.crafted.crimson_sign: #13, 3(0%)
minecraft.crafted.green_bed: #14, 1(2%)
minecraft.picked_up.crimson_sign: #14, 1(1%)
minecraft.mined.white_wall_banner: #14, 1(1%)
minecraft.picked_up.powder_snow_bucket: #14, 1(0%)
minecraft.used.mangrove_planks: #15, 44(1%)
minecraft.dropped.azalea: #15, 8(0%)
minecraft.mined.light_gray_terracotta: #15, 20(0%)
minecraft.used.lime_concrete: #15, 1(0%)
minecraft.mined.dark_oak_slab: #16, 46(2%)
minecraft.broken.iron_axe: #16, 2(2%)
minecraft.crafted.iron_shovel: #16, 5(1%)
minecraft.crafted.mangrove_slab: #16, 36(1%)
minecraft.picked_up.dark_oak_slab: #16, 57(1%)
minecraft.used.nether_wart_block: #16, 21(0%)
minecraft.used.lime_concrete_powder: #16, 65(0%)
minecraft.mined.crimson_fungus: #16, 6(0%)
minecraft.crafted.birch_wood: #16, 9(0%)
minecraft.mined.green_terracotta: #16, 18(0%)
minecraft.picked_up.spectral_arrow: #16, 28(0%)
minecraft.used.green_terracotta: #16, 53(0%)
minecraft.picked_up.green_concrete_powder: #16, 9(0%)
minecraft.dropped.iron_helmet: #17, 1(1%)
minecraft.mined.lime_concrete_powder: #17, 1(1%)
minecraft.used.birch_stairs: #17, 5(0%)
minecraft.used.birch_slab: #17, 3(0%)
minecraft.dropped.crimson_roots: #17, 2(0%)
minecraft.used.iron_axe: #18, 600(2%)
minecraft.used.snowball: #18, 67(1%)
minecraft.mined.spruce_door: #18, 3(1%)
minecraft.used.iron_boots: #18, 1(1%)
minecraft.mined.dark_oak_trapdoor: #18, 18(1%)
minecraft.used.dark_oak_slab: #18, 186(1%)
minecraft.picked_up.iron_axe: #18, 2(0%)
minecraft.mined.lime_terracotta: #18, 14(0%)
minecraft.picked_up.light_gray_terracotta: #18, 19(0%)
minecraft.picked_up.lime_concrete_powder: #18, 1(0%)
minecraft.picked_up.netherite_ingot: #19, 1(1%)
minecraft.used.chorus_fruit: #19, 2(1%)
minecraft.crafted.birch_slab: #19, 42(0%)
minecraft.used.dark_oak_trapdoor: #19, 47(0%)
minecraft.used.lime_terracotta: #19, 123(0%)
minecraft.picked_up.green_terracotta: #19, 18(0%)
minecraft.dropped.white_banner: #19, 1(0%)
minecraft.picked_up.iron_shovel: #20, 3(2%)
minecraft.picked_up.spruce_door: #20, 3(1%)
minecraft.used.iron_shovel: #20, 554(1%)
minecraft.used.shroomlight: #20, 14(0%)
minecraft.picked_up.spore_blossom: #20, 2(0%)
minecraft.dropped.iron_leggings: #20, 1(0%)
minecraft.used.mangrove_slab: #20, 4(0%)
minecraft.used.cooked_cod: #20, 1(0%)
