stat, rank, value, (percentage) 
minecraft.mined.potted_pink_tulip: #1, 1(100%)
minecraft.mined.polished_diorite_stairs: #3, 15(14%)
minecraft.dropped.smooth_quartz_slab: #3, 60(12%)
minecraft.picked_up.warped_door: #3, 7(13%)
minecraft.picked_up.acacia_door: #3, 6(16%)
minecraft.used.birch_door: #3, 4(6%)
minecraft.mined.birch_door: #3, 2(14%)
minecraft.picked_up.birch_door: #4, 2(2%)
minecraft.dropped.stripped_warped_stem: #4, 8(1%)
minecraft.dropped.dark_oak_fence: #5, 64(5%)
minecraft.crafted.polished_diorite_stairs: #5, 24(5%)
minecraft.dropped.green_bed: #5, 1(9%)
minecraft.picked_up.yellow_banner: #5, 6(7%)
minecraft.picked_up.polished_diorite_stairs: #5, 16(4%)
minecraft.mined.yellow_wall_banner: #5, 3(6%)
minecraft.used.polished_diorite_stairs: #5, 30(2%)
minecraft.used.lead: #6, 4(5%)
minecraft.dropped.oak_sign: #6, 26(5%)
minecraft.crafted.oxidized_cut_copper: #6, 128(5%)
minecraft.used.warped_door: #6, 6(5%)
minecraft.mined.warped_door: #6, 3(8%)
minecraft.dropped.blue_concrete_powder: #6, 13(5%)
minecraft.used.acacia_door: #6, 1(2%)
minecraft.mined.lime_carpet: #6, 5(0%)
minecraft.crafted.lime_carpet: #6, 6(0%)
minecraft.picked_up.acacia_planks: #7, 96(3%)
minecraft.picked_up.cartography_table: #7, 9(3%)
minecraft.picked_up.jungle_slab: #7, 52(3%)
minecraft.picked_up.jungle_planks: #7, 172(2%)
minecraft.used.mushroom_stem: #7, 404(1%)
minecraft.picked_up.flower_pot: #8, 66(2%)
minecraft.crafted.leather_helmet: #8, 4(4%)
minecraft.crafted.warped_door: #8, 6(3%)
minecraft.crafted.oxidized_cut_copper_stairs: #8, 24(2%)
minecraft.crafted.birch_door: #8, 3(2%)
minecraft.mined.acacia_sign: #8, 1(2%)
minecraft.mined.ochre_froglight: #8, 22(1%)
minecraft.picked_up.stripped_acacia_log: #8, 26(1%)
minecraft.crafted.acacia_door: #8, 3(1%)
minecraft.used.stripped_birch_log: #8, 19(0%)
minecraft.mined.yellow_carpet: #8, 7(0%)
minecraft.used.lime_carpet: #8, 5(0%)
minecraft.picked_up.pumpkin_pie: #9, 451(3%)
minecraft.picked_up.sea_lantern: #9, 256(3%)
minecraft.picked_up.bookshelf: #9, 56(2%)
minecraft.used.coal_block: #9, 42(1%)
minecraft.mined.stripped_acacia_log: #9, 21(1%)
minecraft.used.birch_pressure_plate: #9, 2(2%)
minecraft.mined.polished_diorite: #9, 20(1%)
minecraft.crafted.birch_pressure_plate: #9, 2(1%)
minecraft.picked_up.diorite_wall: #9, 4(0%)
minecraft.mined.jack_o_lantern: #9, 5(0%)
minecraft.used.stripped_acacia_log: #9, 2(0%)
minecraft.picked_up.lime_carpet: #9, 11(0%)
minecraft.picked_up.smooth_quartz_slab: #10, 120(3%)
minecraft.dropped.jungle_planks: #10, 19(2%)
minecraft.picked_up.quartz_stairs: #10, 10(1%)
minecraft.mined.warped_stairs: #10, 13(1%)
minecraft.picked_up.quartz_block: #10, 266(1%)
minecraft.used.yellow_banner: #10, 3(1%)
minecraft.crafted.yellow_banner: #10, 3(1%)
minecraft.crafted.yellow_bed: #10, 1(0%)
minecraft.picked_up.jack_o_lantern: #10, 5(0%)
minecraft.used.yellow_carpet: #10, 22(0%)
minecraft.picked_up.yellow_carpet: #10, 9(0%)
minecraft.picked_up.iron_shovel: #11, 7(4%)
minecraft.picked_up.painting: #11, 41(3%)
minecraft.used.painting: #11, 49(2%)
minecraft.mined.birch_stairs: #11, 6(2%)
minecraft.picked_up.polished_diorite: #11, 60(1%)
minecraft.picked_up.warped_stem: #11, 327(1%)
minecraft.crafted.quartz_stairs: #11, 12(1%)
minecraft.picked_up.ochre_froglight: #11, 22(1%)
minecraft.crafted.leather_leggings: #11, 4(1%)
minecraft.crafted.leather_chestplate: #11, 4(0%)
minecraft.dropped.anvil: #11, 1(0%)
minecraft.crafted.diorite_wall: #11, 6(0%)
minecraft.used.raw_gold_block: #11, 5(0%)
minecraft.used.jack_o_lantern: #11, 5(0%)
minecraft.picked_up.composter: #12, 64(3%)
minecraft.picked_up.blue_concrete_powder: #12, 37(3%)
minecraft.picked_up.loom: #12, 6(2%)
minecraft.picked_up.lime_wool: #12, 60(1%)
minecraft.picked_up.warped_trapdoor: #12, 17(1%)
minecraft.picked_up.warped_stairs: #12, 16(1%)
minecraft.picked_up.birch_stairs: #12, 6(1%)
minecraft.mined.lime_terracotta: #12, 41(0%)
minecraft.dropped.snow_block: #12, 64(0%)
minecraft.crafted.oxidized_cut_copper_slab: #12, 6(0%)
minecraft.mined.raw_gold_block: #12, 1(0%)
minecraft.used.pink_carpet: #12, 3(0%)
minecraft.used.blue_terracotta: #12, 3(0%)
minecraft.dropped.green_dye: #12, 1(0%)
minecraft.picked_up.birch_fence: #13, 54(2%)
minecraft.crafted.painting: #13, 6(1%)
minecraft.used.warped_stem: #13, 329(1%)
minecraft.crafted.cyan_carpet: #13, 24(1%)
minecraft.used.birch_stairs: #13, 16(1%)
minecraft.used.ochre_froglight: #13, 61(1%)
minecraft.used.polished_diorite: #13, 71(1%)
minecraft.used.cyan_carpet: #13, 19(1%)
minecraft.crafted.leather_boots: #13, 4(0%)
minecraft.dropped.salmon: #13, 6(0%)
minecraft.picked_up.stripped_warped_stem: #13, 38(0%)
minecraft.mined.stripped_warped_stem: #13, 39(0%)
minecraft.picked_up.cyan_carpet: #13, 7(0%)
minecraft.mined.light_gray_concrete_powder: #13, 10(0%)
minecraft.picked_up.warped_slab: #13, 7(0%)
minecraft.crafted.yellow_carpet: #13, 18(0%)
minecraft.used.stripped_warped_stem: #13, 12(0%)
minecraft.used.white_carpet: #13, 36(0%)
minecraft.picked_up.pink_dye: #13, 1(0%)
minecraft.picked_up.stripped_mangrove_log: #13, 4(0%)
minecraft.crafted.pink_carpet: #13, 3(0%)
minecraft.picked_up.pink_tulip: #13, 1(0%)
minecraft.picked_up.diamond_helmet: #14, 8(2%)
minecraft.picked_up.dark_oak_fence: #14, 64(2%)
minecraft.used.acacia_log: #14, 95(1%)
minecraft.used.birch_slab: #14, 29(1%)
minecraft.used.mangrove_log: #14, 81(0%)
minecraft.picked_up.lime_terracotta: #14, 41(0%)
minecraft.mined.cyan_carpet: #14, 3(0%)
minecraft.used.oxidized_cut_copper_stairs: #14, 18(0%)
minecraft.used.quartz_block: #14, 61(0%)
minecraft.mined.white_carpet: #14, 11(0%)
minecraft.mined.quartz_block: #14, 10(0%)
minecraft.mined.warped_slab: #14, 1(0%)
minecraft.dropped.diamond_axe: #15, 4(2%)
minecraft.dropped.iron_shovel: #15, 2(2%)
minecraft.broken.iron_axe: #15, 2(2%)
minecraft.crafted.lead: #15, 8(1%)
minecraft.used.smoker: #15, 1(1%)
minecraft.mined.red_tulip: #15, 1(1%)
minecraft.crafted.quartz_slab: #15, 12(0%)
minecraft.used.warped_stairs: #15, 13(0%)
minecraft.crafted.white_banner: #15, 2(0%)
minecraft.mined.blue_terracotta: #15, 3(0%)
minecraft.picked_up.blue_terracotta: #15, 3(0%)
minecraft.mined.stripped_mangrove_log: #15, 2(0%)
minecraft.used.jungle_planks: #15, 3(0%)
minecraft.used.gray_terracotta: #15, 3(0%)
minecraft.used.iron_axe: #16, 698(2%)
minecraft.picked_up.oak_sign: #16, 26(1%)
minecraft.picked_up.oak_pressure_plate: #16, 1(2%)
minecraft.picked_up.cookie: #16, 15(1%)
minecraft.used.stripped_crimson_stem: #16, 11(1%)
minecraft.used.diamond_leggings: #16, 2(1%)
minecraft.picked_up.warped_planks: #16, 79(1%)
minecraft.used.birch_trapdoor: #16, 13(1%)
minecraft.crafted.birch_stairs: #16, 16(1%)
minecraft.mined.oxidized_cut_copper_stairs: #16, 5(1%)
minecraft.crafted.smoker: #16, 1(0%)
minecraft.mined.warped_trapdoor: #16, 4(0%)
minecraft.crafted.warped_trapdoor: #16, 18(0%)
