stat, rank, value, (percentage) 
minecraft.killed.donkey: #2, 1(25%)
minecraft.dropped.red_glazed_terracotta: #2, 38(23%)
minecraft.picked_up.light_gray_bed: #3, 44(2%)
minecraft.mined.light_gray_bed: #3, 40(2%)
minecraft.used.light_gray_bed: #3, 39(2%)
minecraft.dropped.dark_oak_stairs: #3, 32(2%)
minecraft.used.mutton: #4, 4(7%)
minecraft.picked_up.lime_concrete_powder: #5, 64(8%)
minecraft.dropped.light_gray_bed: #4, 1(7%)
minecraft.dropped.red_shulker_box: #5, 3(3%)
minecraft.used.chiseled_sandstone: #5, 15(3%)
minecraft.picked_up.purple_concrete_powder: #5, 13(2%)
minecraft.picked_up.blue_concrete_powder: #6, 54(4%)
minecraft.used.chiseled_quartz_block: #6, 55(5%)
minecraft.used.oxidized_cut_copper_slab: #6, 228(2%)
minecraft.dropped.raw_gold_block: #6, 1(1%)
minecraft.killed.horse: #7, 9(4%)
minecraft.picked_up.red_glazed_terracotta: #7, 38(5%)
minecraft.crafted.oxidized_cut_copper_slab: #7, 80(3%)
minecraft.picked_up.blue_ice: #7, 212(2%)
minecraft.dropped.raw_gold: #7, 18(2%)
minecraft.picked_up.mangrove_boat: #7, 1(2%)
minecraft.used.mangrove_boat: #7, 1(2%)
minecraft.dropped.smooth_quartz: #7, 4(1%)
minecraft.dropped.mangrove_slab: #7, 2(1%)
minecraft.picked_up.brown_concrete_powder: #8, 63(6%)
minecraft.dropped.smooth_quartz_slab: #8, 30(6%)
minecraft.dropped.sea_lantern: #8, 64(2%)
minecraft.picked_up.leather_horse_armor: #8, 1(1%)
minecraft.used.raw_gold_block: #8, 15(0%)
minecraft.picked_up.snow: #9, 1592(3%)
minecraft.used.diamond_boots: #9, 6(3%)
minecraft.picked_up.lantern: #9, 133(2%)
minecraft.used.oxidized_cut_copper: #9, 63(2%)
minecraft.dropped.spruce_leaves: #9, 64(2%)
minecraft.dropped.chorus_fruit: #9, 44(2%)
minecraft.dropped.beef: #9, 17(1%)
minecraft.used.birch_leaves: #9, 200(1%)
minecraft.picked_up.spruce_leaves: #10, 2032(3%)
minecraft.used.diamond_leggings: #10, 5(2%)
minecraft.used.spruce_leaves: #10, 978(2%)
minecraft.picked_up.mangrove_fence: #10, 4(2%)
minecraft.used.granite_slab: #10, 49(1%)
minecraft.dropped.sunflower: #10, 6(1%)
minecraft.dropped.white_concrete_powder: #10, 1(0%)
minecraft.picked_up.oak_sign: #11, 76(3%)
minecraft.used.snow: #11, 843(1%)
minecraft.killed.snow_golem: #11, 2(2%)
minecraft.dropped.coal: #11, 86(1%)
minecraft.used.quartz_stairs: #11, 25(1%)
minecraft.picked_up.blue_concrete: #11, 15(1%)
minecraft.mined.mangrove_fence: #11, 2(1%)
minecraft.picked_up.light_gray_concrete_powder: #11, 64(0%)
minecraft.mined.diorite_wall: #11, 1(0%)
minecraft.mined.cyan_wool: #11, 3(0%)
minecraft.used.jungle_slab: #11, 16(0%)
minecraft.picked_up.cyan_wool: #11, 3(0%)
minecraft.dropped.diamond_leggings: #12, 5(2%)
minecraft.picked_up.acacia_button: #12, 2(4%)
minecraft.mined.spruce_leaves: #12, 1507(1%)
minecraft.picked_up.diamond_hoe: #12, 6(2%)
minecraft.dropped.dark_oak_sapling: #12, 21(1%)
minecraft.used.chicken: #12, 1(1%)
minecraft.dropped.dark_oak_sign: #12, 2(1%)
minecraft.mined.blue_concrete: #12, 15(1%)
minecraft.picked_up.granite_slab: #12, 6(0%)
minecraft.mined.oxidized_cut_copper_slab: #12, 4(0%)
minecraft.picked_up.white_dye: #13, 112(3%)
minecraft.dropped.diamond_hoe: #13, 1(2%)
minecraft.used.chorus_fruit: #13, 3(1%)
minecraft.picked_up.warped_stairs: #13, 12(1%)
minecraft.used.smooth_quartz_slab: #13, 109(1%)
minecraft.used.quartz_pillar: #13, 59(1%)
minecraft.mined.warped_fence: #13, 4(1%)
minecraft.crafted.light_blue_stained_glass_pane: #13, 16(1%)
minecraft.mined.granite_slab: #13, 6(0%)
minecraft.mined.quartz_pillar: #13, 5(0%)
minecraft.picked_up.oxidized_cut_copper_slab: #13, 5(0%)
minecraft.picked_up.white_concrete_powder: #13, 65(0%)
minecraft.mined.acacia_planks: #13, 3(0%)
minecraft.picked_up.diorite_wall: #13, 1(0%)
minecraft.picked_up.raw_gold_block: #13, 2(0%)
minecraft.crafted.air: #13, 0(0%)
minecraft.dropped.diamond_boots: #14, 5(3%)
minecraft.used.crossbow: #14, 21(2%)
minecraft.dropped.pumpkin_pie: #14, 59(1%)
minecraft.picked_up.birch_leaves: #14, 508(1%)
minecraft.crafted.smooth_quartz: #14, 248(1%)
minecraft.used.smooth_quartz: #14, 185(1%)
minecraft.used.cooked_porkchop: #14, 176(0%)
minecraft.used.blue_concrete: #14, 15(1%)
minecraft.picked_up.acacia_boat: #14, 1(1%)
minecraft.used.white_terracotta: #14, 83(0%)
minecraft.dropped.enchanted_book: #14, 5(0%)
minecraft.used.light_blue_stained_glass_pane: #14, 6(0%)
minecraft.killed.vex: #14, 1(0%)
minecraft.used.cyan_wool: #14, 21(0%)
minecraft.crafted.jungle_slab: #14, 18(0%)
minecraft.mined.oxidized_cut_copper: #14, 1(0%)
minecraft.used.warped_wart_block: #14, 28(0%)
minecraft.used.diorite_wall: #14, 5(0%)
minecraft.picked_up.black_concrete_powder: #14, 30(0%)
minecraft.mined.raw_gold_block: #14, 1(0%)
minecraft.picked_up.warped_planks: #15, 121(1%)
minecraft.used.soul_lantern: #15, 24(1%)
minecraft.used.spruce_fence_gate: #15, 25(1%)
minecraft.picked_up.sea_lantern: #15, 64(1%)
minecraft.picked_up.smooth_quartz_slab: #15, 32(1%)
minecraft.crafted.raw_gold_block: #15, 20(1%)
minecraft.mined.yellow_terracotta: #15, 84(1%)
minecraft.used.yellow_terracotta: #15, 79(0%)
minecraft.used.stripped_spruce_log: #15, 39(0%)
minecraft.used.warped_fence: #15, 7(0%)
minecraft.crafted.soul_torch: #15, 24(0%)
minecraft.used.terracotta: #15, 51(0%)
minecraft.mined.warped_stairs: #15, 2(0%)
minecraft.picked_up.oxidized_cut_copper: #15, 1(0%)
minecraft.dropped.yellow_terracotta: #15, 1(0%)
minecraft.mined.warped_slab: #15, 1(0%)
minecraft.mined.jungle_planks: #15, 2(0%)
minecraft.picked_up.dark_oak_stairs: #16, 33(1%)
minecraft.crafted.spruce_fence_gate: #16, 24(1%)
minecraft.used.acacia_button: #16, 2(1%)
