stat, rank, value, (percentage) 
minecraft.used.cherry_log: #1, 1265(44%)
minecraft.mined.prismarine_bricks: #2, 3004(37%)
minecraft.picked_up.prismarine_bricks: #1, 3036(28%)
minecraft.mined.stripped_cherry_log: #1, 904(65%)
minecraft.picked_up.stripped_cherry_log: #1, 867(64%)
minecraft.mined.spruce_slab: #1, 2157(24%)
minecraft.crafted.crimson_button: #1, 98(50%)
minecraft.mined.green_wool: #1, 543(38%)
minecraft.mined.carrots: #2, 3578(24%)
minecraft.used.blue_wool: #1, 1026(35%)
minecraft.crafted.arrow: #1, 4384(39%)
minecraft.mined.lime_wool: #2, 481(35%)
minecraft.picked_up.spruce_slab: #1, 2382(18%)
minecraft.crafted.pink_stained_glass: #1, 4528(32%)
minecraft.picked_up.magenta_terracotta: #1, 822(39%)
minecraft.used.stripped_cherry_log: #1, 524(93%)
minecraft.used.diamond_helmet: #1, 32(27%)
minecraft.crafted.cherry_button: #1, 32(89%)
minecraft.mined.prismarine: #2, 1926(25%)
minecraft.crafted.melon: #1, 17668(58%)
minecraft.used.diamond_boots: #1, 32(18%)
minecraft.crafted.prismarine_wall: #1, 120(39%)
minecraft.used.spruce_slab: #1, 6135(13%)
minecraft.mined.dark_oak_log: #2, 26926(15%)
minecraft.used.dark_oak_log: #2, 8324(15%)
minecraft.crafted.purple_terracotta: #1, 2232(20%)
minecraft.used.magenta_terracotta: #1, 665(26%)
minecraft.mined.dark_oak_stairs: #2, 359(15%)
minecraft.crafted.cherry_stairs: #1, 84(41%)
minecraft.crafted.iron_axe: #2, 43(14%)
minecraft.picked_up.dark_oak_leaves: #2, 3206(19%)
minecraft.picked_up.dark_oak_log: #2, 28601(13%)
minecraft.crafted.mangrove_button: #2, 65(25%)
minecraft.crafted.glass: #2, 43375(13%)
minecraft.crafted.cookie: #1, 2592(40%)
minecraft.picked_up.prismarine: #2, 1865(18%)
minecraft.used.dark_oak_door: #1, 39(14%)
minecraft.used.pink_stained_glass: #2, 2858(29%)
minecraft.dropped.stone_axe: #2, 20(16%)
