stat, rank, value, (percentage) 
minecraft.dropped.iron_nugget: #1, 46367(76%)
minecraft.picked_up.gold_nugget: #1, 1725169(74%)
minecraft.crafted.iron_nugget: #1, 255756(68%)
minecraft.custom.damage_dealt: #1, 40928738(44%)
minecraft.crafted.stone_sword: #1, 334(81%)
minecraft.dropped.leather: #1, 4821(72%)
minecraft.dropped.gold_ingot: #1, 22520(85%)
minecraft.picked_up.snowball: #1, 289863(51%)
minecraft.mined.moss_block: #1, 80178(49%)
minecraft.dropped.sweet_berries: #1, 2991(77%)
minecraft.crafted.gold_ingot: #1, 489529(60%)
minecraft.picked_up.iron_ingot: #1, 29636(46%)
minecraft.dropped.potato: #1, 2741(72%)
minecraft.crafted.gold_block: #1, 32494(65%)
minecraft.used.quartz_block: #1, 27581(61%)
minecraft.picked_up.gold_ingot: #1, 20023(60%)
minecraft.custom.inspect_dropper: #1, 15065(43%)
minecraft.picked_up.ice: #1, 109238(52%)
minecraft.crafted.hay_block: #1, 11864(65%)
minecraft.picked_up.stripped_warped_stem: #1, 10106(57%)
minecraft.dropped.iron_ingot: #1, 9993(51%)
minecraft.used.polished_blackstone_slab: #1, 11608(74%)
minecraft.mined.quartz_block: #1, 10327(59%)
minecraft.used.diamond_sword: #1, 407129(39%)
minecraft.used.chiseled_polished_blackstone: #1, 3308(89%)
minecraft.dropped.spectral_arrow: #1, 13584(65%)
minecraft.crafted.wooden_axe: #1, 91(65%)
minecraft.used.polished_blackstone_bricks: #1, 44719(64%)
minecraft.custom.damage_resisted: #1, 77252(38%)
minecraft.crafted.jukebox: #1, 256(58%)
minecraft.crafted.coal_block: #1, 13783(53%)
minecraft.mined.dropper: #1, 1466(49%)
minecraft.mined.redstone_wire: #1, 7291(47%)
minecraft.mined.sculk_sensor: #1, 3730(58%)
minecraft.crafted.iron_hoe: #1, 254(83%)
minecraft.used.iron_hoe: #1, 70007(88%)
minecraft.crafted.snow_block: #1, 70240(47%)
minecraft.killed.zombified_piglin: #1, 1481297(65%)
minecraft.mined.clay: #1, 56061(45%)
minecraft.mined.snow: #1, 291324(43%)
minecraft.picked_up.sculk_sensor: #1, 2521(52%)
minecraft.picked_up.iron_boots: #1, 326(46%)
minecraft.dropped.gold_nugget: #1, 28070(50%)
minecraft.killed.wither_skeleton: #1, 79585(66%)
minecraft.picked_up.spectral_arrow: #1, 11849(50%)
minecraft.dropped.clay_ball: #1, 20887(83%)
minecraft.mined.stripped_warped_stem: #1, 9425(57%)
minecraft.picked_up.golden_sword: #1, 761(54%)
minecraft.picked_up.clay_ball: #1, 84267(42%)
minecraft.picked_up.dropper: #1, 1862(46%)
minecraft.crafted.blaze_powder: #1, 3930(44%)
minecraft.picked_up.blaze_powder: #1, 813(62%)
minecraft.dropped.bread: #1, 19312(56%)
minecraft.dropped.coal: #1, 3310(43%)
minecraft.dropped.golden_sword: #1, 801(58%)
minecraft.dropped.diorite: #1, 10314(42%)
minecraft.dropped.powered_rail: #1, 736(61%)
minecraft.picked_up.quartz_block: #1, 13607(46%)
minecraft.dropped.gold_block: #1, 4375(87%)
minecraft.dropped.redstone_torch: #1, 728(57%)
minecraft.mined.redstone_wall_torch: #1, 711(42%)
minecraft.mined.ice: #1, 110791(42%)
minecraft.mined.moss_carpet: #1, 3904(36%)
minecraft.picked_up.stone_sword: #1, 315(44%)
minecraft.used.powered_rail: #1, 17215(42%)
minecraft.used.redstone: #1, 32450(36%)
minecraft.picked_up.splash_potion: #1, 321(39%)
minecraft.used.stripped_warped_stem: #1, 8049(68%)
minecraft.dropped.iron_boots: #1, 401(51%)
minecraft.mined.mossy_cobblestone_slab: #1, 140(53%)
minecraft.crafted.wheat: #1, 47408(51%)
minecraft.mined.cave_vines: #1, 863(35%)
