stat, rank, value, (percentage) 
minecraft.used.stone_pickaxe: #1, 3838(26%)
minecraft.broken.stone_pickaxe: #1, 28(37%)
minecraft.crafted.stone_pickaxe: #1, 34(17%)
minecraft.picked_up.stone_pickaxe: #3, 16(11%)
minecraft.broken.stone_shovel: #4, 4(3%)
minecraft.used.stone_shovel: #6, 582(3%)
minecraft.used.granite_stairs: #8, 4(1%)
minecraft.used.birch_door: #9, 2(3%)
minecraft.broken.stone_hoe: #10, 1(4%)
minecraft.crafted.granite_stairs: #10, 4(2%)
minecraft.picked_up.stone_hoe: #11, 2(4%)
minecraft.mined.cave_vines: #12, 38(2%)
minecraft.used.stone_hoe: #12, 138(2%)
minecraft.crafted.birch_door: #12, 3(2%)
minecraft.crafted.stone_shovel: #13, 4(0%)
minecraft.crafted.andesite_stairs: #13, 4(0%)
minecraft.picked_up.stone_shovel: #14, 2(2%)
minecraft.crafted.stone_axe: #15, 4(2%)
minecraft.broken.stone_axe: #15, 1(3%)
minecraft.crafted.stone_hoe: #15, 2(2%)
minecraft.used.stone_sword: #15, 38(1%)
minecraft.used.diorite: #16, 171(1%)
minecraft.used.cobblestone: #17, 1746(2%)
minecraft.used.stone_axe: #17, 174(2%)
minecraft.picked_up.stone_axe: #18, 2(2%)
minecraft.used.granite: #18, 130(1%)
minecraft.picked_up.birch_planks: #20, 115(1%)
minecraft.mined.cave_vines_plant: #20, 7(0%)
minecraft.used.baked_potato: #20, 16(0%)
minecraft.killed_by.drowned: #21, 2(1%)
minecraft.mined.quartz_bricks: #21, 2(0%)
minecraft.used.ladder: #22, 116(1%)
minecraft.broken.iron_pickaxe: #22, 3(1%)
minecraft.picked_up.quartz_bricks: #22, 2(0%)
minecraft.crafted.stone_sword: #22, 1(0%)
minecraft.picked_up.oak_planks: #23, 60(0%)
minecraft.mined.diorite: #23, 404(0%)
minecraft.mined.gold_ore: #23, 6(0%)
minecraft.custom.time_since_rest: #23, 95760(0%)
minecraft.crafted.iron_pickaxe: #24, 6(1%)
minecraft.used.iron_pickaxe: #24, 978(1%)
minecraft.crafted.ladder: #24, 123(1%)
minecraft.picked_up.diorite: #24, 402(0%)
minecraft.mined.copper_ore: #24, 81(0%)
minecraft.used.andesite: #24, 72(0%)
minecraft.used.birch_sapling: #24, 10(0%)
minecraft.used.birch_planks: #24, 39(0%)
minecraft.mined.wall_torch: #25, 78(1%)
minecraft.mined.cobblestone: #25, 241(0%)
minecraft.picked_up.granite: #25, 290(0%)
minecraft.mined.granite: #25, 296(0%)
