stat, rank, value, (percentage) 
minecraft.picked_up.raw_iron_block: #1, 15184(95%)
minecraft.mined.raw_iron_block: #1, 14974(97%)
minecraft.picked_up.red_carpet: #1, 15782(83%)
minecraft.mined.light_gray_carpet: #1, 4464(85%)
minecraft.picked_up.gray_carpet: #1, 27294(79%)
minecraft.mined.gray_carpet: #1, 7888(80%)
minecraft.mined.white_concrete_powder: #1, 12947(95%)
minecraft.mined.cyan_terracotta: #1, 9887(63%)
minecraft.mined.crimson_nylium: #1, 17870(82%)
minecraft.used.crimson_nylium: #1, 12269(90%)
minecraft.mined.gray_terracotta: #1, 27924(97%)
minecraft.mined.cobbled_deepslate_slab: #1, 5692(66%)
minecraft.used.green_carpet: #1, 10814(85%)
minecraft.mined.black_concrete_powder: #1, 13174(89%)
minecraft.mined.redstone_block: #1, 10332(64%)
minecraft.picked_up.gray_terracotta: #1, 28881(88%)
minecraft.used.gray_carpet: #1, 33174(65%)
minecraft.mined.oak_planks: #1, 7843(51%)
minecraft.used.light_gray_carpet: #1, 11376(68%)
minecraft.used.stone_shovel: #1, 12904(71%)
minecraft.mined.white_terracotta: #1, 15652(53%)
minecraft.used.red_carpet: #1, 15911(63%)
minecraft.picked_up.light_gray_carpet: #1, 11035(62%)
minecraft.mined.green_terracotta: #1, 8919(65%)
minecraft.mined.white_carpet: #1, 6461(64%)
minecraft.crafted.filled_map: #1, 21275(87%)
minecraft.picked_up.black_carpet: #1, 81411(77%)
minecraft.picked_up.crimson_nylium: #1, 17823(63%)
minecraft.used.white_carpet: #1, 36119(62%)
minecraft.crafted.compass: #1, 13845(58%)
minecraft.crafted.green_carpet: #1, 6342(73%)
minecraft.picked_up.brown_carpet: #1, 9804(81%)
minecraft.used.heavy_weighted_pressure_plate: #1, 7428(81%)
minecraft.used.brown_carpet: #1, 9724(80%)
minecraft.picked_up.cyan_terracotta: #1, 9893(46%)
minecraft.crafted.red_carpet: #1, 10272(57%)
minecraft.picked_up.oak_planks: #1, 8237(41%)
minecraft.picked_up.raw_gold_block: #1, 2452(85%)
minecraft.picked_up.white_carpet: #1, 25644(61%)
minecraft.picked_up.redstone_block: #1, 10535(48%)
minecraft.picked_up.green_terracotta: #1, 9233(49%)
minecraft.mined.raw_gold_block: #1, 2452(93%)
minecraft.mined.spruce_planks: #1, 9638(41%)
minecraft.picked_up.cobbled_deepslate_slab: #1, 5901(48%)
minecraft.used.gray_terracotta: #1, 28353(74%)
minecraft.mined.green_carpet: #1, 1004(78%)
minecraft.crafted.map: #1, 13298(62%)
minecraft.used.redstone_block: #1, 10707(47%)
minecraft.mined.jungle_planks: #1, 5890(81%)
minecraft.mined.dark_prismarine_slab: #1, 2236(76%)
minecraft.used.raw_iron_block: #1, 14640(92%)
minecraft.mined.heavy_weighted_pressure_plate: #1, 6711(99%)
minecraft.mined.warped_slab: #1, 2014(70%)
minecraft.mined.black_terracotta: #1, 6579(84%)
minecraft.picked_up.white_terracotta: #1, 15751(40%)
minecraft.picked_up.jungle_planks: #1, 5894(61%)
minecraft.killed.cow: #1, 2669(39%)
minecraft.mined.brown_carpet: #1, 1252(76%)
minecraft.used.brown_terracotta: #1, 11406(54%)
minecraft.picked_up.dark_prismarine_slab: #1, 2249(70%)
minecraft.used.birch_log: #1, 10525(37%)
minecraft.crafted.purple_carpet: #1, 6218(93%)
minecraft.crafted.orange_carpet: #1, 10080(92%)
minecraft.mined.warped_hyphae: #1, 1767(89%)
minecraft.mined.blue_terracotta: #1, 2625(52%)
minecraft.picked_up.prismarine_brick_slab: #1, 9263(94%)
minecraft.picked_up.black_terracotta: #1, 6696(61%)
minecraft.used.oak_planks: #1, 7747(35%)
minecraft.used.white_terracotta: #1, 9764(44%)
minecraft.used.black_carpet: #1, 85812(60%)
minecraft.picked_up.lapis_block: #1, 5040(60%)
minecraft.used.blue_carpet: #1, 2249(78%)
minecraft.picked_up.heavy_weighted_pressure_plate: #1, 6974(63%)
minecraft.used.lava_bucket: #1, 4141(39%)
minecraft.mined.prismarine_brick_slab: #1, 9173(97%)
minecraft.mined.white_wool: #1, 2546(37%)
minecraft.used.yellow_carpet: #1, 10594(54%)
minecraft.used.raw_gold_block: #1, 2370(63%)
minecraft.mined.light_blue_terracotta: #1, 2993(79%)
minecraft.picked_up.cyan_carpet: #1, 1543(50%)
minecraft.crafted.pink_carpet: #1, 6336(67%)
minecraft.picked_up.blue_carpet: #1, 2256(62%)
minecraft.used.warped_nylium: #1, 1727(46%)
minecraft.used.prismarine_brick_slab: #1, 9297(84%)
minecraft.mined.light_weighted_pressure_plate: #1, 4969(92%)
minecraft.mined.yellow_terracotta: #1, 5953(38%)
minecraft.used.pink_carpet: #1, 7748(76%)
minecraft.picked_up.spruce_planks: #1, 9770(28%)
minecraft.crafted.white_carpet: #1, 9900(39%)
minecraft.crafted.gray_carpet: #1, 10439(36%)
minecraft.mined.purple_terracotta: #1, 989(81%)
minecraft.picked_up.light_blue_terracotta: #1, 2991(53%)
minecraft.picked_up.lime_carpet: #1, 25957(81%)
minecraft.mined.pink_carpet: #1, 1043(88%)
minecraft.picked_up.light_weighted_pressure_plate: #1, 4982(62%)
minecraft.mined.black_carpet: #1, 5906(48%)
minecraft.picked_up.yellow_terracotta: #1, 6088(33%)
minecraft.picked_up.green_carpet: #2, 11065(47%)
minecraft.picked_up.warped_slab: #1, 2028(47%)
minecraft.crafted.yellow_carpet: #1, 7582(47%)
minecraft.crafted.heavy_weighted_pressure_plate: #1, 1855(42%)
minecraft.mined.lapis_block: #1, 4872(83%)
minecraft.used.purple_carpet: #1, 6866(92%)
minecraft.used.orange_terracotta: #1, 4075(38%)
minecraft.used.mushroom_stem: #1, 11326(41%)
minecraft.crafted.blue_carpet: #1, 1080(62%)
minecraft.used.crimson_hyphae: #1, 4501(62%)
minecraft.picked_up.blue_terracotta: #1, 2685(44%)
minecraft.picked_up.orange_carpet: #1, 24134(89%)
minecraft.custom.interact_with_cartography_table: #1, 287(42%)
minecraft.used.lime_carpet: #1, 29064(78%)
minecraft.mined.crimson_hyphae: #1, 4436(97%)
minecraft.used.cyan_carpet: #1, 1602(43%)
minecraft.picked_up.crimson_hyphae: #1, 4582(70%)
minecraft.crafted.bundle: #1, 870(96%)
minecraft.used.lapis_block: #1, 4845(70%)
minecraft.broken.stone_shovel: #1, 96(77%)
minecraft.mined.lime_terracotta: #2, 3003(32%)
minecraft.mined.warped_nylium: #1, 2071(30%)
minecraft.picked_up.warped_hyphae: #1, 1894(56%)
minecraft.used.yellow_terracotta: #1, 5349(33%)
minecraft.mined.cobblestone_slab: #2, 2502(30%)
minecraft.crafted.light_gray_carpet: #1, 3195(33%)
minecraft.used.dark_prismarine_slab: #1, 2256(38%)
minecraft.picked_up.warped_nylium: #1, 2065(28%)
minecraft.used.orange_carpet: #1, 23834(96%)
minecraft.mined.blue_carpet: #1, 225(67%)
minecraft.mined.cyan_carpet: #1, 279(39%)
minecraft.crafted.lime_carpet: #1, 9604(60%)
minecraft.picked_up.white_concrete_powder: #2, 12948(36%)
minecraft.picked_up.light_blue_carpet: #1, 10022(59%)
minecraft.crafted.player_head: #1, 4096(42%)
minecraft.mined.pink_concrete_powder: #1, 2499(89%)
minecraft.crafted.raw_iron: #1, 9640(26%)
minecraft.used.snow: #1, 16855(25%)
minecraft.crafted.light_blue_carpet: #1, 6302(51%)
minecraft.used.map: #1, 201(29%)
minecraft.picked_up.mushroom_stem: #1, 12466(27%)
minecraft.mined.pink_terracotta: #1, 493(51%)
minecraft.picked_up.black_concrete_powder: #1, 13430(26%)
minecraft.used.sand: #2, 93754(26%)
minecraft.picked_up.snow: #1, 10951(19%)
minecraft.mined.mushroom_stem: #2, 12611(26%)
minecraft.crafted.magenta_carpet: #1, 654(64%)
minecraft.picked_up.yellow_carpet: #2, 10553(42%)
minecraft.dropped.gray_wool: #1, 832(34%)
minecraft.mined.orange_carpet: #1, 3689(96%)
minecraft.used.jungle_planks: #1, 6003(33%)
minecraft.mined.wheat: #1, 6250(18%)
minecraft.picked_up.lime_terracotta: #2, 3001(23%)
minecraft.crafted.brown_carpet: #1, 1197(29%)
minecraft.picked_up.raw_iron: #1, 17268(17%)
minecraft.mined.yellow_carpet: #1, 731(39%)
minecraft.mined.red_carpet: #2, 898(29%)
minecraft.crafted.raw_iron_block: #1, 1450(23%)
minecraft.picked_up.pink_concrete_powder: #1, 2497(45%)
minecraft.used.light_blue_carpet: #1, 10062(53%)
minecraft.dropped.brown_mushroom_block: #1, 1227(38%)
minecraft.mined.stripped_crimson_hyphae: #1, 472(57%)
minecraft.used.cooked_beef: #1, 1968(19%)
minecraft.used.black_terracotta: #2, 6971(34%)
minecraft.mined.lime_carpet: #1, 5184(70%)
minecraft.mined.purple_carpet: #1, 392(60%)
minecraft.used.cobbled_deepslate_slab: #2, 6723(22%)
minecraft.mined.magenta_terracotta: #1, 241(52%)
minecraft.used.birch_leaves: #2, 7089(21%)
minecraft.mined.orange_concrete_powder: #1, 660(56%)
minecraft.crafted.paper: #2, 108901(18%)
minecraft.picked_up.pink_terracotta: #1, 501(24%)
minecraft.mined.light_blue_carpet: #1, 814(85%)
minecraft.used.trapped_chest: #1, 18(53%)
minecraft.used.dried_kelp: #2, 272(35%)
minecraft.picked_up.purple_terracotta: #1, 989(28%)
minecraft.mined.deepslate_iron_ore: #2, 3506(16%)
minecraft.picked_up.pink_carpet: #2, 7763(46%)
minecraft.used.light_weighted_pressure_plate: #2, 5016(42%)
minecraft.used.warped_slab: #1, 2285(22%)
minecraft.crafted.baked_potato: #1, 1230(21%)
minecraft.mined.magenta_carpet: #1, 578(97%)
minecraft.used.baked_potato: #2, 1216(21%)
minecraft.custom.animals_bred: #2, 3005(19%)
minecraft.mined.cactus: #1, 372(17%)
minecraft.killed.wandering_trader: #1, 26(17%)
minecraft.killed.trader_llama: #1, 52(16%)
minecraft.mined.brown_concrete_powder: #1, 38(28%)
minecraft.used.item_frame: #1, 1304(12%)
minecraft.picked_up.trapped_chest: #1, 17(71%)
minecraft.used.cyan_terracotta: #2, 10607(16%)
minecraft.picked_up.magenta_carpet: #1, 1721(58%)
minecraft.used.white_concrete_powder: #1, 14167(15%)
minecraft.used.magenta_carpet: #1, 1762(84%)
minecraft.mined.blue_concrete_powder: #1, 10(42%)
minecraft.used.spruce_planks: #2, 9572(13%)
minecraft.used.pink_concrete_powder: #2, 2504(25%)
minecraft.mined.cobblestone: #2, 6501(12%)
minecraft.mined.chiseled_quartz_block: #2, 56(34%)
minecraft.dropped.gold_ore: #1, 28(21%)
minecraft.crafted.brown_terracotta: #1, 800(18%)
minecraft.crafted.cooked_beef: #2, 999(17%)
minecraft.used.green_terracotta: #2, 9194(16%)
minecraft.picked_up.cooked_beef: #2, 867(14%)
minecraft.mined.trapped_chest: #1, 18(72%)
minecraft.used.red_mushroom_block: #2, 1648(22%)
minecraft.crafted.crimson_hyphae: #2, 1326(27%)
minecraft.picked_up.cobblestone_slab: #3, 2527(18%)
minecraft.crafted.iron_ingot: #2, 66540(11%)
minecraft.custom.trigger_trapped_chest: #2, 130(16%)
minecraft.picked_up.wheat: #2, 6198(12%)
minecraft.used.warped_hyphae: #2, 1830(25%)
minecraft.picked_up.stripped_crimson_hyphae: #2, 472(41%)
minecraft.picked_up.white_wool: #3, 3095(15%)
minecraft.picked_up.item_frame: #2, 715(11%)
minecraft.used.shield: #2, 724(15%)
minecraft.custom.damage_blocked_by_shield: #2, 34381(15%)
minecraft.mined.warped_button: #2, 20(24%)
minecraft.picked_up.jungle_pressure_plate: #1, 10(77%)
minecraft.used.wheat_seeds: #2, 6554(12%)
minecraft.used.light_gray_terracotta: #3, 2050(20%)
minecraft.custom.interact_with_blast_furnace: #2, 644(12%)
minecraft.picked_up.chiseled_quartz_block: #2, 58(23%)
minecraft.dropped.wheat_seeds: #3, 9813(12%)
minecraft.used.purple_terracotta: #2, 1015(26%)
minecraft.mined.deepslate_coal_ore: #2, 48(14%)
minecraft.broken.iron_helmet: #1, 3(23%)
minecraft.mined.black_wool: #2, 311(14%)
minecraft.mined.acacia_button: #1, 5(22%)
minecraft.used.jungle_pressure_plate: #1, 7(32%)
minecraft.mined.iron_ore: #2, 5117(9%)
minecraft.used.chiseled_quartz_block: #2, 248(20%)
minecraft.used.cobblestone_slab: #3, 2566(14%)
minecraft.mined.jungle_pressure_plate: #1, 10(91%)
minecraft.used.light_blue_terracotta: #2, 3007(19%)
minecraft.mined.magenta_concrete_powder: #1, 3(60%)
minecraft.mined.red_terracotta: #2, 4088(11%)
minecraft.broken.diamond_helmet: #1, 2(25%)
minecraft.used.stripped_crimson_hyphae: #2, 472(34%)
minecraft.crafted.podzol: #1, 18(86%)
minecraft.used.filled_map: #1, 9(33%)
minecraft.mined.redstone_ore: #2, 177(11%)
minecraft.dropped.item_frame: #3, 64(16%)
minecraft.dropped.red_carpet: #2, 70(18%)
minecraft.used.pink_banner: #1, 3(75%)
minecraft.picked_up.birch_leaves: #3, 7370(12%)
minecraft.dropped.gray_terracotta: #2, 304(27%)
minecraft.mined.light_gray_terracotta: #3, 2165(14%)
minecraft.picked_up.light_gray_terracotta: #3, 2360(13%)
minecraft.picked_up.stripped_crimson_stem: #3, 478(13%)
minecraft.crafted.cyan_carpet: #3, 525(17%)
minecraft.mined.stripped_crimson_stem: #3, 482(14%)
minecraft.used.bucket: #3, 11458(9%)
minecraft.used.white_wool: #3, 3929(11%)
minecraft.picked_up.gray_shulker_box: #2, 331(10%)
minecraft.mined.gray_shulker_box: #2, 321(10%)
minecraft.used.gray_shulker_box: #2, 332(10%)
minecraft.mined.birch_log: #3, 11887(10%)
minecraft.crafted.bubble_coral_block: #1, 11(58%)
minecraft.used.stripped_crimson_stem: #3, 154(13%)
minecraft.mined.oak_button: #2, 17(19%)
minecraft.dropped.lime_carpet: #2, 98(30%)
minecraft.crafted.stone_shovel: #3, 101(12%)
minecraft.mined.deepslate_gold_ore: #2, 1114(7%)
minecraft.picked_up.purple_carpet: #2, 3737(26%)
minecraft.broken.shield: #2, 5(19%)
minecraft.mined.smooth_quartz_slab: #3, 275(14%)
minecraft.broken.leather_helmet: #1, 1(25%)
minecraft.broken.iron_boots: #1, 1(25%)
minecraft.mined.potted_orange_tulip: #1, 2(50%)
minecraft.crafted.tube_coral_block: #1, 2(100%)
minecraft.crafted.fire_coral_block: #1, 2(100%)
minecraft.used.blue_terracotta: #2, 2732(14%)
minecraft.dropped.oak_button: #2, 9(16%)
minecraft.dropped.stone_pickaxe: #2, 9(8%)
minecraft.mined.sunflower: #3, 58(11%)
minecraft.crafted.stripped_crimson_hyphae: #2, 240(27%)
minecraft.used.water_bucket: #3, 7300(8%)
minecraft.used.written_book: #3, 3201(9%)
minecraft.used.emerald_block: #3, 2303(11%)
minecraft.picked_up.acacia_button: #2, 6(11%)
minecraft.mined.white_stained_glass_pane: #3, 97(16%)
minecraft.picked_up.bundle: #3, 139(11%)
minecraft.crafted.light_weighted_pressure_plate: #2, 908(13%)
minecraft.mined.quartz_slab: #3, 336(14%)
minecraft.used.deepslate_coal_ore: #2, 12(24%)
minecraft.custom.interact_with_anvil: #4, 1279(9%)
minecraft.mined.birch_wall_sign: #4, 168(14%)
minecraft.picked_up.oak_button: #3, 26(13%)
minecraft.mined.brown_mushroom_block: #3, 5050(11%)
minecraft.picked_up.red_terracotta: #3, 4114(9%)
minecraft.mined.cyan_wool: #2, 84(10%)
minecraft.mined.oak_slab: #3, 177(10%)
minecraft.mined.quartz_stairs: #3, 65(14%)
minecraft.used.deepslate_iron_ore: #3, 382(11%)
minecraft.used.pink_terracotta: #2, 553(12%)
minecraft.killed.spider: #3, 201(7%)
minecraft.used.black_concrete_powder: #3, 19337(10%)
minecraft.used.rotten_flesh: #2, 165(6%)
minecraft.used.redstone_ore: #3, 39(13%)
minecraft.picked_up.stone_shovel: #3, 11(10%)
minecraft.picked_up.brown_mushroom_block: #3, 4688(11%)
minecraft.picked_up.cyan_concrete: #3, 1272(10%)
minecraft.picked_up.birch_log: #4, 12155(9%)
minecraft.used.salmon_bucket: #2, 2(18%)
minecraft.mined.glow_lichen: #3, 2312(8%)
minecraft.picked_up.weathered_cut_copper_slab: #2, 21(15%)
minecraft.mined.light_gray_stained_glass_pane: #3, 40(12%)
minecraft.mined.blue_wool: #3, 162(15%)
minecraft.dropped.trapped_chest: #2, 1(33%)
minecraft.picked_up.purpur_slab: #3, 41(11%)
minecraft.picked_up.orange_concrete_powder: #2, 692(9%)
minecraft.mined.birch_trapdoor: #3, 60(10%)
minecraft.dropped.note_block: #2, 18(10%)
minecraft.picked_up.jungle_boat: #3, 17(15%)
minecraft.picked_up.music_disc_mall: #3, 12(16%)
minecraft.crafted.snow: #4, 6270(16%)
minecraft.mined.birch_leaves: #4, 8042(9%)
minecraft.custom.sleep_in_bed: #4, 2558(6%)
minecraft.dropped.blue_shulker_box: #2, 1(14%)
minecraft.dropped.purpur_slab: #3, 14(12%)
minecraft.picked_up.brown_terracotta: #4, 12027(12%)
minecraft.mined.yellow_concrete_powder: #2, 118(8%)
minecraft.mined.emerald_block: #4, 1483(10%)
minecraft.used.packed_ice: #4, 12989(11%)
minecraft.killed.horse: #3, 18(9%)
minecraft.mined.potatoes: #4, 691(11%)
minecraft.crafted.pink_banner: #2, 3(21%)
minecraft.mined.purpur_slab: #3, 32(9%)
minecraft.dropped.light_gray_terracotta: #3, 152(10%)
minecraft.used.jungle_boat: #3, 16(16%)
minecraft.mined.weathered_cut_copper_slab: #2, 12(9%)
minecraft.dropped.firework_star: #2, 12(15%)
minecraft.picked_up.red_mushroom: #3, 561(6%)
minecraft.used.red_terracotta: #3, 3391(7%)
minecraft.picked_up.quartz_stairs: #3, 65(9%)
minecraft.mined.oak_stairs: #4, 160(10%)
minecraft.mined.cyan_concrete: #3, 1275(7%)
