stat, rank, value, (percentage) 
minecraft.used.egg: #13, 128(0%)
minecraft.picked_up.experience_bottle: #14, 20(1%)
minecraft.used.experience_bottle: #19, 20(0%)
minecraft.dropped.paper: #22, 7(0%)
minecraft.custom.time_since_rest: #25, 75697(0%)
minecraft.picked_up.paper: #25, 9(0%)
minecraft.picked_up.iron_block: #26, 21(0%)
minecraft.dropped.snow: #26, 1(0%)
minecraft.crafted.anvil: #29, 1(0%)
minecraft.picked_up.snow: #29, 1(0%)
minecraft.picked_up.diamond_helmet: #30, 1(0%)
minecraft.used.anvil: #30, 1(0%)
minecraft.dropped.gunpowder: #31, 1(0%)
minecraft.picked_up.diamond_boots: #33, 1(0%)
minecraft.picked_up.diamond_leggings: #33, 1(0%)
minecraft.picked_up.diamond_shovel: #33, 1(0%)
minecraft.picked_up.diamond_sword: #33, 1(0%)
minecraft.picked_up.iron_ingot: #33, 4(0%)
minecraft.picked_up.diamond_axe: #34, 1(0%)
minecraft.picked_up.emerald: #34, 3(0%)
minecraft.picked_up.gunpowder: #35, 1(0%)
minecraft.picked_up.golden_carrot: #36, 28(0%)
minecraft.used.diamond_axe: #36, 1(0%)
minecraft.picked_up.elytra: #38, 1(0%)
minecraft.used.golden_carrot: #38, 6(0%)
minecraft.custom.interact_with_anvil: #38, 1(0%)
minecraft.custom.interact_with_crafting_table: #38, 1(0%)
minecraft.dropped.firework_rocket: #38, 3(0%)
minecraft.picked_up.diamond_pickaxe: #39, 1(0%)
minecraft.picked_up.firework_rocket: #39, 80(0%)
minecraft.picked_up.carved_pumpkin: #39, 2(0%)
minecraft.custom.open_shulker_box: #39, 23(0%)
minecraft.used.firework_rocket: #40, 83(0%)
minecraft.custom.time_since_death: #41, 75666(0%)
minecraft.custom.deaths: #42, 2(0%)
minecraft.custom.fall_one_cm: #42, 28583(0%)
minecraft.custom.aviate_one_cm: #42, 1798419(0%)
minecraft.custom.sleep_in_bed: #42, 1(0%)
minecraft.custom.drop: #43, 12(0%)
minecraft.custom.damage_taken: #44, 1087(0%)
minecraft.custom.damage_dealt: #44, 29(0%)
minecraft.custom.jump: #45, 389(0%)
minecraft.custom.open_chest: #45, 6(0%)
minecraft.custom.crouch_one_cm: #45, 2263(0%)
minecraft.custom.walk_one_cm: #46, 104641(0%)
minecraft.custom.sprint_one_cm: #46, 68170(0%)
minecraft.custom.walk_on_water_one_cm: #54, 9416(0%)
minecraft.custom.walk_under_water_one_cm: #60, 2282(0%)
minecraft.custom.leave_game: #61, 2(0%)
minecraft.custom.sneak_time: #61, 5684(0%)
minecraft.custom.play_time: #62, 133138(0%)
minecraft.custom.total_world_time: #62, 133138(0%)
minecraft.custom.fly_one_cm: #65, 68957(0%)
