stat, rank, value, (percentage) 
minecraft.used.dandelion: #1, 141(32%)
minecraft.mined.red_tulip: #1, 44(24%)
minecraft.mined.cornflower: #1, 71(14%)
minecraft.mined.azure_bluet: #3, 148(17%)
minecraft.picked_up.blue_wool: #2, 1077(22%)
minecraft.picked_up.green_wool: #2, 1288(14%)
minecraft.crafted.golden_helmet: #2, 10(12%)
minecraft.mined.potted_birch_sapling: #1, 1(100%)
minecraft.crafted.baked_potato: #3, 590(10%)
minecraft.dropped.baked_potato: #3, 28(9%)
minecraft.crafted.golden_boots: #3, 10(9%)
minecraft.dropped.light_gray_stained_glass: #3, 60(13%)
minecraft.used.cornflower: #4, 31(10%)
minecraft.killed_by.magma_cube: #4, 1(14%)
minecraft.picked_up.baked_potato: #5, 157(8%)
minecraft.picked_up.red_tulip: #4, 44(2%)
minecraft.used.orange_tulip: #4, 3(7%)
minecraft.mined.orange_tulip: #5, 18(9%)
minecraft.mined.dandelion: #6, 293(7%)
minecraft.mined.potatoes: #6, 446(7%)
minecraft.picked_up.potato: #6, 1748(6%)
minecraft.used.azure_bluet: #5, 31(3%)
minecraft.crafted.smooth_sandstone: #6, 640(8%)
minecraft.used.stone_sword: #6, 256(6%)
minecraft.used.baked_potato: #6, 259(5%)
minecraft.used.potato: #7, 496(6%)
minecraft.used.red_tulip: #6, 4(6%)
minecraft.picked_up.azure_bluet: #6, 148(2%)
minecraft.crafted.golden_chestplate: #6, 4(5%)
minecraft.mined.pink_tulip: #6, 5(5%)
minecraft.dropped.bee_nest: #6, 1(7%)
minecraft.used.white_carpet: #6, 692(1%)
minecraft.used.oak_boat: #7, 51(4%)
minecraft.used.stone_axe: #7, 370(5%)
minecraft.dropped.cobbled_deepslate_slab: #7, 64(7%)
minecraft.used.white_tulip: #6, 1(1%)
minecraft.crafted.white_carpet: #7, 666(3%)
minecraft.used.poppy: #8, 34(6%)
minecraft.crafted.cooked_porkchop: #7, 21(2%)
minecraft.mined.smooth_sandstone: #7, 136(2%)
minecraft.picked_up.oak_boat: #8, 59(5%)
minecraft.picked_up.red_wool: #8, 641(5%)
minecraft.used.pink_tulip: #7, 2(2%)
minecraft.used.smooth_sandstone: #7, 565(1%)
minecraft.picked_up.orange_tulip: #7, 17(1%)
minecraft.dropped.filled_map: #8, 1982(3%)
minecraft.broken.stone_axe: #8, 2(5%)
minecraft.used.bundle: #8, 60(3%)
minecraft.crafted.golden_leggings: #8, 3(5%)
minecraft.crafted.blue_bed: #8, 1(4%)
minecraft.dropped.wooden_shovel: #8, 3(2%)
minecraft.dropped.stone_shovel: #8, 2(1%)
minecraft.crafted.chainmail_boots: #8, 1(2%)
minecraft.mined.white_carpet: #8, 80(1%)
minecraft.picked_up.wooden_shovel: #8, 2(1%)
minecraft.mined.white_tulip: #8, 1(1%)
minecraft.picked_up.pink_tulip: #8, 5(0%)
minecraft.crafted.diamond_pickaxe: #9, 10(3%)
minecraft.crafted.iron_sword: #9, 7(3%)
minecraft.picked_up.warped_fungus: #9, 183(2%)
minecraft.mined.cyan_carpet: #9, 17(2%)
minecraft.picked_up.blue_bed: #9, 8(2%)
minecraft.mined.blue_bed: #9, 7(1%)
minecraft.mined.birch_fence: #10, 46(4%)
minecraft.picked_up.white_bed: #10, 67(3%)
minecraft.crafted.dark_oak_stairs: #10, 340(2%)
minecraft.broken.iron_sword: #10, 1(4%)
minecraft.crafted.white_stained_glass_pane: #10, 160(2%)
minecraft.killed.skeleton: #10, 938(1%)
minecraft.used.white_stained_glass_pane: #10, 111(1%)
minecraft.used.blue_bed: #10, 7(1%)
minecraft.picked_up.smooth_sandstone: #10, 136(1%)
minecraft.crafted.blue_wool: #10, 9(1%)
minecraft.picked_up.white_carpet: #10, 86(0%)
minecraft.mined.white_bed: #11, 64(3%)
minecraft.picked_up.filled_map: #11, 2222(2%)
minecraft.mined.poppy: #11, 93(3%)
minecraft.dropped.iron_block: #11, 220(3%)
minecraft.crafted.cooked_mutton: #11, 8(1%)
minecraft.dropped.wooden_axe: #11, 1(1%)
minecraft.used.oxeye_daisy: #11, 1(2%)
minecraft.picked_up.cyan_carpet: #11, 17(1%)
minecraft.picked_up.white_tulip: #11, 1(0%)
minecraft.used.iron_sword: #12, 376(3%)
minecraft.mined.oxeye_daisy: #12, 8(3%)
minecraft.killed.pig: #12, 12(2%)
minecraft.picked_up.dandelion: #12, 292(1%)
minecraft.crafted.iron_leggings: #12, 4(1%)
minecraft.crafted.stone_sword: #12, 3(1%)
minecraft.used.cyan_carpet: #12, 23(1%)
minecraft.crafted.leather_leggings: #12, 4(1%)
minecraft.crafted.leather_chestplate: #12, 3(0%)
minecraft.mined.cyan_wool: #12, 2(0%)
minecraft.mined.oak_sign: #13, 6(3%)
minecraft.killed_by.enderman: #13, 1(4%)
minecraft.picked_up.cookie: #13, 35(2%)
minecraft.killed_by.creeper: #13, 2(2%)
minecraft.crafted.leather_helmet: #13, 3(3%)
minecraft.mined.sunflower: #13, 8(2%)
minecraft.crafted.iron_boots: #13, 4(1%)
minecraft.picked_up.iron_horse_armor: #13, 1(2%)
minecraft.mined.bamboo_sapling: #13, 2(1%)
minecraft.mined.white_stained_glass_pane: #13, 4(1%)
minecraft.crafted.wooden_shovel: #13, 5(0%)
minecraft.picked_up.cornflower: #13, 70(0%)
minecraft.picked_up.cyan_wool: #13, 2(0%)
minecraft.crafted.spruce_stairs: #14, 476(2%)
minecraft.used.white_bed: #14, 64(2%)
minecraft.picked_up.poisonous_potato: #14, 5(3%)
minecraft.crafted.iron_helmet: #14, 4(1%)
minecraft.crafted.cyan_bed: #14, 1(2%)
minecraft.used.dark_oak_stairs: #14, 140(1%)
minecraft.mined.cobbled_deepslate_stairs: #14, 7(1%)
minecraft.crafted.oak_pressure_plate: #14, 1(1%)
minecraft.dropped.powered_rail: #14, 6(0%)
minecraft.crafted.yellow_wool: #14, 5(0%)
minecraft.used.stripped_oak_wood: #14, 3(0%)
minecraft.mined.dark_oak_slab: #15, 50(2%)
minecraft.mined.fire: #15, 273(1%)
minecraft.picked_up.birch_fence: #15, 46(2%)
minecraft.crafted.bow: #15, 72(1%)
minecraft.picked_up.golden_helmet: #15, 6(1%)
minecraft.picked_up.bundle: #15, 15(1%)
minecraft.used.oak_log: #15, 345(1%)
minecraft.broken.stone_pickaxe: #15, 1(1%)
minecraft.dropped.deepslate: #15, 593(1%)
minecraft.crafted.iron_chestplate: #15, 4(1%)
minecraft.used.painting: #15, 15(1%)
minecraft.picked_up.glowstone_dust: #15, 83(1%)
minecraft.used.cooked_porkchop: #15, 141(0%)
minecraft.dropped.white_bed: #15, 1(1%)
minecraft.crafted.red_bed: #15, 1(0%)
minecraft.used.blue_wool: #15, 6(0%)
minecraft.picked_up.white_stained_glass_pane: #15, 3(0%)
minecraft.crafted.iron_pickaxe: #16, 14(3%)
minecraft.broken.iron_pickaxe: #16, 7(3%)
minecraft.used.wooden_pickaxe: #16, 11(2%)
minecraft.picked_up.iron_helmet: #16, 3(2%)
minecraft.mined.big_dripleaf_stem: #16, 5(2%)
minecraft.picked_up.spruce_boat: #16, 10(1%)
minecraft.picked_up.porkchop: #16, 26(1%)
minecraft.picked_up.stone_hoe: #16, 1(2%)
minecraft.dropped.spruce_sign: #16, 3(1%)
minecraft.used.oak_pressure_plate: #16, 1(1%)
minecraft.picked_up.sandstone: #16, 2080(1%)
minecraft.picked_up.painting: #16, 12(1%)
minecraft.mined.sandstone: #16, 1819(1%)
minecraft.crafted.wooden_axe: #16, 1(1%)
minecraft.mined.cauldron: #16, 2(1%)
minecraft.picked_up.cobbled_deepslate_stairs: #16, 7(0%)
minecraft.crafted.stone_shovel: #16, 3(0%)
minecraft.crafted.cobbled_deepslate_stairs: #16, 8(0%)
minecraft.used.cobbled_deepslate_stairs: #16, 13(0%)
minecraft.picked_up.acacia_sapling: #16, 18(0%)
minecraft.picked_up.stripped_oak_wood: #16, 3(0%)
minecraft.mined.stripped_oak_wood: #16, 3(0%)
minecraft.used.cyan_bed: #16, 1(0%)
minecraft.used.stripped_oak_log: #16, 5(0%)
minecraft.crafted.stone_axe: #17, 3(2%)
minecraft.used.stone_pickaxe: #17, 202(1%)
minecraft.picked_up.golden_boots: #17, 6(1%)
minecraft.picked_up.birch_boat: #17, 3(1%)
minecraft.picked_up.golden_leggings: #17, 3(1%)
minecraft.used.stone_hoe: #17, 65(1%)
minecraft.picked_up.chainmail_helmet: #17, 1(1%)
minecraft.dropped.bundle: #17, 3(0%)
minecraft.used.apple: #17, 2(0%)
minecraft.crafted.white_stained_glass: #17, 128(0%)
minecraft.crafted.cyan_carpet: #17, 6(0%)
minecraft.picked_up.oxeye_daisy: #17, 8(0%)
minecraft.mined.sculk_shrieker: #17, 1(0%)
minecraft.mined.light_gray_stained_glass: #17, 4(0%)
minecraft.used.warped_fungus: #17, 1(0%)
minecraft.dropped.wooden_pickaxe: #18, 1(2%)
minecraft.used.spruce_stairs: #18, 336(2%)
minecraft.mined.yellow_shulker_box: #18, 48(1%)
minecraft.killed_by.zombie: #18, 1(1%)
minecraft.used.oak_sign: #18, 27(1%)
minecraft.picked_up.stone_shovel: #18, 1(1%)
minecraft.mined.nether_gold_ore: #18, 53(1%)
minecraft.picked_up.dark_oak_slab: #18, 51(1%)
minecraft.dropped.diamond_block: #18, 10(0%)
minecraft.mined.allium: #18, 3(0%)
minecraft.mined.quartz_bricks: #18, 2(0%)
minecraft.dropped.spruce_slab: #18, 2(0%)
minecraft.picked_up.sculk_shrieker: #18, 1(0%)
minecraft.used.cyan_wool: #18, 2(0%)
minecraft.used.iron_pickaxe: #19, 2222(3%)
minecraft.crafted.ladder: #19, 162(1%)
minecraft.picked_up.leather_helmet: #19, 3(1%)
minecraft.crafted.iron_shovel: #19, 4(1%)
minecraft.mined.big_dripleaf: #19, 4(1%)
minecraft.used.spruce_boat: #19, 8(1%)
minecraft.picked_up.yellow_shulker_box: #19, 48(1%)
minecraft.used.yellow_shulker_box: #19, 47(1%)
minecraft.broken.iron_axe: #19, 1(1%)
minecraft.mined.emerald_ore: #19, 7(1%)
minecraft.crafted.stone_hoe: #19, 1(1%)
minecraft.picked_up.chainmail_boots: #19, 1(1%)
minecraft.picked_up.big_dripleaf: #19, 22(0%)
minecraft.mined.oak_wall_sign: #19, 4(0%)
minecraft.picked_up.firework_rocket: #19, 1657(0%)
minecraft.used.oak_stairs: #19, 14(0%)
minecraft.crafted.painting: #19, 3(0%)
minecraft.used.birch_log: #19, 65(0%)
minecraft.picked_up.quartz_bricks: #19, 2(0%)
minecraft.dropped.rail: #19, 16(0%)
