stat, rank, value, (percentage) 
minecraft.killed.zombie: #1, 225033(84%)
minecraft.killed.drowned: #1, 3398352(89%)
minecraft.picked_up.copper_ingot: #1, 54284(89%)
minecraft.killed.skeleton: #1, 54630(52%)
minecraft.used.rotten_flesh: #1, 2465(85%)
minecraft.dropped.cod: #1, 9244(98%)
minecraft.used.bone_block: #1, 32793(62%)
minecraft.dropped.obsidian: #1, 6599(76%)
minecraft.dropped.oak_log: #1, 7830(55%)
minecraft.custom.damage_dealt: #2, 31500316(34%)
minecraft.dropped.arrow: #1, 78363(46%)
minecraft.crafted.copper_block: #1, 40427(56%)
minecraft.picked_up.cooked_chicken: #1, 2857(59%)
minecraft.dropped.gunpowder: #1, 21569(40%)
minecraft.custom.mob_kills: #1, 4461597(31%)
minecraft.picked_up.oak_sapling: #1, 15137(34%)
minecraft.used.bread: #1, 3626(51%)
minecraft.mined.obsidian: #1, 22092(37%)
minecraft.dropped.diamond: #1, 2736(33%)
minecraft.crafted.pink_shulker_box: #1, 91(48%)
minecraft.dropped.bow: #1, 1281(29%)
minecraft.mined.light_blue_stained_glass: #1, 734(71%)
minecraft.crafted.warped_planks: #1, 46908(37%)
minecraft.used.copper_block: #1, 16286(35%)
minecraft.crafted.bone_meal: #1, 1052484(32%)
minecraft.mined.orange_stained_glass: #1, 801(59%)
minecraft.picked_up.glow_ink_sac: #1, 4417(35%)
minecraft.crafted.golden_apple: #1, 1728(52%)
minecraft.used.obsidian: #1, 14442(35%)
minecraft.crafted.crimson_planks: #1, 36376(34%)
minecraft.dropped.golden_helmet: #1, 218(43%)
minecraft.picked_up.oak_log: #1, 39654(25%)
minecraft.picked_up.oxidized_copper: #1, 11585(35%)
minecraft.picked_up.golden_helmet: #1, 164(35%)
minecraft.mined.bone_block: #1, 2694(33%)
minecraft.mined.yellow_stained_glass_pane: #1, 315(68%)
minecraft.crafted.wooden_shovel: #1, 1378(52%)
minecraft.dropped.rotten_flesh: #1, 65635(26%)
minecraft.mined.oxidized_copper: #1, 11163(36%)
minecraft.dropped.golden_chestplate: #1, 157(36%)
minecraft.mined.sculk: #1, 26431(37%)
minecraft.dropped.golden_boots: #1, 221(38%)
minecraft.picked_up.bone_block: #1, 6257(29%)
minecraft.crafted.bone_block: #1, 66468(33%)
minecraft.mined.light_blue_stained_glass_pane: #1, 643(66%)
minecraft.dropped.string: #1, 20165(28%)
minecraft.crafted.crimson_pressure_plate: #1, 650(64%)
minecraft.picked_up.apple: #1, 1983(26%)
minecraft.picked_up.golden_boots: #1, 161(30%)
minecraft.picked_up.wooden_shovel: #1, 90(58%)
minecraft.used.cyan_stained_glass: #1, 5235(51%)
minecraft.mined.black_wool: #1, 773(34%)
minecraft.picked_up.arrow: #1, 18258(19%)
minecraft.picked_up.golden_chestplate: #1, 111(28%)
minecraft.picked_up.lime_dye: #1, 1687(49%)
minecraft.mined.emerald_ore: #1, 234(23%)
minecraft.picked_up.waxed_cut_copper: #1, 168(62%)
minecraft.picked_up.chainmail_boots: #1, 42(30%)
minecraft.dropped.gold_nugget: #2, 17531(31%)
minecraft.mined.black_concrete: #1, 18847(27%)
minecraft.used.netherite_sword: #1, 216629(56%)
minecraft.killed.silverfish: #1, 103(30%)
minecraft.used.diamond_sword: #2, 216900(21%)
minecraft.used.hay_block: #1, 322(31%)
minecraft.mined.red_glazed_terracotta: #1, 123(65%)
minecraft.used.oxidized_copper: #1, 5566(30%)
minecraft.mined.waxed_cut_copper: #1, 172(65%)
minecraft.mined.ladder: #1, 421(22%)
minecraft.picked_up.emerald_ore: #1, 223(26%)
minecraft.picked_up.light_blue_stained_glass_pane: #1, 640(37%)
minecraft.dropped.wooden_shovel: #1, 67(39%)
minecraft.picked_up.light_blue_stained_glass: #1, 718(42%)
minecraft.crafted.ender_eye: #1, 351(23%)
minecraft.crafted.birch_button: #1, 306(36%)
minecraft.picked_up.gold_nugget: #2, 571736(24%)
minecraft.crafted.ender_chest: #1, 235(22%)
minecraft.dropped.ender_chest: #1, 77(26%)
minecraft.dropped.golden_leggings: #2, 146(35%)
minecraft.picked_up.mangrove_sign: #1, 58(32%)
minecraft.dropped.leather_helmet: #2, 78(27%)
minecraft.mined.infested_deepslate: #1, 113(34%)
minecraft.used.red_glazed_terracotta: #1, 278(63%)
minecraft.used.mud_brick_wall: #1, 534(40%)
minecraft.used.crimson_pressure_plate: #1, 623(70%)
minecraft.used.oak_sapling: #2, 8337(24%)
minecraft.picked_up.sculk_vein: #1, 4850(32%)
minecraft.crafted.orange_shulker_box: #1, 50(26%)
minecraft.crafted.crimson_hyphae: #1, 1896(39%)
minecraft.crafted.brewing_stand: #1, 137(24%)
minecraft.used.chiseled_sandstone: #1, 201(45%)
minecraft.killed.zombified_piglin: #2, 733859(32%)
minecraft.crafted.chiseled_quartz_block: #1, 384(45%)
minecraft.dropped.chainmail_boots: #1, 53(36%)
minecraft.used.stripped_crimson_stem: #1, 264(22%)
minecraft.picked_up.purple_bed: #2, 351(38%)
minecraft.used.stone_brick_wall: #1, 1938(23%)
minecraft.dropped.chainmail_helmet: #1, 42(31%)
minecraft.mined.mangrove_wall_sign: #1, 49(36%)
minecraft.dropped.chainmail_chestplate: #1, 39(35%)
minecraft.dropped.nautilus_shell: #1, 40(53%)
minecraft.used.chiseled_quartz_block: #1, 453(37%)
minecraft.crafted.white_bed: #2, 215(23%)
minecraft.crafted.book: #1, 618(25%)
minecraft.used.apple: #1, 123(25%)
