stat, rank, value, (percentage) 
minecraft.custom.time_since_rest: #17, 4490596(1%)
minecraft.custom.time_since_death: #17, 4490596(1%)
minecraft.custom.fly_one_cm: #33, 27343751(1%)
minecraft.custom.leave_game: #33, 148(0%)
minecraft.custom.walk_on_water_one_cm: #33, 149168(0%)
minecraft.custom.walk_under_water_one_cm: #34, 219267(0%)
minecraft.custom.play_time: #42, 4490596(0%)
minecraft.custom.total_world_time: #42, 4490596(0%)
minecraft.custom.crouch_one_cm: #50, 384(0%)
minecraft.custom.sneak_time: #52, 22429(0%)
minecraft.custom.damage_taken: #52, 45(0%)
minecraft.custom.walk_one_cm: #58, 337(0%)
