stat, rank, value, (percentage) 
minecraft.picked_up.cactus: #1, 96576(82%)
minecraft.picked_up.pumpkin: #1, 18666(57%)
minecraft.dropped.pumpkin: #1, 14594(85%)
minecraft.dropped.cactus: #1, 14662(72%)
minecraft.dropped.bone_meal: #1, 11954(43%)
minecraft.picked_up.leather_chestplate: #1, 305(49%)
minecraft.dropped.green_dye: #1, 22343(91%)
minecraft.picked_up.green_dye: #1, 83077(89%)
minecraft.picked_up.clay_ball: #2, 79186(40%)
minecraft.dropped.white_bed: #1, 100(63%)
minecraft.dropped.tropical_fish: #1, 862(40%)
minecraft.picked_up.nether_gold_ore: #1, 1833(43%)
minecraft.dropped.leather_chestplate: #1, 290(50%)
minecraft.picked_up.quartz_bricks: #1, 251(37%)
minecraft.used.wooden_pickaxe: #1, 182(34%)
minecraft.picked_up.leather_leggings: #1, 154(33%)
minecraft.picked_up.saddle: #1, 134(29%)
minecraft.mined.white_stained_glass: #1, 2968(38%)
minecraft.custom.damage_resisted: #2, 49509(24%)
minecraft.mined.quartz_bricks: #1, 190(36%)
minecraft.used.clay: #1, 10738(35%)
minecraft.picked_up.white_stained_glass: #1, 4402(36%)
minecraft.crafted.white_banner: #1, 718(47%)
minecraft.crafted.white_bed: #1, 256(27%)
minecraft.killed.horse: #1, 78(37%)
minecraft.crafted.leather_horse_armor: #1, 68(45%)
minecraft.crafted.clay: #1, 7357(42%)
minecraft.mined.smooth_quartz: #1, 1269(27%)
minecraft.mined.sunflower: #1, 130(25%)
minecraft.dropped.big_dripleaf: #1, 174(38%)
minecraft.dropped.green_shulker_box: #1, 20(65%)
minecraft.dropped.cooked_chicken: #1, 158(39%)
minecraft.used.oak_boat: #1, 248(22%)
minecraft.dropped.music_disc_blocks: #1, 29(59%)
minecraft.dropped.lead: #1, 94(23%)
minecraft.dropped.deepslate_iron_ore: #1, 139(41%)
minecraft.picked_up.oak_boat: #1, 250(20%)
minecraft.mined.nether_gold_ore: #1, 1911(21%)
minecraft.picked_up.bucket: #1, 362(20%)
minecraft.picked_up.lead: #1, 658(17%)
minecraft.dropped.mud_bricks: #1, 339(48%)
minecraft.picked_up.smooth_quartz: #1, 1826(20%)
minecraft.picked_up.oak_fence: #1, 392(18%)
minecraft.dropped.clay: #2, 3170(34%)
minecraft.picked_up.spyglass: #1, 30(26%)
minecraft.dropped.netherite_block: #1, 169(98%)
minecraft.dropped.feather: #2, 1145(27%)
minecraft.used.quartz_bricks: #1, 744(34%)
minecraft.dropped.oak_planks: #1, 535(17%)
minecraft.picked_up.milk_bucket: #1, 22(33%)
minecraft.mined.oak_fence: #1, 315(17%)
minecraft.picked_up.rabbit_hide: #1, 98(28%)
minecraft.dropped.music_disc_wait: #1, 18(45%)
minecraft.dropped.rabbit_hide: #1, 23(34%)
minecraft.dropped.egg: #2, 2666(20%)
minecraft.picked_up.tropical_fish: #2, 1301(19%)
minecraft.used.carved_pumpkin: #1, 108(14%)
minecraft.picked_up.deepslate_lapis_ore: #1, 430(18%)
minecraft.mined.clay: #2, 22817(18%)
minecraft.dropped.spruce_door: #1, 37(28%)
minecraft.dropped.music_disc_cat: #1, 35(33%)
minecraft.mined.diorite_wall: #1, 75(35%)
minecraft.mined.netherite_block: #1, 170(47%)
minecraft.picked_up.rabbit_foot: #1, 18(38%)
minecraft.picked_up.spider_eye: #1, 10701(14%)
minecraft.picked_up.leather_boots: #2, 310(18%)
minecraft.picked_up.wooden_pickaxe: #1, 11(20%)
minecraft.used.exposed_copper: #2, 324(24%)
minecraft.picked_up.cooked_rabbit: #1, 105(80%)
minecraft.picked_up.stone_hoe: #1, 14(25%)
minecraft.mined.glass: #1, 2730(14%)
minecraft.picked_up.golden_horse_armor: #1, 21(40%)
minecraft.picked_up.deepslate_iron_ore: #1, 762(15%)
minecraft.used.weathered_copper: #2, 287(23%)
minecraft.dropped.brush: #1, 17(65%)
minecraft.dropped.cooked_cod: #1, 39(22%)
minecraft.used.golden_boots: #1, 12(55%)
minecraft.dropped.mossy_stone_brick_stairs: #1, 65(93%)
minecraft.dropped.iron_pickaxe: #1, 15(16%)
minecraft.mined.spruce_door: #1, 40(16%)
minecraft.picked_up.brush: #1, 10(59%)
minecraft.picked_up.iron_horse_armor: #1, 12(24%)
minecraft.dropped.music_disc_strad: #1, 29(88%)
minecraft.dropped.music_disc_ward: #1, 21(88%)
minecraft.dropped.basalt: #2, 5098(18%)
minecraft.dropped.music_disc_far: #1, 16(57%)
minecraft.picked_up.mud_bricks: #1, 350(15%)
minecraft.dropped.cyan_dye: #1, 257(55%)
minecraft.picked_up.music_disc_11: #1, 21(40%)
minecraft.dropped.glass_pane: #2, 365(28%)
minecraft.picked_up.deepslate_copper_ore: #1, 233(17%)
minecraft.dropped.cut_copper_stairs: #1, 24(44%)
minecraft.dropped.copper_ingot: #2, 232(21%)
minecraft.dropped.blue_terracotta: #1, 68(30%)
minecraft.crafted.lead: #1, 130(15%)
minecraft.custom.clean_armor: #1, 118(98%)
minecraft.picked_up.music_disc_strad: #2, 26(23%)
minecraft.broken.wooden_sword: #1, 15(71%)
minecraft.killed_by.endermite: #1, 4(29%)
minecraft.dropped.leather_boots: #2, 275(16%)
minecraft.used.jungle_boat: #1, 28(28%)
minecraft.dropped.wheat: #3, 634(19%)
minecraft.crafted.carrot_on_a_stick: #1, 22(92%)
minecraft.dropped.music_disc_mall: #1, 17(55%)
minecraft.mined.suspicious_gravel: #1, 68(25%)
minecraft.dropped.music_disc_chirp: #1, 26(54%)
minecraft.dropped.leather_leggings: #3, 91(23%)
minecraft.picked_up.yellow_shulker_box: #2, 718(13%)
minecraft.dropped.jukebox: #1, 9(38%)
minecraft.dropped.bee_nest: #1, 6(43%)
minecraft.used.white_bed: #2, 380(12%)
minecraft.dropped.packed_mud: #1, 82(25%)
minecraft.dropped.rabbit_foot: #1, 7(64%)
minecraft.dropped.yellow_glazed_terracotta: #1, 30(51%)
minecraft.killed.salmon: #2, 231(14%)
minecraft.dropped.milk_bucket: #1, 22(31%)
minecraft.mined.yellow_shulker_box: #2, 694(13%)
minecraft.dropped.music_disc_11: #1, 16(50%)
minecraft.picked_up.mossy_stone_brick_stairs: #2, 49(29%)
minecraft.used.yellow_shulker_box: #2, 700(13%)
minecraft.dropped.stone: #3, 44198(14%)
minecraft.dropped.diamond_chestplate: #1, 8(17%)
minecraft.dropped.gravel: #2, 7721(12%)
minecraft.used.iron_sword: #2, 1519(11%)
minecraft.picked_up.cooked_chicken: #2, 697(14%)
minecraft.dropped.spyglass: #1, 9(26%)
minecraft.dropped.magenta_terracotta: #1, 19(58%)
minecraft.picked_up.jungle_boat: #2, 29(25%)
minecraft.mined.infested_deepslate: #2, 64(19%)
minecraft.used.birch_boat: #2, 33(11%)
minecraft.picked_up.leather_horse_armor: #2, 26(27%)
minecraft.custom.strider_one_cm: #2, 1030416(36%)
minecraft.dropped.music_disc_mellohi: #1, 17(55%)
minecraft.dropped.golden_horse_armor: #1, 4(36%)
minecraft.picked_up.deepslate_gold_ore: #2, 756(14%)
minecraft.dropped.green_candle: #1, 5(36%)
minecraft.mined.light_blue_glazed_terracotta: #1, 18(31%)
minecraft.picked_up.clay: #2, 6683(13%)
minecraft.picked_up.coast_armor_trim_smithing_template: #1, 7(70%)
minecraft.crafted.cooked_salmon: #2, 201(24%)
minecraft.used.wooden_sword: #2, 512(13%)
minecraft.used.oak_fence: #2, 566(11%)
minecraft.picked_up.golden_carrot: #3, 3686(9%)
minecraft.dropped.lava_bucket: #2, 22(23%)
minecraft.dropped.jungle_planks: #2, 143(18%)
minecraft.dropped.quartz_slab: #1, 67(25%)
minecraft.mined.composter: #2, 210(12%)
minecraft.picked_up.shaper_armor_trim_smithing_template: #1, 6(24%)
minecraft.picked_up.salmon: #2, 263(10%)
minecraft.picked_up.music_disc_blocks: #2, 25(18%)
minecraft.dropped.cooked_rabbit: #1, 105(95%)
minecraft.dropped.oak_fence: #2, 48(17%)
minecraft.dropped.turtle_helmet: #1, 17(94%)
minecraft.picked_up.music_disc_mall: #2, 18(24%)
minecraft.crafted.name_tag: #2, 707(18%)
minecraft.picked_up.netherite_block: #2, 167(32%)
minecraft.crafted.fishing_rod: #2, 25(13%)
minecraft.dropped.music_disc_stal: #1, 9(45%)
minecraft.picked_up.dune_armor_trim_smithing_template: #1, 9(90%)
minecraft.picked_up.birch_boat: #2, 32(10%)
minecraft.mined.mud_bricks: #2, 240(13%)
minecraft.picked_up.composter: #2, 222(11%)
minecraft.dropped.carrot_on_a_stick: #2, 12(31%)
minecraft.picked_up.stone_pressure_plate: #2, 78(13%)
minecraft.dropped.red_sand: #2, 86(23%)
minecraft.dropped.melon_seeds: #2, 25(25%)
minecraft.dropped.saddle: #2, 56(18%)
minecraft.dropped.weathered_cut_copper: #1, 3(43%)
minecraft.used.cake: #2, 20(14%)
minecraft.used.cooked_salmon: #3, 199(20%)
minecraft.dropped.sugar_cane: #3, 1546(16%)
minecraft.dropped.spider_eye: #3, 17936(14%)
minecraft.dropped.purple_banner: #1, 5(83%)
minecraft.dropped.cherry_hanging_sign: #1, 10(83%)
minecraft.dropped.enchanted_golden_apple: #1, 3(27%)
minecraft.dropped.oak_slab: #2, 56(13%)
minecraft.dropped.pufferfish_bucket: #1, 2(40%)
minecraft.picked_up.iron_pickaxe: #2, 16(10%)
minecraft.dropped.scaffolding: #3, 2086(16%)
minecraft.dropped.detector_rail: #1, 7(39%)
minecraft.picked_up.exposed_copper: #3, 421(16%)
minecraft.picked_up.music_disc_ward: #2, 18(28%)
minecraft.dropped.lapis_lazuli: #3, 704(16%)
minecraft.picked_up.yellow_dye: #2, 313(19%)
minecraft.dropped.golden_hoe: #1, 4(50%)
minecraft.picked_up.bamboo_mosaic_stairs: #1, 3(75%)
minecraft.dropped.bamboo_trapdoor: #1, 2(50%)
minecraft.picked_up.iron_helmet: #2, 16(9%)
minecraft.picked_up.detector_rail: #2, 69(15%)
minecraft.picked_up.music_disc_mellohi: #2, 15(19%)
minecraft.used.cooked_chicken: #3, 399(16%)
minecraft.dropped.warped_hanging_sign: #1, 5(71%)
minecraft.picked_up.spruce_door: #2, 39(9%)
minecraft.dropped.green_concrete_powder: #2, 119(30%)
minecraft.picked_up.cherry_boat: #2, 25(22%)
minecraft.dropped.music_disc_13: #2, 11(17%)
minecraft.dropped.light_gray_glazed_terracotta: #1, 26(67%)
minecraft.picked_up.skull_banner_pattern: #1, 2(67%)
minecraft.dropped.bamboo_fence: #1, 4(67%)
minecraft.dropped.snow: #3, 1521(13%)
minecraft.dropped.beetroot_seeds: #2, 145(15%)
minecraft.dropped.stripped_crimson_stem: #2, 27(28%)
minecraft.dropped.cherry_fence: #1, 4(40%)
minecraft.dropped.vine: #2, 64(16%)
minecraft.crafted.leather_leggings: #3, 122(16%)
minecraft.used.lapis_ore: #2, 90(12%)
minecraft.dropped.cherry_slab: #1, 10(56%)
minecraft.dropped.quartz_block: #2, 1224(14%)
minecraft.dropped.stone_slab: #3, 996(15%)
minecraft.mined.exposed_copper: #3, 327(14%)
minecraft.picked_up.music_disc_wait: #3, 37(20%)
minecraft.picked_up.deepslate_redstone_ore: #3, 1727(11%)
minecraft.killed.rabbit: #2, 25(16%)
minecraft.picked_up.green_candle: #2, 10(17%)
minecraft.dropped.poisonous_potato: #3, 10(19%)
minecraft.picked_up.magenta_stained_glass_pane: #2, 29(25%)
minecraft.used.leather_boots: #2, 11(11%)
minecraft.picked_up.sentry_armor_trim_smithing_template: #1, 3(100%)
minecraft.picked_up.spire_armor_trim_smithing_template: #1, 1(100%)
minecraft.crafted.acacia_chest_boat: #1, 1(100%)
minecraft.crafted.jungle_sapling: #1, 8(100%)
minecraft.crafted.cherry_chest_boat: #1, 1(100%)
minecraft.crafted.dark_oak_chest_boat: #1, 1(100%)
minecraft.crafted.saddle: #1, 111(100%)
minecraft.dropped.smooth_red_sandstone_slab: #1, 1(100%)
minecraft.dropped.danger_pottery_sherd: #1, 1(100%)
minecraft.dropped.mangrove_chest_boat: #1, 2(100%)
minecraft.dropped.prize_pottery_sherd: #1, 1(100%)
minecraft.dropped.cherry_stairs: #1, 6(100%)
minecraft.dropped.sentry_armor_trim_smithing_template: #1, 1(100%)
minecraft.dropped.dark_oak_hanging_sign: #1, 5(100%)
minecraft.dropped.heart_pottery_sherd: #1, 1(100%)
minecraft.dropped.burn_pottery_sherd: #1, 1(100%)
minecraft.dropped.friend_pottery_sherd: #1, 1(100%)
minecraft.dropped.red_nether_brick_slab: #1, 1(100%)
minecraft.dropped.bamboo_mosaic_slab: #1, 13(100%)
minecraft.dropped.bamboo_stairs: #1, 6(100%)
minecraft.dropped.mangrove_fence_gate: #1, 2(100%)
minecraft.dropped.heartbreak_pottery_sherd: #1, 1(100%)
minecraft.dropped.cherry_pressure_plate: #1, 1(100%)
minecraft.dropped.turtle_egg: #1, 25(100%)
minecraft.dropped.bamboo_hanging_sign: #1, 10(100%)
minecraft.dropped.jungle_hanging_sign: #1, 5(100%)
minecraft.dropped.acacia_hanging_sign: #1, 5(100%)
minecraft.dropped.bamboo_mosaic_stairs: #1, 6(100%)
minecraft.dropped.plenty_pottery_sherd: #1, 1(100%)
minecraft.dropped.miner_pottery_sherd: #1, 1(100%)
minecraft.dropped.cherry_button: #1, 1(100%)
minecraft.dropped.raiser_armor_trim_smithing_template: #1, 1(100%)
minecraft.dropped.mourner_pottery_sherd: #1, 1(100%)
minecraft.dropped.mangrove_hanging_sign: #1, 5(100%)
minecraft.dropped.crimson_hanging_sign: #1, 5(100%)
minecraft.dropped.red_sandstone_slab: #1, 1(100%)
minecraft.dropped.vex_armor_trim_smithing_template: #1, 1(100%)
minecraft.dropped.shaper_armor_trim_smithing_template: #1, 1(100%)
minecraft.dropped.blade_pottery_sherd: #1, 1(100%)
minecraft.dropped.cherry_sign: #1, 10(100%)
minecraft.killed_by.wolf: #1, 1(100%)
minecraft.killed_by.allay: #1, 1(100%)
minecraft.killed_by.armor_stand: #1, 1(100%)
minecraft.killed_by.elder_guardian: #1, 1(100%)
