stat, rank, value, (percentage) 
minecraft.used.written_book: #1, 20090(57%)
minecraft.dropped.water_bucket: #1, 234(51%)
minecraft.used.armor_stand: #1, 1565(45%)
minecraft.crafted.armor_stand: #1, 1423(46%)
minecraft.dropped.flint: #1, 4259(40%)
minecraft.used.melon: #1, 5134(91%)
minecraft.crafted.red_bed: #1, 196(72%)
minecraft.killed.player: #1, 621(30%)
minecraft.crafted.andesite_slab: #1, 4326(53%)
minecraft.used.warped_wart_block: #1, 8451(47%)
minecraft.killed_by.player: #1, 615(24%)
minecraft.crafted.leather_leggings: #1, 377(48%)
minecraft.picked_up.flint_and_steel: #1, 437(36%)
minecraft.picked_up.oxeye_daisy: #1, 4516(36%)
minecraft.used.andesite_slab: #1, 4474(46%)
minecraft.picked_up.red_tulip: #1, 1064(45%)
minecraft.crafted.cooked_chicken: #1, 1339(55%)
minecraft.used.sea_pickle: #1, 1011(40%)
minecraft.crafted.leather_chestplate: #1, 464(48%)
minecraft.picked_up.allium: #1, 1327(37%)
minecraft.mined.sea_pickle: #1, 402(35%)
minecraft.mined.warped_roots: #1, 1816(30%)
minecraft.mined.warped_planks: #1, 3157(33%)
minecraft.mined.yellow_wool: #1, 1212(33%)
minecraft.dropped.feather: #1, 1484(35%)
minecraft.used.cooked_chicken: #1, 867(36%)
minecraft.used.air: #1, 1813(44%)
minecraft.dropped.spider_eye: #1, 35538(27%)
minecraft.used.mud_brick_slab: #1, 2206(48%)
minecraft.used.warped_fungus_on_a_stick: #1, 1201(80%)
minecraft.mined.mud_brick_slab: #1, 383(45%)
minecraft.used.sandstone: #1, 11641(30%)
minecraft.mined.nether_sprouts: #1, 1327(34%)
minecraft.mined.mossy_stone_brick_stairs: #1, 59(54%)
minecraft.used.stone_sword: #1, 1392(32%)
minecraft.crafted.leather_boots: #2, 539(33%)
minecraft.used.warped_planks: #1, 8705(30%)
minecraft.mined.warped_stairs: #1, 387(41%)
minecraft.used.light_gray_stained_glass_pane: #1, 1070(38%)
minecraft.picked_up.warped_planks: #1, 2981(25%)
minecraft.crafted.yellow_bed: #1, 151(55%)
minecraft.mined.torchflower: #1, 148(51%)
minecraft.picked_up.torchflower: #1, 178(50%)
minecraft.mined.light_gray_wool: #1, 792(34%)
minecraft.used.torchflower_seeds: #1, 150(49%)
minecraft.picked_up.flint: #2, 4942(22%)
minecraft.used.pink_dye: #1, 75(45%)
minecraft.picked_up.mud_brick_slab: #1, 391(39%)
minecraft.crafted.brown_dye: #1, 2905(25%)
minecraft.mined.player_head: #1, 236(18%)
minecraft.mined.fire: #1, 4155(18%)
minecraft.picked_up.stripped_crimson_stem: #1, 863(24%)
minecraft.used.potion: #2, 1852(21%)
minecraft.crafted.charcoal: #1, 3679(29%)
minecraft.picked_up.warped_stairs: #1, 403(32%)
minecraft.picked_up.warped_wart_block: #1, 14130(25%)
minecraft.mined.stripped_crimson_stem: #1, 857(24%)
minecraft.crafted.sandstone_stairs: #1, 320(49%)
minecraft.mined.warped_wart_block: #1, 12933(26%)
minecraft.mined.red_wool: #1, 1080(24%)
minecraft.crafted.mossy_stone_brick_wall: #1, 150(69%)
minecraft.picked_up.armor_stand: #1, 424(20%)
minecraft.crafted.light_blue_dye: #1, 3901(20%)
minecraft.mined.warped_fungus: #1, 390(22%)
minecraft.used.wooden_axe: #1, 218(27%)
minecraft.used.blue_dye: #1, 26(45%)
minecraft.crafted.lime_bed: #1, 22(54%)
minecraft.crafted.mossy_stone_brick_stairs: #1, 168(66%)
minecraft.crafted.mossy_stone_brick_slab: #1, 96(48%)
minecraft.crafted.cut_sandstone_slab: #1, 1560(66%)
minecraft.custom.deaths: #1, 753(11%)
minecraft.mined.cocoa: #2, 1627(25%)
minecraft.used.horn_coral_fan: #1, 82(40%)
minecraft.used.torchflower: #1, 58(51%)
minecraft.used.shroomlight: #1, 707(20%)
minecraft.used.warped_door: #1, 43(36%)
minecraft.picked_up.azure_bluet: #2, 1417(21%)
minecraft.mined.birch_planks: #2, 3278(19%)
minecraft.used.spruce_sign: #1, 413(15%)
minecraft.picked_up.gray_concrete: #1, 7072(19%)
minecraft.used.oxeye_daisy: #1, 26(44%)
minecraft.mined.lilac: #1, 106(19%)
minecraft.crafted.warped_door: #1, 57(30%)
minecraft.picked_up.melon_seeds: #1, 101(24%)
minecraft.used.warped_stairs: #2, 2058(28%)
minecraft.crafted.light_gray_stained_glass_pane: #1, 1104(27%)
minecraft.mined.dark_oak_planks: #1, 1273(15%)
minecraft.mined.crimson_roots: #2, 2032(24%)
minecraft.used.glow_ink_sac: #1, 599(16%)
minecraft.crafted.spruce_sign: #1, 396(16%)
minecraft.mined.chorus_flower: #1, 57(35%)
minecraft.mined.gray_concrete: #1, 7222(17%)
minecraft.crafted.warped_stairs: #2, 1984(26%)
minecraft.picked_up.beef: #1, 2397(15%)
minecraft.mined.shroomlight: #1, 837(16%)
minecraft.used.white_concrete: #1, 11228(16%)
minecraft.crafted.stripped_crimson_hyphae: #1, 543(62%)
minecraft.killed.squid: #1, 1217(16%)
minecraft.picked_up.shroomlight: #1, 959(16%)
minecraft.killed.cave_spider: #1, 15255(18%)
minecraft.picked_up.mossy_stone_brick_stairs: #1, 59(35%)
minecraft.crafted.wooden_hoe: #1, 19(34%)
minecraft.killed.glow_squid: #1, 250(16%)
minecraft.picked_up.acacia_sign: #2, 132(26%)
minecraft.mined.peony: #1, 47(16%)
minecraft.used.white_dye: #2, 381(23%)
minecraft.picked_up.axolotl_bucket: #1, 30(23%)
minecraft.used.mud_brick_stairs: #1, 615(30%)
minecraft.picked_up.white_tulip: #2, 990(40%)
minecraft.mined.oxeye_daisy: #1, 45(17%)
minecraft.used.red_bed: #2, 365(21%)
minecraft.broken.stone_sword: #1, 10(37%)
minecraft.dropped.beef: #2, 308(25%)
minecraft.used.mangrove_leaves: #2, 2437(22%)
minecraft.crafted.blue_bed: #1, 8(33%)
minecraft.used.calcite: #1, 3093(15%)
minecraft.used.glass_bottle: #2, 1885(19%)
minecraft.used.gray_concrete: #1, 6762(18%)
minecraft.mined.light_gray_concrete_powder: #2, 1228(29%)
minecraft.mined.kelp_plant: #2, 2434(18%)
minecraft.mined.rose_bush: #1, 63(13%)
minecraft.crafted.magenta_bed: #1, 36(88%)
minecraft.picked_up.smithing_table: #2, 169(20%)
minecraft.picked_up.wheat_seeds: #2, 36613(13%)
minecraft.used.birch_pressure_plate: #1, 46(35%)
minecraft.used.light_gray_stained_glass: #2, 10874(22%)
minecraft.mined.oak_slab: #1, 238(13%)
minecraft.crafted.spyglass: #1, 18(26%)
minecraft.mined.gravel: #1, 48651(10%)
minecraft.crafted.brush: #1, 21(24%)
minecraft.mined.birch_pressure_plate: #1, 28(56%)
minecraft.used.magenta_dye: #1, 15(30%)
minecraft.used.leather_leggings: #1, 9(22%)
minecraft.picked_up.melon_slice: #2, 3573(19%)
minecraft.picked_up.blue_concrete: #1, 394(17%)
minecraft.used.stripped_crimson_hyphae: #1, 547(40%)
minecraft.used.milk_bucket: #2, 41(21%)
minecraft.picked_up.warped_fungus_on_a_stick: #1, 14(45%)
minecraft.picked_up.white_concrete: #2, 11417(15%)
minecraft.picked_up.yellow_wool: #2, 1244(18%)
minecraft.mined.orange_tulip: #1, 44(22%)
minecraft.used.light_gray_banner: #1, 29(30%)
minecraft.used.magenta_bed: #1, 36(49%)
minecraft.used.blue_concrete: #1, 352(18%)
minecraft.used.mossy_stone_brick_wall: #1, 153(27%)
minecraft.used.white_wool: #2, 4638(13%)
minecraft.crafted.warped_slab: #2, 2890(19%)
minecraft.picked_up.sea_pickle: #2, 1364(15%)
minecraft.picked_up.birch_pressure_plate: #1, 28(35%)
minecraft.picked_up.warped_door: #1, 15(28%)
minecraft.picked_up.bucket: #2, 251(14%)
minecraft.picked_up.cornflower: #3, 13296(19%)
minecraft.crafted.iron_sword: #2, 33(14%)
minecraft.picked_up.warped_fence: #2, 156(21%)
minecraft.mined.blue_concrete: #1, 396(16%)
minecraft.used.purple_dye: #1, 15(23%)
minecraft.crafted.smooth_sandstone_slab: #2, 714(34%)
minecraft.picked_up.cocoa_beans: #2, 4819(15%)
minecraft.crafted.dark_oak_hanging_sign: #1, 36(55%)
minecraft.mined.spruce_sign: #1, 12(11%)
minecraft.mined.oak_planks: #2, 1826(12%)
minecraft.crafted.blue_dye: #2, 9365(13%)
minecraft.used.blue_concrete_powder: #1, 384(16%)
minecraft.picked_up.dandelion: #2, 4110(13%)
minecraft.mined.spruce_planks: #2, 2722(11%)
minecraft.mined.loom: #2, 41(17%)
minecraft.mined.nether_wart_block: #2, 5465(15%)
minecraft.used.red_wool: #2, 1627(16%)
minecraft.dropped.spruce_fence: #2, 117(19%)
minecraft.picked_up.kelp: #2, 14497(14%)
minecraft.used.stone_pickaxe: #2, 1795(12%)
minecraft.used.player_head: #2, 354(10%)
minecraft.crafted.light_gray_dye: #2, 4256(14%)
minecraft.crafted.melon_seeds: #1, 79(28%)
minecraft.used.nether_quartz_ore: #2, 2304(17%)
minecraft.crafted.warped_fungus_on_a_stick: #1, 4(25%)
minecraft.used.warped_slab: #2, 2018(19%)
minecraft.used.pink_tulip: #1, 30(35%)
minecraft.used.magenta_banner: #1, 14(82%)
minecraft.dropped.smithing_table: #2, 128(39%)
minecraft.crafted.cut_sandstone: #2, 5056(38%)
minecraft.used.book: #2, 410(34%)
minecraft.picked_up.spruce_planks: #2, 3698(11%)
minecraft.crafted.mud_bricks: #2, 2872(16%)
minecraft.picked_up.written_book: #2, 73(11%)
minecraft.used.oak_planks: #2, 2557(12%)
minecraft.mined.calcite: #2, 5673(12%)
minecraft.crafted.gray_dye: #2, 4266(13%)
minecraft.picked_up.sunflower: #2, 2592(12%)
minecraft.used.cherry_log: #2, 476(17%)
minecraft.used.leather_chestplate: #2, 11(22%)
minecraft.used.melon_seeds: #2, 69(27%)
minecraft.picked_up.ink_sac: #2, 5703(11%)
minecraft.used.blue_orchid: #1, 47(32%)
minecraft.mined.pitcher_crop: #2, 58(27%)
minecraft.picked_up.calcite: #2, 5384(11%)
minecraft.picked_up.nether_quartz_ore: #2, 2427(13%)
minecraft.picked_up.oak_planks: #2, 1944(10%)
minecraft.used.magenta_terracotta: #2, 618(24%)
minecraft.mined.cobbled_deepslate: #2, 2333(10%)
minecraft.killed.dolphin: #1, 6(30%)
minecraft.crafted.spruce_door: #2, 75(12%)
minecraft.picked_up.cherry_trapdoor: #1, 29(34%)
minecraft.used.tube_coral: #2, 41(23%)
minecraft.picked_up.gray_wool: #3, 1874(16%)
minecraft.used.pitcher_pod: #2, 63(25%)
minecraft.mined.mud_brick_stairs: #2, 128(20%)
minecraft.picked_up.netherite_boots: #2, 58(13%)
minecraft.broken.stone_pickaxe: #2, 13(17%)
minecraft.crafted.dark_oak_sign: #2, 241(13%)
minecraft.picked_up.pitcher_plant: #2, 63(23%)
minecraft.mined.mud_brick_wall: #2, 30(24%)
minecraft.crafted.wooden_pickaxe: #2, 7(11%)
minecraft.used.spruce_door: #2, 64(12%)
minecraft.picked_up.horn_coral: #2, 57(16%)
minecraft.dropped.netherite_helmet: #2, 8(19%)
minecraft.crafted.dark_prismarine_stairs: #2, 104(25%)
minecraft.used.egg: #4, 5815(16%)
minecraft.mined.torchflower_crop: #1, 8(89%)
minecraft.picked_up.loom: #2, 41(13%)
minecraft.mined.acacia_sign: #2, 10(21%)
minecraft.picked_up.tnt: #2, 7938(12%)
minecraft.picked_up.red_bed: #2, 193(12%)
minecraft.picked_up.mud_brick_stairs: #2, 125(18%)
minecraft.killed_by.magma_cube: #1, 2(29%)
minecraft.used.cocoa_beans: #3, 1716(17%)
minecraft.mined.cherry_trapdoor: #1, 29(42%)
minecraft.dropped.sniffer_egg: #1, 2(33%)
minecraft.dropped.warped_fungus_on_a_stick: #1, 3(33%)
minecraft.mined.white_concrete: #3, 11373(14%)
minecraft.picked_up.netherite_leggings: #2, 49(12%)
minecraft.picked_up.peony: #3, 1735(15%)
minecraft.used.lava_bucket: #2, 1089(10%)
minecraft.mined.warped_fence: #2, 91(16%)
minecraft.mined.wheat: #3, 3988(12%)
minecraft.mined.horn_coral: #2, 58(15%)
minecraft.picked_up.shield: #2, 25(9%)
minecraft.used.gray_concrete_powder: #2, 6193(12%)
minecraft.mined.red_bed: #2, 173(11%)
minecraft.used.fire_coral: #2, 37(23%)
minecraft.dropped.wooden_pickaxe: #2, 5(11%)
minecraft.picked_up.cyan_shulker_box: #3, 801(11%)
minecraft.crafted.pink_dye: #2, 3296(11%)
minecraft.used.polished_blackstone_brick_slab: #2, 1954(28%)
minecraft.mined.crimson_fungus: #3, 269(17%)
minecraft.crafted.birch_pressure_plate: #2, 40(20%)
minecraft.picked_up.netherite_chestplate: #2, 8(27%)
minecraft.used.dark_oak_sign: #3, 252(13%)
minecraft.picked_up.netherite_pickaxe: #3, 103(12%)
minecraft.used.brain_coral: #2, 38(17%)
minecraft.used.yellow_bed: #3, 170(17%)
minecraft.crafted.cooked_beef: #3, 837(14%)
minecraft.mined.blackstone_slab: #2, 88(16%)
minecraft.picked_up.birch_planks: #3, 2055(10%)
minecraft.mined.gray_wool: #3, 985(15%)
minecraft.picked_up.warped_stem: #3, 4171(13%)
minecraft.crafted.light_gray_bed: #2, 7(19%)
minecraft.used.red_tulip: #2, 14(23%)
minecraft.mined.warped_stem: #3, 4067(13%)
minecraft.mined.warped_door: #2, 10(27%)
minecraft.crafted.yellow_dye: #2, 4232(8%)
minecraft.mined.cyan_shulker_box: #3, 765(11%)
minecraft.crafted.writable_book: #2, 116(9%)
minecraft.mined.crimson_planks: #2, 248(8%)
minecraft.mined.brain_coral: #2, 48(12%)
minecraft.used.mud_bricks: #3, 1460(14%)
minecraft.used.brain_coral_fan: #2, 88(14%)
minecraft.killed.cow: #3, 705(10%)
minecraft.broken.chainmail_boots: #1, 1(100%)
minecraft.broken.wooden_axe: #1, 5(100%)
