stat, rank, value, (percentage) 
minecraft.dropped.cut_copper_stairs: #2, 12(22%)
minecraft.used.pink_candle: #2, 17(24%)
minecraft.dropped.barrel: #3, 18(6%)
minecraft.dropped.piston: #3, 56(8%)
minecraft.used.orange_candle: #3, 28(11%)
minecraft.dropped.pink_candle: #3, 17(15%)
minecraft.used.magenta_stained_glass_pane: #3, 3(1%)
minecraft.mined.warped_wall_sign: #5, 19(7%)
minecraft.custom.pig_one_cm: #5, 126511(6%)
minecraft.killed.fox: #5, 1(9%)
minecraft.used.stripped_birch_log: #6, 106(2%)
minecraft.picked_up.stripped_birch_log: #6, 85(1%)
minecraft.dropped.prismarine_bricks: #6, 20(1%)
minecraft.mined.brown_glazed_terracotta: #6, 8(1%)
minecraft.used.brown_glazed_terracotta: #6, 10(0%)
minecraft.used.smithing_table: #7, 50(2%)
minecraft.mined.yellow_stained_glass_pane: #7, 9(2%)
minecraft.picked_up.pink_candle: #7, 3(3%)
minecraft.mined.stripped_birch_log: #7, 85(1%)
minecraft.picked_up.warped_sign: #8, 22(4%)
minecraft.mined.mangrove_wall_sign: #8, 4(3%)
minecraft.mined.warped_door: #8, 1(3%)
minecraft.picked_up.brown_glazed_terracotta: #8, 8(0%)
minecraft.picked_up.mangrove_sign: #9, 5(3%)
minecraft.used.yellow_stained_glass_pane: #9, 14(1%)
minecraft.used.mangrove_sign: #10, 13(3%)
minecraft.picked_up.warped_door: #10, 1(2%)
minecraft.mined.quartz_pillar: #10, 13(1%)
minecraft.picked_up.carrot_on_a_stick: #11, 1(2%)
minecraft.dropped.end_rod: #11, 8(1%)
minecraft.used.orange_bed: #11, 3(1%)
minecraft.mined.orange_bed: #11, 2(0%)
minecraft.picked_up.quartz_stairs: #12, 5(1%)
minecraft.used.orange_stained_glass_pane: #12, 4(0%)
minecraft.used.stripped_crimson_stem: #13, 27(2%)
minecraft.used.warped_sign: #13, 23(1%)
minecraft.crafted.warped_sign: #13, 21(1%)
minecraft.mined.quartz_stairs: #13, 5(1%)
minecraft.used.warped_door: #13, 1(1%)
minecraft.used.light_blue_stained_glass_pane: #13, 10(1%)
minecraft.used.acacia_trapdoor: #13, 46(0%)
minecraft.picked_up.orange_bed: #13, 2(0%)
minecraft.dropped.warped_planks: #13, 1(0%)
minecraft.dropped.prismarine_crystals: #13, 2(0%)
minecraft.used.stripped_mangrove_log: #13, 1(0%)
minecraft.dropped.chain: #14, 18(1%)
minecraft.mined.acacia_trapdoor: #14, 14(1%)
minecraft.mined.cut_copper_stairs: #14, 3(1%)
minecraft.used.dark_prismarine: #14, 61(1%)
minecraft.used.quartz_pillar: #14, 24(0%)
minecraft.used.blue_terracotta: #14, 1(0%)
minecraft.used.birch_boat: #15, 6(2%)
minecraft.picked_up.birch_boat: #15, 6(2%)
minecraft.used.mangrove_trapdoor: #15, 28(1%)
minecraft.crafted.mangrove_trapdoor: #15, 26(1%)
minecraft.picked_up.acacia_trapdoor: #15, 14(1%)
minecraft.picked_up.cut_copper_stairs: #15, 3(0%)
minecraft.picked_up.quartz_pillar: #15, 13(0%)
minecraft.used.white_stained_glass_pane: #15, 24(0%)
minecraft.used.quartz_stairs: #15, 11(0%)
minecraft.used.polished_diorite: #15, 36(0%)
minecraft.crafted.painting: #16, 4(1%)
minecraft.used.smooth_quartz: #16, 163(1%)
minecraft.used.birch_slab: #16, 16(0%)
minecraft.used.cut_copper_stairs: #16, 18(0%)
minecraft.mined.green_bed: #16, 2(0%)
minecraft.used.sculk: #16, 39(0%)
minecraft.picked_up.stripped_crimson_stem: #17, 36(1%)
minecraft.mined.stripped_crimson_stem: #17, 36(1%)
minecraft.used.painting: #17, 13(1%)
minecraft.used.smooth_quartz_slab: #17, 62(0%)
minecraft.used.sea_pickle: #17, 10(0%)
minecraft.dropped.porkchop: #17, 3(0%)
minecraft.used.stone_shovel: #17, 50(0%)
minecraft.used.bone_block: #17, 79(0%)
minecraft.mined.warped_trapdoor: #17, 2(0%)
minecraft.used.detector_rail: #17, 1(0%)
minecraft.mined.polished_diorite: #17, 2(0%)
minecraft.used.mangrove_leaves: #17, 4(0%)
minecraft.crafted.soul_lantern: #18, 11(0%)
minecraft.used.warped_planks: #18, 61(0%)
minecraft.used.prismarine_bricks: #18, 23(0%)
minecraft.mined.prismarine_bricks: #18, 8(0%)
minecraft.used.mushroom_stem: #18, 19(0%)
minecraft.picked_up.blue_terracotta: #18, 1(0%)
minecraft.picked_up.lantern: #19, 66(1%)
minecraft.picked_up.painting: #19, 9(1%)
minecraft.picked_up.warped_trapdoor: #19, 2(0%)
minecraft.mined.mangrove_trapdoor: #19, 2(0%)
minecraft.picked_up.mangrove_trapdoor: #19, 2(0%)
minecraft.mined.blue_terracotta: #19, 1(0%)
minecraft.used.end_rod: #20, 50(1%)
minecraft.crafted.birch_boat: #20, 1(1%)
minecraft.used.crimson_stem: #20, 93(0%)
minecraft.used.soul_lantern: #20, 6(0%)
minecraft.mined.warped_planks: #20, 6(0%)
minecraft.used.warped_trapdoor: #20, 2(0%)
minecraft.picked_up.polished_diorite: #20, 2(0%)
minecraft.picked_up.prismarine_crystals: #20, 2(0%)
minecraft.mined.mangrove_leaves: #20, 4(0%)
minecraft.used.diamond_leggings: #21, 1(0%)
minecraft.used.campfire: #21, 10(0%)
minecraft.used.deepslate_tile_slab: #21, 38(0%)
minecraft.crafted.moss_carpet: #21, 15(0%)
minecraft.picked_up.prismarine_bricks: #21, 8(0%)
minecraft.crafted.birch_trapdoor: #21, 2(0%)
minecraft.picked_up.warped_planks: #21, 6(0%)
minecraft.used.birch_trapdoor: #21, 1(0%)
minecraft.picked_up.lime_concrete: #21, 2(0%)
minecraft.mined.barrel: #22, 19(1%)
minecraft.mined.end_rod: #22, 14(1%)
minecraft.picked_up.saddle: #22, 2(0%)
minecraft.picked_up.bone_block: #22, 71(0%)
minecraft.crafted.brewing_stand: #22, 2(0%)
minecraft.used.spruce_sign: #22, 5(0%)
minecraft.dropped.pumpkin_pie: #22, 8(0%)
minecraft.mined.dark_prismarine: #22, 2(0%)
minecraft.picked_up.enchanted_book: #22, 2(0%)
minecraft.mined.sea_lantern: #22, 1(0%)
minecraft.picked_up.dark_prismarine: #22, 2(0%)
minecraft.used.polished_deepslate_stairs: #22, 3(0%)
minecraft.used.polished_deepslate_wall: #22, 1(0%)
minecraft.mined.sculk: #22, 2(0%)
minecraft.used.barrel: #23, 52(1%)
minecraft.picked_up.barrel: #23, 19(0%)
minecraft.picked_up.oak_trapdoor: #23, 7(0%)
minecraft.crafted.iron_door: #23, 3(0%)
minecraft.picked_up.end_rod: #23, 14(0%)
minecraft.picked_up.diamond_chestplate: #23, 1(0%)
minecraft.used.iron_door: #23, 2(0%)
minecraft.crafted.jukebox: #23, 1(0%)
minecraft.mined.smooth_stone_slab: #23, 6(0%)
minecraft.used.cyan_terracotta: #23, 117(0%)
minecraft.picked_up.smooth_stone_slab: #23, 6(0%)
minecraft.used.glow_lichen: #23, 48(0%)
minecraft.mined.bone_block: #23, 7(0%)
minecraft.mined.sea_pickle: #23, 1(0%)
minecraft.used.dark_oak_slab: #23, 24(0%)
minecraft.crafted.polished_deepslate: #23, 32(0%)
minecraft.custom.pot_flower: #24, 5(0%)
minecraft.crafted.birch_slab: #24, 24(0%)
minecraft.crafted.mangrove_planks: #24, 80(0%)
minecraft.dropped.lead: #24, 1(0%)
minecraft.used.chorus_fruit: #24, 1(0%)
minecraft.killed.sheep: #24, 2(0%)
minecraft.used.diorite: #24, 39(0%)
minecraft.used.flint_and_steel: #24, 23(0%)
minecraft.picked_up.mutton: #24, 2(0%)
minecraft.crafted.warped_planks: #24, 112(0%)
minecraft.used.piston: #24, 11(0%)
minecraft.used.honey_block: #24, 7(0%)
minecraft.crafted.spruce_stairs: #24, 12(0%)
minecraft.mined.smooth_quartz: #24, 3(0%)
minecraft.used.spruce_stairs: #24, 10(0%)
minecraft.mined.piston: #24, 3(0%)
minecraft.picked_up.smooth_quartz: #24, 3(0%)
minecraft.used.azalea_leaves: #24, 11(0%)
minecraft.mined.diamond_block: #24, 1(0%)
minecraft.used.sea_lantern: #24, 2(0%)
minecraft.mined.crimson_stem: #24, 3(0%)
minecraft.used.brewing_stand: #25, 2(0%)
minecraft.used.flower_pot: #25, 5(0%)
minecraft.used.spruce_log: #25, 74(0%)
minecraft.killed.enderman: #25, 1391(0%)
minecraft.picked_up.chain: #25, 6(0%)
minecraft.crafted.stone_shovel: #25, 1(0%)
minecraft.used.bookshelf: #25, 22(0%)
minecraft.used.jukebox: #25, 1(0%)
minecraft.crafted.dark_oak_trapdoor: #25, 18(0%)
minecraft.used.chain: #25, 6(0%)
minecraft.mined.honey_block: #25, 1(0%)
minecraft.picked_up.honey_block: #25, 1(0%)
minecraft.mined.bookshelf: #25, 2(0%)
minecraft.picked_up.crimson_stem: #25, 3(0%)
minecraft.custom.open_barrel: #26, 474(0%)
minecraft.picked_up.lead: #26, 10(0%)
minecraft.used.dark_oak_trapdoor: #26, 19(0%)
minecraft.dropped.ender_pearl: #26, 291(0%)
minecraft.crafted.dark_oak_slab: #26, 36(0%)
minecraft.mined.chain: #26, 1(0%)
minecraft.mined.cyan_terracotta: #26, 6(0%)
minecraft.crafted.spruce_slab: #26, 24(0%)
minecraft.picked_up.piston: #26, 3(0%)
minecraft.used.smooth_stone_slab: #26, 6(0%)
minecraft.picked_up.sea_pickle: #26, 2(0%)
minecraft.used.polished_deepslate: #26, 10(0%)
minecraft.crafted.firework_rocket: #26, 165(0%)
minecraft.mined.mushroom_stem: #26, 1(0%)
minecraft.killed_by.drowned: #27, 1(1%)
minecraft.crafted.flint_and_steel: #27, 1(0%)
minecraft.used.oak_sign: #27, 6(0%)
minecraft.killed.pig: #27, 1(0%)
minecraft.used.golden_carrot: #27, 37(0%)
minecraft.picked_up.ender_pearl: #27, 293(0%)
minecraft.mined.oak_wall_sign: #27, 1(0%)
minecraft.used.totem_of_undying: #27, 1(0%)
minecraft.used.spruce_planks: #27, 52(0%)
minecraft.used.moss_carpet: #27, 15(0%)
minecraft.picked_up.chorus_fruit: #27, 3(0%)
minecraft.picked_up.cyan_terracotta: #27, 6(0%)
minecraft.used.spruce_slab: #27, 9(0%)
minecraft.used.iron_block: #27, 6(0%)
minecraft.mined.iron_block: #27, 2(0%)
minecraft.dropped.gunpowder: #27, 3(0%)
minecraft.picked_up.diamond_helmet: #28, 2(0%)
minecraft.mined.lantern: #28, 2(0%)
minecraft.used.lever: #28, 7(0%)
minecraft.picked_up.shears: #28, 1(0%)
minecraft.crafted.dark_oak_stairs: #28, 12(0%)
minecraft.mined.dark_oak_trapdoor: #28, 2(0%)
minecraft.used.stonecutter: #28, 2(0%)
minecraft.crafted.stonecutter: #28, 1(0%)
minecraft.used.grindstone: #28, 1(0%)
minecraft.used.dark_oak_stairs: #28, 9(0%)
minecraft.mined.dark_oak_slab: #28, 2(0%)
minecraft.mined.moss_carpet: #28, 6(0%)
minecraft.custom.interact_with_stonecutter: #28, 6(0%)
minecraft.picked_up.cooked_porkchop: #28, 41(0%)
minecraft.picked_up.moss_block: #28, 64(0%)
minecraft.mined.stonecutter: #28, 1(0%)
minecraft.picked_up.stonecutter: #28, 1(0%)
minecraft.mined.spruce_stairs: #28, 1(0%)
minecraft.picked_up.dark_oak_stairs: #28, 1(0%)
minecraft.picked_up.dark_oak_slab: #28, 2(0%)
minecraft.used.rail: #28, 2(0%)
minecraft.crafted.air: #28, 0(0%)
minecraft.used.player_head: #29, 4(0%)
minecraft.crafted.spruce_trapdoor: #29, 30(0%)
minecraft.picked_up.porkchop: #29, 3(0%)
minecraft.used.spruce_trapdoor: #29, 27(0%)
minecraft.mined.lever: #29, 1(0%)
minecraft.crafted.diamond: #29, 18(0%)
minecraft.mined.dark_oak_stairs: #29, 1(0%)
minecraft.picked_up.dark_oak_trapdoor: #29, 2(0%)
minecraft.picked_up.spruce_stairs: #29, 1(0%)
minecraft.custom.mob_kills: #29, 1399(0%)
minecraft.used.stone: #29, 106(0%)
minecraft.picked_up.book: #29, 6(0%)
minecraft.picked_up.iron_block: #29, 2(0%)
minecraft.custom.climb_one_cm: #30, 78671(0%)
minecraft.picked_up.totem_of_undying: #30, 1(0%)
minecraft.mined.spruce_trapdoor: #30, 3(0%)
minecraft.dropped.golden_carrot: #30, 4(0%)
minecraft.picked_up.diamond_block: #30, 2(0%)
minecraft.crafted.spruce_planks: #30, 212(0%)
minecraft.picked_up.lever: #30, 1(0%)
minecraft.mined.fire: #30, 4(0%)
minecraft.crafted.iron_nugget: #30, 63(0%)
minecraft.picked_up.moss_carpet: #30, 6(0%)
minecraft.picked_up.white_wool: #30, 2(0%)
minecraft.custom.inspect_hopper: #30, 4(0%)
minecraft.mined.spruce_planks: #30, 2(0%)
minecraft.crafted.paper: #30, 3(0%)
minecraft.mined.crafting_table: #31, 6(0%)
