stat, rank, value, (percentage) 
minecraft.used.dark_oak_slab: #1, 23302(63%)
minecraft.picked_up.stone_stairs: #1, 3614(60%)
minecraft.picked_up.dark_oak_slab: #1, 4684(48%)
minecraft.crafted.dark_oak_slab: #1, 24235(47%)
minecraft.used.azure_bluet: #1, 890(75%)
minecraft.dropped.dark_oak_trapdoor: #1, 925(67%)
minecraft.dropped.dark_oak_slab: #1, 3099(82%)
minecraft.dropped.dark_oak_log: #1, 4693(54%)
minecraft.used.dark_oak_log: #1, 23479(42%)
minecraft.dropped.dark_oak_planks: #1, 1771(46%)
minecraft.used.bricks: #1, 7550(56%)
minecraft.picked_up.black_wool: #1, 11327(43%)
minecraft.picked_up.prismarine_crystals: #1, 2774(50%)
minecraft.picked_up.chiseled_stone_bricks: #1, 4824(47%)
minecraft.crafted.stone_slab: #1, 19644(39%)
minecraft.crafted.brick_stairs: #1, 528(73%)
minecraft.dropped.polished_andesite: #1, 2178(63%)
minecraft.dropped.polished_granite: #1, 1155(72%)
minecraft.crafted.dark_oak_stairs: #1, 4552(33%)
minecraft.dropped.dark_oak_fence: #1, 773(65%)
minecraft.dropped.white_concrete: #1, 5727(88%)
minecraft.dropped.jungle_log: #1, 1768(64%)
minecraft.used.dark_oak_stairs: #1, 4442(33%)
minecraft.dropped.anvil: #1, 188(73%)
minecraft.used.dark_oak_fence_gate: #1, 1083(52%)
minecraft.crafted.stone_stairs: #1, 4804(42%)
minecraft.used.sea_lantern: #1, 3562(39%)
minecraft.picked_up.sea_lantern: #1, 3020(37%)
minecraft.dropped.stone_stairs: #1, 1885(77%)
minecraft.used.dark_oak_sapling: #1, 3351(37%)
minecraft.dropped.packed_ice: #1, 3085(53%)
minecraft.dropped.ice: #1, 2801(57%)
minecraft.picked_up.brick_stairs: #1, 315(60%)
minecraft.dropped.polished_andesite_stairs: #1, 190(60%)
minecraft.crafted.dark_oak_fence_gate: #1, 1125(47%)
minecraft.dropped.dark_oak_stairs: #1, 1181(88%)
minecraft.picked_up.dark_oak_fence_gate: #1, 445(63%)
minecraft.dropped.sea_lantern: #1, 1832(62%)
minecraft.picked_up.dark_oak_stairs: #1, 1369(31%)
minecraft.dropped.prismarine_crystals: #1, 2447(62%)
minecraft.crafted.cobbled_deepslate_stairs: #1, 1052(48%)
minecraft.picked_up.red_stained_glass: #1, 2366(44%)
minecraft.picked_up.polished_andesite: #1, 3603(32%)
minecraft.dropped.stone_brick_stairs: #1, 444(56%)
minecraft.mined.dark_oak_slab: #1, 883(30%)
minecraft.dropped.spruce_slab: #1, 894(40%)
minecraft.dropped.white_concrete_powder: #1, 3265(76%)
minecraft.dropped.light_gray_wool: #1, 2177(59%)
minecraft.dropped.spruce_leaves: #1, 1344(36%)
minecraft.picked_up.dark_oak_sign: #1, 328(28%)
minecraft.dropped.chiseled_stone_bricks: #1, 2433(66%)
minecraft.picked_up.cyan_stained_glass: #1, 875(49%)
minecraft.picked_up.dark_oak_fence: #1, 1214(29%)
minecraft.dropped.azure_bluet: #1, 281(37%)
minecraft.dropped.snow: #1, 3586(30%)
minecraft.picked_up.orange_stained_glass: #1, 1450(42%)
minecraft.picked_up.polished_basalt: #1, 2669(33%)
minecraft.dropped.purple_stained_glass: #1, 793(94%)
minecraft.used.stone_stairs: #1, 4062(28%)
minecraft.used.tube_coral: #1, 101(57%)
minecraft.dropped.black_concrete: #1, 1738(52%)
minecraft.dropped.light_blue_stained_glass_pane: #1, 128(72%)
minecraft.dropped.polished_deepslate: #1, 887(42%)
minecraft.used.dark_oak_fence: #1, 3449(26%)
minecraft.picked_up.red_stained_glass_pane: #1, 406(45%)
minecraft.picked_up.purple_glazed_terracotta: #1, 392(88%)
minecraft.picked_up.polished_granite: #1, 1940(34%)
minecraft.picked_up.magenta_concrete: #1, 714(50%)
minecraft.dropped.polished_basalt: #1, 2129(53%)
minecraft.dropped.light_gray_stained_glass_pane: #1, 141(46%)
minecraft.picked_up.snow_block: #1, 21959(23%)
minecraft.dropped.barrel: #1, 87(31%)
minecraft.dropped.stripped_mangrove_log: #1, 91(73%)
minecraft.dropped.terracotta: #1, 811(30%)
minecraft.used.string: #1, 7830(26%)
minecraft.used.brick_stairs: #1, 486(47%)
minecraft.crafted.dark_oak_fence: #1, 3537(25%)
minecraft.crafted.anvil: #1, 1000(22%)
minecraft.crafted.cyan_banner: #1, 116(62%)
minecraft.dropped.orange_dye: #1, 126(68%)
minecraft.crafted.bricks: #1, 7716(28%)
minecraft.crafted.brick: #1, 31032(24%)
minecraft.dropped.orange_stained_glass: #1, 521(88%)
minecraft.dropped.smooth_quartz: #1, 300(41%)
minecraft.dropped.white_wool: #2, 1622(30%)
