stat, rank, value, (percentage) 
minecraft.crafted.candle: #1, 31632(84%)
minecraft.mined.spruce_fence_gate: #1, 549(59%)
minecraft.dropped.shulker_box: #1, 527(47%)
minecraft.used.honeycomb_block: #1, 2531(89%)
minecraft.used.amethyst_cluster: #1, 1330(44%)
minecraft.mined.podzol: #1, 13745(32%)
minecraft.mined.red_bed: #1, 627(41%)
minecraft.picked_up.spruce_fence_gate: #1, 555(42%)
minecraft.picked_up.red_bed: #1, 639(39%)
minecraft.crafted.honey_block: #1, 27808(81%)
minecraft.used.cut_copper_stairs: #1, 2445(44%)
minecraft.used.red_bed: #1, 636(36%)
minecraft.used.peony: #1, 129(40%)
minecraft.dropped.amethyst_cluster: #1, 463(60%)
minecraft.crafted.red_candle: #1, 2436(78%)
minecraft.crafted.white_candle: #1, 1860(96%)
minecraft.crafted.glass_bottle: #1, 28312(33%)
minecraft.used.spruce_fence_gate: #1, 844(30%)
minecraft.dropped.purple_dye: #1, 128(68%)
minecraft.dropped.shears: #1, 291(27%)
minecraft.mined.honeycomb_block: #1, 827(94%)
minecraft.mined.bamboo_sapling: #1, 52(32%)
minecraft.crafted.lime_candle: #1, 1668(90%)
minecraft.mined.stone_slab: #1, 3668(23%)
minecraft.used.spruce_planks: #1, 13367(19%)
minecraft.crafted.light_gray_candle: #1, 1860(97%)
minecraft.crafted.cyan_candle: #1, 1668(73%)
minecraft.dropped.rotten_flesh: #3, 55962(22%)
minecraft.dropped.small_amethyst_bud: #1, 136(75%)
minecraft.picked_up.podzol: #2, 5097(23%)
minecraft.dropped.crimson_fungus: #1, 76(36%)
minecraft.dropped.spruce_sapling: #2, 812(25%)
minecraft.crafted.green_candle: #1, 1348(60%)
minecraft.crafted.brown_candle: #1, 2052(97%)
minecraft.mined.large_amethyst_bud: #1, 360(25%)
minecraft.crafted.yellow_candle: #1, 1988(67%)
minecraft.crafted.purple_candle: #1, 1872(91%)
minecraft.picked_up.diamond_chestplate: #1, 57(19%)
minecraft.used.deepslate_tile_slab: #2, 4961(21%)
minecraft.mined.medium_amethyst_bud: #2, 575(28%)
minecraft.crafted.bone_meal: #2, 573906(17%)
minecraft.crafted.spruce_fence_gate: #2, 608(21%)
minecraft.crafted.pink_candle: #1, 1796(100%)
minecraft.crafted.light_blue_candle: #1, 1860(99%)
minecraft.crafted.orange_candle: #1, 2052(99%)
minecraft.crafted.magenta_candle: #1, 1732(98%)
minecraft.mined.amethyst_cluster: #2, 4315(20%)
minecraft.used.crimson_stem: #2, 7021(18%)
minecraft.used.deepslate_brick_slab: #2, 5149(21%)
minecraft.crafted.blue_candle: #1, 1732(92%)
minecraft.picked_up.bee_nest: #2, 143(21%)
minecraft.mined.mossy_cobblestone: #2, 1302(18%)
minecraft.picked_up.purple_dye: #1, 128(29%)
minecraft.picked_up.coal_ore: #1, 5877(12%)
