stat, rank, value, (percentage) 
minecraft.picked_up.cooked_porkchop: #1, 85537(84%)
minecraft.picked_up.firework_rocket: #1, 435708(72%)
minecraft.dropped.firework_rocket: #1, 296444(77%)
minecraft.picked_up.paper: #1, 100316(78%)
minecraft.picked_up.emerald: #1, 120560(70%)
minecraft.dropped.cooked_porkchop: #1, 48255(90%)
minecraft.killed.creeper: #1, 69721(71%)
minecraft.dropped.emerald: #1, 112258(88%)
minecraft.dropped.paper: #1, 101203(82%)
minecraft.picked_up.gunpowder: #1, 83697(63%)
minecraft.dropped.netherrack: #1, 397023(71%)
minecraft.custom.drop: #1, 186567(39%)
minecraft.used.stone_button: #1, 12578(68%)
minecraft.mined.melon: #1, 5090(88%)
minecraft.used.light_blue_shulker_box: #1, 9848(57%)
minecraft.mined.light_blue_shulker_box: #1, 9579(56%)
minecraft.picked_up.light_blue_shulker_box: #1, 9814(56%)
minecraft.picked_up.end_stone: #1, 53248(81%)
minecraft.mined.end_stone: #1, 52905(81%)
minecraft.crafted.light_blue_shulker_box: #1, 1100(78%)
minecraft.picked_up.ancient_debris: #1, 7331(71%)
minecraft.mined.ancient_debris: #1, 6204(68%)
minecraft.mined.stone_brick_slab: #1, 2688(66%)
minecraft.used.end_stone: #1, 46005(90%)
minecraft.picked_up.stone_bricks: #1, 27754(56%)
minecraft.mined.stone_bricks: #1, 24682(60%)
minecraft.used.small_amethyst_bud: #1, 5237(91%)
minecraft.picked_up.tnt: #1, 43920(66%)
minecraft.picked_up.stone_brick_slab: #1, 5671(58%)
minecraft.picked_up.polished_blackstone_bricks: #1, 36367(60%)
minecraft.picked_up.melon_slice: #1, 12429(67%)
minecraft.mined.gold_block: #1, 3458(62%)
minecraft.dropped.snowball: #1, 11812(49%)
minecraft.dropped.calcite: #1, 2013(66%)
minecraft.picked_up.rotten_flesh: #1, 36162(35%)
minecraft.picked_up.sugar_cane: #1, 93346(49%)
minecraft.dropped.quartz: #1, 6504(63%)
minecraft.picked_up.netherrack: #1, 425405(45%)
minecraft.used.stone_brick_slab: #1, 11989(53%)
minecraft.dropped.melon_slice: #1, 12497(98%)
minecraft.mined.cracked_stone_bricks: #1, 2105(65%)
minecraft.picked_up.cracked_stone_bricks: #1, 3976(68%)
minecraft.crafted.stone_button: #1, 14145(50%)
minecraft.dropped.tnt: #1, 33236(84%)
minecraft.picked_up.small_amethyst_bud: #1, 5245(77%)
minecraft.mined.netherrack: #1, 794819(43%)
minecraft.used.tnt: #1, 39534(55%)
minecraft.dropped.porkchop: #1, 477(69%)
minecraft.crafted.stone_bricks: #1, 77352(44%)
minecraft.crafted.netherite_scrap: #1, 2958(77%)
minecraft.crafted.iron_boots: #1, 136(42%)
minecraft.used.stone_bricks: #1, 66022(47%)
minecraft.used.glass: #1, 37509(42%)
minecraft.crafted.firework_rocket: #1, 550640(45%)
minecraft.mined.sugar_cane: #1, 31924(43%)
minecraft.crafted.iron_helmet: #1, 112(41%)
minecraft.crafted.stone_brick_slab: #1, 14206(50%)
minecraft.mined.polished_blackstone_bricks: #1, 23239(48%)
minecraft.mined.jungle_trapdoor: #1, 4874(91%)
minecraft.crafted.stone_pressure_plate: #1, 1879(54%)
minecraft.picked_up.polished_blackstone_button: #1, 948(65%)
minecraft.picked_up.poppy: #1, 10795(39%)
minecraft.dropped.gravel: #1, 25834(40%)
minecraft.picked_up.light_blue_wool: #1, 4215(56%)
minecraft.crafted.stone_brick_stairs: #1, 3448(55%)
minecraft.dropped.nether_quartz_ore: #1, 1427(69%)
minecraft.dropped.white_wool: #1, 2497(46%)
minecraft.dropped.cobblestone: #1, 26874(32%)
minecraft.dropped.end_stone: #1, 1038(78%)
minecraft.used.jungle_trapdoor: #1, 8436(83%)
minecraft.picked_up.porkchop: #1, 929(37%)
minecraft.used.cracked_stone_bricks: #1, 4471(51%)
minecraft.mined.small_amethyst_bud: #1, 3842(60%)
minecraft.picked_up.brown_wool: #1, 3758(66%)
minecraft.dropped.brown_wool: #1, 3700(96%)
minecraft.mined.stone_brick_stairs: #1, 1040(43%)
minecraft.dropped.stone_bricks: #1, 2903(45%)
minecraft.dropped.birch_sign: #1, 338(45%)
minecraft.dropped.magma_block: #1, 518(52%)
minecraft.dropped.filled_map: #1, 22576(37%)
minecraft.crafted.stone_brick_wall: #1, 3458(49%)
minecraft.dropped.tuff: #1, 9291(36%)
minecraft.used.sugar_cane: #1, 4754(42%)
minecraft.crafted.paper: #1, 201353(34%)
minecraft.dropped.chest: #1, 543(40%)
minecraft.picked_up.jungle_trapdoor: #1, 5881(77%)
minecraft.dropped.blackstone: #1, 16195(45%)
minecraft.dropped.soul_soil: #1, 1931(58%)
minecraft.dropped.book: #1, 310(52%)
minecraft.picked_up.green_wool: #1, 4893(52%)
minecraft.dropped.snow_block: #1, 9775(43%)
minecraft.picked_up.dark_oak_trapdoor: #1, 1608(33%)
minecraft.picked_up.brown_candle: #1, 310(89%)
minecraft.used.white_wool: #1, 11618(34%)
minecraft.dropped.mossy_stone_bricks: #1, 644(75%)
minecraft.mined.cobblestone: #1, 15354(27%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #1, 19824(60%)
minecraft.dropped.smooth_basalt: #1, 1016(46%)
minecraft.crafted.polished_blackstone_button: #1, 1876(53%)
minecraft.dropped.cobbled_deepslate: #1, 14168(33%)
minecraft.dropped.polished_blackstone_button: #1, 950(79%)
minecraft.picked_up.filled_map: #1, 27759(26%)
minecraft.dropped.flint: #2, 3836(36%)
minecraft.dropped.white_carpet: #1, 648(63%)
minecraft.mined.purple_stained_glass: #1, 1066(59%)
minecraft.mined.polished_blackstone_button: #1, 218(58%)
minecraft.mined.mossy_stone_bricks: #1, 703(39%)
minecraft.crafted.cooked_porkchop: #1, 453(42%)
minecraft.dropped.rail: #1, 2180(38%)
minecraft.picked_up.black_wool: #2, 9696(37%)
minecraft.dropped.phantom_membrane: #1, 134(47%)
minecraft.dropped.ender_pearl: #1, 86797(25%)
minecraft.crafted.netherite_ingot: #1, 959(42%)
minecraft.picked_up.spruce_button: #1, 195(37%)
minecraft.crafted.cobblestone_slab: #1, 5250(35%)
minecraft.picked_up.stone_brick_stairs: #1, 1310(37%)
minecraft.dropped.spruce_boat: #1, 71(45%)
minecraft.dropped.birch_trapdoor: #1, 226(85%)
minecraft.dropped.black_wool: #1, 8875(53%)
minecraft.crafted.diamond_axe: #1, 50(26%)
minecraft.used.cobblestone_slab: #1, 5633(31%)
minecraft.dropped.sandstone: #1, 3414(38%)
minecraft.dropped.nether_gold_ore: #1, 332(56%)
minecraft.crafted.jungle_trapdoor: #1, 4582(65%)
minecraft.used.polished_blackstone_button: #1, 1157(44%)
minecraft.used.netherite_block: #1, 499(93%)
minecraft.mined.deepslate_brick_stairs: #1, 1261(37%)
minecraft.picked_up.birch_trapdoor: #1, 441(38%)
minecraft.picked_up.mossy_stone_bricks: #1, 693(35%)
minecraft.crafted.cracked_stone_bricks: #1, 4673(49%)
minecraft.mined.cobblestone_slab: #1, 2528(31%)
minecraft.picked_up.medium_amethyst_bud: #1, 1020(48%)
minecraft.used.cooked_porkchop: #2, 10301(25%)
