stat, rank, value, (percentage) 
minecraft.killed.pillager: #1, 1944594(64%)
minecraft.used.lime_terracotta: #1, 35335(58%)
minecraft.picked_up.chorus_fruit: #1, 4906(45%)
minecraft.killed.witch: #1, 414321(64%)
minecraft.crafted.lime_terracotta: #1, 35352(60%)
minecraft.dropped.carrot: #1, 15265(44%)
minecraft.crafted.emerald_block: #1, 53956(47%)
minecraft.custom.mob_kills: #2, 4301005(30%)
minecraft.picked_up.coal_block: #1, 2605(48%)
minecraft.crafted.green_shulker_box: #1, 128(46%)
minecraft.mined.gilded_blackstone: #1, 424(71%)
minecraft.crafted.shears: #1, 3595(32%)
minecraft.killed.vindicator: #1, 1437756(64%)
minecraft.dropped.chorus_fruit: #1, 1323(46%)
minecraft.mined.lime_terracotta: #1, 3325(35%)
minecraft.dropped.stone_button: #1, 2471(55%)
minecraft.crafted.soul_torch: #1, 4732(52%)
minecraft.used.lime_concrete_powder: #1, 6444(44%)
minecraft.picked_up.lime_concrete: #1, 5609(44%)
minecraft.used.chiseled_deepslate: #1, 1637(65%)
minecraft.used.emerald_block: #1, 7370(34%)
minecraft.crafted.cyan_concrete_powder: #1, 24872(48%)
minecraft.used.mangrove_trapdoor: #1, 1385(41%)
minecraft.crafted.soul_lantern: #1, 2016(42%)
minecraft.used.cyan_wool: #1, 4739(42%)
minecraft.crafted.black_wool: #1, 8733(52%)
minecraft.mined.stripped_birch_log: #2, 4448(34%)
minecraft.crafted.redstone_lamp: #1, 2064(37%)
minecraft.picked_up.stone_button: #1, 1681(32%)
minecraft.used.polished_blackstone: #1, 12131(39%)
minecraft.used.lime_stained_glass: #1, 7012(48%)
minecraft.picked_up.nether_star: #1, 229(45%)
minecraft.killed.evoker: #1, 350023(66%)
minecraft.custom.raid_trigger: #1, 90005(65%)
minecraft.crafted.smooth_quartz: #1, 8722(38%)
minecraft.used.deepslate_tile_wall: #1, 4246(40%)
minecraft.crafted.enchanted_book: #1, 7103(49%)
minecraft.mined.lime_concrete: #1, 5575(45%)
minecraft.picked_up.mangrove_trapdoor: #1, 818(38%)
minecraft.used.lime_concrete: #1, 4720(53%)
minecraft.used.bee_nest: #1, 258(44%)
minecraft.picked_up.gilded_blackstone: #1, 455(50%)
