stat, rank, value, (percentage) 
minecraft.mined.carrots: #1, 5092(34%)
minecraft.picked_up.carrot: #1, 27104(28%)
minecraft.used.golden_pickaxe: #1, 500(62%)
minecraft.picked_up.melon: #1, 704(61%)
minecraft.used.carrot: #1, 6069(20%)
minecraft.used.golden_axe: #1, 495(57%)
minecraft.used.golden_shovel: #1, 500(92%)
minecraft.used.golden_hoe: #1, 468(77%)
minecraft.mined.infested_stone: #1, 73(33%)
minecraft.crafted.golden_pickaxe: #1, 19(79%)
minecraft.dropped.melon: #1, 130(90%)
minecraft.picked_up.cut_red_sandstone_slab: #1, 43(80%)
minecraft.used.fire_charge: #1, 11(52%)
minecraft.crafted.golden_hoe: #1, 18(86%)
minecraft.mined.cut_red_sandstone_slab: #1, 41(85%)
minecraft.crafted.golden_axe: #1, 19(61%)
minecraft.crafted.tripwire_hook: #2, 384(19%)
minecraft.dropped.coal_block: #1, 78(22%)
minecraft.crafted.golden_shovel: #1, 19(90%)
minecraft.used.cut_red_sandstone_slab: #1, 222(90%)
minecraft.picked_up.splash_potion: #2, 82(10%)
minecraft.picked_up.acacia_door: #1, 8(21%)
minecraft.crafted.golden_carrot: #2, 8136(11%)
minecraft.killed.bat: #2, 38(14%)
minecraft.used.acacia_door: #2, 17(30%)
minecraft.picked_up.amethyst_shard: #2, 14041(10%)
minecraft.mined.dragon_wall_head: #2, 13(13%)
minecraft.dropped.stone_hoe: #2, 10(17%)
minecraft.crafted.furnace_minecart: #2, 13(17%)
minecraft.dropped.cake: #2, 17(26%)
minecraft.picked_up.poisonous_potato: #2, 18(10%)
minecraft.dropped.iron_boots: #2, 80(10%)
minecraft.dropped.zombie_spawn_egg: #1, 1(100%)
minecraft.used.zombie_spawn_egg: #1, 1(100%)
minecraft.mined.potatoes: #3, 755(12%)
minecraft.used.nether_wart_block: #3, 567(13%)
minecraft.picked_up.iron_boots: #3, 73(10%)
minecraft.mined.acacia_door: #2, 5(33%)
minecraft.dropped.splash_potion: #2, 60(10%)
minecraft.crafted.chainmail_chestplate: #2, 8(24%)
minecraft.used.potato: #3, 764(10%)
minecraft.picked_up.dark_oak_leaves: #3, 2001(12%)
minecraft.picked_up.crimson_button: #2, 8(31%)
minecraft.picked_up.potato: #4, 3568(12%)
minecraft.dropped.oak_stairs: #2, 65(16%)
minecraft.crafted.melon: #2, 6207(20%)
minecraft.mined.big_dripleaf: #3, 36(10%)
minecraft.crafted.chainmail_helmet: #2, 10(23%)
minecraft.dropped.diamond_ore: #2, 9(18%)
minecraft.dropped.oak_wood: #2, 39(18%)
minecraft.used.stone_hoe: #3, 661(11%)
minecraft.mined.wither_skeleton_wall_skull: #2, 5(17%)
minecraft.dropped.small_amethyst_bud: #2, 30(17%)
minecraft.dropped.diorite: #3, 1871(8%)
minecraft.crafted.light_gray_shulker_box: #3, 22(10%)
minecraft.dropped.medium_amethyst_bud: #2, 51(26%)
minecraft.mined.big_dripleaf_stem: #3, 32(10%)
minecraft.broken.leather_boots: #2, 1(50%)
minecraft.dropped.cherry_boat: #2, 1(50%)
minecraft.mined.lime_concrete_powder: #3, 19(10%)
minecraft.dropped.podzol: #3, 44(9%)
minecraft.dropped.jungle_door: #2, 10(23%)
minecraft.picked_up.golden_pickaxe: #3, 4(12%)
minecraft.mined.decorated_pot: #3, 35(12%)
minecraft.dropped.dark_oak_planks: #3, 229(6%)
minecraft.mined.potted_red_tulip: #2, 1(20%)
minecraft.mined.potted_cactus: #2, 2(25%)
minecraft.picked_up.stripped_cherry_log: #3, 183(13%)
minecraft.dropped.large_amethyst_bud: #2, 20(16%)
minecraft.crafted.arrow: #3, 1152(10%)
minecraft.mined.stripped_cherry_log: #3, 179(13%)
minecraft.dropped.cooked_mutton: #3, 7(12%)
minecraft.mined.stone_bricks: #3, 2130(5%)
minecraft.mined.chiseled_nether_bricks: #2, 1(5%)
minecraft.used.red_sand: #3, 115(7%)
minecraft.dropped.clay: #3, 609(6%)
minecraft.dropped.brown_wool: #2, 52(1%)
minecraft.mined.mossy_cobblestone_slab: #3, 15(6%)
minecraft.used.stripped_cherry_log: #2, 14(2%)
minecraft.used.oak_stairs: #4, 261(8%)
minecraft.crafted.orange_shulker_box: #4, 19(10%)
minecraft.crafted.raw_gold: #4, 891(11%)
minecraft.used.porkchop: #3, 10(12%)
minecraft.dropped.brown_concrete_powder: #3, 61(20%)
minecraft.picked_up.nether_brick: #3, 718(6%)
minecraft.dropped.nether_brick: #3, 191(8%)
minecraft.mined.rail: #4, 2896(7%)
minecraft.broken.golden_shovel: #3, 1(17%)
minecraft.dropped.amethyst_shard: #4, 668(10%)
minecraft.picked_up.pumpkin: #4, 1729(5%)
minecraft.picked_up.fire_charge: #3, 135(6%)
minecraft.dropped.pumpkin: #3, 578(3%)
minecraft.killed.silverfish: #4, 25(7%)
minecraft.picked_up.tropical_fish: #4, 389(6%)
minecraft.dropped.wet_sponge: #3, 16(9%)
minecraft.killed_by.guardian: #3, 1(12%)
minecraft.mined.melon_stem: #3, 5(9%)
minecraft.mined.tinted_glass: #4, 237(7%)
minecraft.dropped.acacia_door: #3, 6(9%)
minecraft.picked_up.stone_hoe: #4, 5(9%)
minecraft.mined.attached_melon_stem: #3, 1(10%)
minecraft.mined.oak_pressure_plate: #4, 3(10%)
minecraft.used.baked_potato: #4, 338(6%)
minecraft.picked_up.oak_button: #4, 13(7%)
minecraft.mined.gold_ore: #4, 326(5%)
minecraft.crafted.cake: #4, 17(10%)
minecraft.picked_up.spectral_arrow: #4, 1212(5%)
minecraft.dropped.chainmail_helmet: #4, 10(7%)
minecraft.picked_up.chiseled_nether_bricks: #3, 1(4%)
minecraft.used.melon_seeds: #4, 26(10%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #3, 7(2%)
minecraft.dropped.purpur_stairs: #4, 10(8%)
minecraft.crafted.chest_minecart: #4, 7(7%)
minecraft.dropped.diamond_hoe: #4, 4(7%)
minecraft.mined.dark_oak_leaves: #5, 4410(8%)
minecraft.dropped.oak_button: #4, 5(9%)
minecraft.dropped.nether_brick_stairs: #3, 2(1%)
minecraft.dropped.diamond: #4, 275(3%)
minecraft.custom.clean_armor: #3, 1(1%)
minecraft.picked_up.wooden_shovel: #4, 12(8%)
minecraft.picked_up.jungle_door: #4, 7(10%)
minecraft.dropped.cracked_stone_bricks: #4, 63(7%)
minecraft.dropped.gray_concrete: #4, 51(8%)
minecraft.broken.stone_pickaxe: #4, 4(5%)
minecraft.used.kelp: #5, 1163(8%)
minecraft.dropped.sticky_piston: #4, 43(6%)
minecraft.broken.iron_axe: #5, 9(9%)
minecraft.used.dark_oak_leaves: #4, 325(6%)
minecraft.mined.dark_oak_log: #5, 10840(6%)
minecraft.mined.green_concrete_powder: #4, 102(4%)
minecraft.broken.bow: #4, 1(20%)
minecraft.killed_by.evoker: #4, 1(10%)
minecraft.mined.oak_hanging_sign: #4, 4(12%)
minecraft.mined.jack_o_lantern: #4, 118(5%)
minecraft.dropped.wooden_axe: #4, 3(4%)
minecraft.crafted.melon_seeds: #4, 20(7%)
minecraft.crafted.oak_door: #5, 12(7%)
minecraft.mined.brown_concrete_powder: #5, 17(12%)
minecraft.picked_up.dark_oak_log: #5, 11221(5%)
minecraft.mined.oak_fence: #5, 109(6%)
minecraft.crafted.acacia_door: #4, 15(5%)
minecraft.picked_up.decorated_pot: #5, 35(11%)
minecraft.crafted.jungle_button: #4, 16(4%)
minecraft.picked_up.bamboo_raft: #5, 20(8%)
minecraft.dropped.mossy_cobblestone_wall: #4, 2(9%)
minecraft.mined.gray_stained_glass: #5, 58(8%)
minecraft.mined.cave_vines: #5, 106(4%)
minecraft.picked_up.brown_concrete_powder: #5, 78(7%)
minecraft.mined.oak_wall_hanging_sign: #4, 1(6%)
minecraft.used.jack_o_lantern: #4, 233(2%)
minecraft.dropped.flint_and_steel: #5, 9(6%)
minecraft.picked_up.magma_block: #6, 3570(8%)
minecraft.crafted.mossy_stone_brick_wall: #4, 6(3%)
minecraft.mined.magma_block: #6, 3698(8%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #4, 7(2%)
minecraft.crafted.brown_shulker_box: #5, 17(6%)
minecraft.dropped.golden_axe: #4, 1(3%)
minecraft.mined.light_blue_bed: #4, 3(3%)
minecraft.picked_up.dark_prismarine: #5, 231(5%)
minecraft.used.furnace_minecart: #5, 12(9%)
minecraft.crafted.coarse_dirt: #5, 1840(4%)
minecraft.mined.brick_stairs: #5, 15(7%)
minecraft.mined.wither_skeleton_skull: #4, 7(1%)
minecraft.dropped.purple_terracotta: #4, 12(3%)
minecraft.used.stripped_oak_log: #4, 98(1%)
minecraft.mined.oak_leaves: #5, 4510(3%)
minecraft.used.oak_log: #5, 1180(3%)
minecraft.mined.pumpkin: #5, 353(3%)
minecraft.crafted.nether_wart_block: #4, 1(0%)
minecraft.crafted.iron_boots: #5, 11(3%)
minecraft.crafted.light_gray_bed: #5, 3(8%)
minecraft.mined.white_terracotta: #5, 936(3%)
minecraft.mined.cyan_wool: #5, 45(5%)
minecraft.crafted.acacia_button: #6, 36(10%)
minecraft.mined.stone_brick_stairs: #5, 78(3%)
minecraft.picked_up.crying_obsidian: #5, 255(3%)
minecraft.dropped.polished_diorite: #5, 64(5%)
minecraft.dropped.andesite_slab: #5, 12(8%)
minecraft.mined.cave_vines_plant: #5, 56(3%)
minecraft.used.magma_block: #6, 1935(7%)
minecraft.crafted.snow_block: #5, 3700(2%)
minecraft.picked_up.rail: #6, 3220(6%)
minecraft.crafted.jungle_door: #5, 6(6%)
minecraft.picked_up.jack_o_lantern: #5, 118(4%)
minecraft.used.brown_concrete_powder: #6, 301(7%)
minecraft.used.iron_axe: #6, 1887(6%)
minecraft.dropped.packed_ice: #5, 216(4%)
minecraft.mined.diamond_ore: #6, 31(7%)
minecraft.crafted.stone_hoe: #6, 8(8%)
minecraft.dropped.amethyst_cluster: #5, 36(5%)
minecraft.killed.zombie_villager: #6, 18(6%)
minecraft.used.white_terracotta: #5, 567(3%)
minecraft.crafted.oak_stairs: #6, 312(7%)
minecraft.picked_up.oak_leaves: #5, 2129(2%)
minecraft.dropped.potion: #6, 162(6%)
minecraft.used.orange_wool: #5, 350(3%)
minecraft.broken.iron_pickaxe: #6, 13(6%)
minecraft.picked_up.cake: #5, 4(5%)
minecraft.dropped.oak_slab: #6, 31(7%)
minecraft.dropped.oxidized_cut_copper_stairs: #5, 1(9%)
minecraft.used.spruce_boat: #6, 44(5%)
minecraft.picked_up.clay: #6, 3073(6%)
minecraft.used.mutton: #5, 3(5%)
minecraft.picked_up.dragon_head: #6, 13(7%)
minecraft.picked_up.spruce_boat: #6, 44(5%)
minecraft.used.brick_stairs: #5, 23(2%)
minecraft.broken.iron_shovel: #6, 15(5%)
minecraft.used.stone_pickaxe: #6, 648(4%)
minecraft.dropped.prismarine_bricks: #5, 33(2%)
minecraft.crafted.yellow_bed: #5, 6(2%)
minecraft.mined.cyan_bed: #5, 12(2%)
minecraft.used.orange_tulip: #5, 2(5%)
minecraft.crafted.spruce_door: #6, 30(5%)
minecraft.crafted.pumpkin_pie: #5, 664(2%)
minecraft.mined.stripped_oak_log: #5, 164(1%)
minecraft.mined.dripstone_block: #6, 638(5%)
minecraft.crafted.brick_stairs: #5, 10(1%)
minecraft.picked_up.light_blue_bed: #5, 3(2%)
minecraft.killed.wither: #5, 3(1%)
minecraft.crafted.jack_o_lantern: #5, 223(2%)
minecraft.used.bamboo_raft: #6, 19(8%)
minecraft.dropped.spectral_arrow: #5, 169(1%)
minecraft.crafted.baked_potato: #6, 367(6%)
minecraft.mined.lime_stained_glass_pane: #5, 15(1%)
minecraft.mined.oak_stairs: #6, 72(4%)
minecraft.used.dripstone_block: #6, 304(5%)
minecraft.crafted.polished_diorite_slab: #5, 12(1%)
minecraft.crafted.oak_wood: #6, 399(6%)
minecraft.mined.light_weighted_pressure_plate: #5, 14(0%)
minecraft.mined.bamboo_planks: #6, 4(9%)
minecraft.used.cherry_wood: #5, 2(0%)
minecraft.dropped.copper_block: #5, 1(0%)
minecraft.picked_up.stone_bricks: #6, 1760(4%)
minecraft.used.coarse_dirt: #6, 1574(3%)
minecraft.mined.lime_stained_glass: #6, 181(6%)
minecraft.used.chest_minecart: #6, 7(5%)
minecraft.dropped.yellow_wool: #6, 93(6%)
minecraft.picked_up.yellow_wool: #6, 252(4%)
minecraft.picked_up.oak_hanging_sign: #6, 5(7%)
minecraft.used.mossy_cobblestone_slab: #6, 123(4%)
minecraft.used.pumpkin: #6, 806(3%)
minecraft.dropped.carrot: #6, 1047(3%)
minecraft.dropped.copper_ore: #6, 90(3%)
minecraft.used.decorated_pot: #6, 38(5%)
minecraft.crafted.gold_ingot: #6, 21745(3%)
minecraft.crafted.gold_block: #6, 1526(3%)
minecraft.dropped.oak_pressure_plate: #6, 2(9%)
minecraft.dropped.polished_deepslate_slab: #6, 65(4%)
minecraft.picked_up.potion: #7, 190(5%)
minecraft.picked_up.white_terracotta: #6, 905(2%)
minecraft.picked_up.oak_wood: #6, 44(4%)
minecraft.dropped.brown_carpet: #6, 15(7%)
minecraft.mined.small_dripleaf: #6, 11(3%)
minecraft.used.slime_block: #6, 552(2%)
minecraft.mined.red_sand: #6, 1133(3%)
minecraft.used.conduit: #6, 2(5%)
minecraft.dropped.golden_pickaxe: #6, 1(7%)
minecraft.picked_up.red_sand: #6, 1080(2%)
minecraft.dropped.spruce_boat: #6, 4(3%)
minecraft.used.cherry_log: #6, 68(2%)
minecraft.mined.oak_sign: #7, 13(6%)
minecraft.used.iron_shovel: #7, 4377(5%)
minecraft.used.cake: #6, 3(2%)
minecraft.dropped.crimson_fungus: #6, 6(3%)
minecraft.mined.jungle_door: #6, 2(5%)
minecraft.used.snowball: #7, 315(4%)
minecraft.dropped.quartz: #6, 178(2%)
minecraft.mined.fletching_table: #6, 5(4%)
minecraft.picked_up.fletching_table: #6, 5(4%)
minecraft.crafted.cracked_stone_bricks: #6, 210(2%)
minecraft.mined.cobweb: #7, 310(5%)
minecraft.used.magenta_wool: #6, 118(3%)
minecraft.picked_up.peony: #7, 647(5%)
minecraft.dropped.glass_pane: #6, 32(2%)
minecraft.mined.sponge: #6, 225(2%)
minecraft.crafted.iron_trapdoor: #7, 352(6%)
minecraft.picked_up.lilac: #7, 649(5%)
minecraft.used.jungle_door: #6, 3(3%)
minecraft.killed_by.slime: #6, 1(5%)
minecraft.crafted.chiseled_deepslate: #6, 10(2%)
minecraft.used.wet_sponge: #6, 220(2%)
minecraft.dropped.spruce_pressure_plate: #6, 3(3%)
minecraft.used.cyan_bed: #6, 13(2%)
minecraft.mined.small_amethyst_bud: #6, 108(2%)
minecraft.crafted.orange_bed: #6, 1(4%)
minecraft.dropped.experience_bottle: #6, 64(3%)
minecraft.picked_up.cyan_bed: #6, 12(2%)
minecraft.crafted.red_bed: #6, 4(1%)
minecraft.mined.beetroots: #6, 29(2%)
minecraft.mined.prismarine: #6, 75(1%)
minecraft.picked_up.stripped_oak_log: #6, 164(1%)
minecraft.crafted.red_sandstone: #6, 112(1%)
minecraft.mined.acacia_planks: #6, 21(1%)
minecraft.dropped.mossy_stone_bricks: #6, 11(1%)
minecraft.crafted.stripped_oak_wood: #6, 12(2%)
minecraft.dropped.tinted_glass: #6, 50(2%)
minecraft.picked_up.wither_skeleton_skull: #6, 22(1%)
minecraft.dropped.purple_bed: #6, 1(2%)
minecraft.picked_up.birch_button: #6, 4(1%)
minecraft.picked_up.diamond_ore: #7, 20(6%)
minecraft.picked_up.oak_stairs: #7, 126(4%)
minecraft.picked_up.green_concrete_powder: #6, 102(1%)
minecraft.dropped.gold_nugget: #6, 236(0%)
minecraft.picked_up.heart_of_the_sea: #6, 1(1%)
minecraft.mined.red_sandstone: #6, 4(1%)
minecraft.dropped.yellow_carpet: #6, 1(1%)
minecraft.mined.exposed_cut_copper_stairs: #6, 3(1%)
minecraft.picked_up.exposed_cut_copper_stairs: #6, 3(0%)
minecraft.dropped.oak_leaves: #7, 140(4%)
minecraft.used.light_weighted_pressure_plate: #6, 15(0%)
minecraft.used.dark_oak_log: #7, 1863(3%)
minecraft.dropped.polished_blackstone_brick_stairs: #6, 1(0%)
minecraft.picked_up.big_dripleaf: #7, 182(4%)
minecraft.picked_up.snowball: #7, 15496(3%)
minecraft.mined.pointed_dripstone: #7, 123(4%)
minecraft.picked_up.prismarine: #7, 453(4%)
minecraft.dropped.oak_fence: #7, 15(5%)
minecraft.picked_up.slime_ball: #7, 1330(4%)
minecraft.used.music_disc_otherside: #7, 7(4%)
minecraft.picked_up.oak_pressure_plate: #7, 3(5%)
minecraft.picked_up.tinted_glass: #7, 260(4%)
minecraft.dropped.terracotta: #7, 106(4%)
minecraft.used.mossy_cobblestone: #7, 612(3%)
minecraft.mined.amethyst_cluster: #7, 739(3%)
minecraft.used.rooted_dirt: #7, 310(4%)
minecraft.mined.clay: #7, 3443(3%)
minecraft.crafted.white_shulker_box: #7, 11(3%)
minecraft.killed_by.phantom: #7, 1(8%)
minecraft.picked_up.orange_concrete: #7, 396(3%)
minecraft.mined.infested_deepslate: #7, 14(4%)
minecraft.dropped.magma_block: #7, 34(3%)
minecraft.dropped.pumpkin_seeds: #7, 857(3%)
minecraft.dropped.rail: #7, 157(3%)
minecraft.mined.calcite: #8, 2716(6%)
minecraft.mined.orange_concrete: #7, 396(3%)
minecraft.dropped.grass: #7, 18(3%)
minecraft.mined.medium_amethyst_bud: #7, 60(3%)
minecraft.mined.yellow_bed: #7, 21(3%)
minecraft.dropped.dark_prismarine: #7, 25(4%)
minecraft.used.clay: #7, 662(2%)
minecraft.mined.yellow_wool: #7, 72(2%)
minecraft.used.green_concrete_powder: #7, 935(2%)
minecraft.dropped.gray_wool: #7, 64(3%)
minecraft.picked_up.brick_stairs: #7, 15(3%)
minecraft.used.rail: #8, 3559(5%)
minecraft.mined.smooth_basalt: #8, 1127(6%)
minecraft.dropped.big_dripleaf: #7, 11(2%)
minecraft.mined.oak_button: #7, 3(3%)
minecraft.crafted.apple: #7, 104(5%)
minecraft.dropped.cooked_chicken: #7, 9(2%)
minecraft.picked_up.oak_fence: #8, 104(5%)
minecraft.crafted.polished_andesite_stairs: #7, 38(2%)
