stat, rank, value, (percentage) 
minecraft.used.birch_planks: #1, 166634(91%)
minecraft.used.blackstone: #1, 94426(74%)
minecraft.crafted.birch_planks: #1, 166043(52%)
minecraft.mined.birch_planks: #1, 8848(52%)
minecraft.picked_up.birch_planks: #1, 10133(48%)
minecraft.mined.light_gray_stained_glass: #1, 5877(80%)
minecraft.picked_up.tropical_fish: #1, 3593(53%)
minecraft.mined.seagrass: #1, 3284(53%)
minecraft.used.trident: #1, 8683(58%)
minecraft.crafted.birch_sign: #1, 1658(39%)
minecraft.picked_up.light_gray_stained_glass: #1, 4016(62%)
minecraft.crafted.blue_stained_glass_pane: #1, 3232(82%)
minecraft.used.birch_sign: #1, 2057(35%)
minecraft.mined.tall_seagrass: #1, 2417(45%)
minecraft.mined.cave_vines_plant: #1, 845(40%)
minecraft.mined.sponge: #1, 6867(64%)
minecraft.mined.glow_lichen: #1, 11885(40%)
minecraft.picked_up.diorite: #1, 66451(30%)
minecraft.picked_up.birch_button: #1, 363(70%)
minecraft.mined.birch_sapling: #1, 230(43%)
minecraft.picked_up.sponge: #1, 6944(59%)
minecraft.picked_up.cobblestone: #1, 382174(25%)
minecraft.used.wet_sponge: #1, 6588(65%)
minecraft.used.red_dye: #1, 290(54%)
minecraft.mined.birch_log: #1, 34841(30%)
minecraft.picked_up.pearlescent_froglight: #1, 867(38%)
minecraft.picked_up.granite: #1, 67900(29%)
minecraft.used.snow_block: #1, 52998(32%)
minecraft.used.soul_torch: #1, 561(64%)
minecraft.mined.birch_leaves: #1, 25241(29%)
minecraft.picked_up.birch_log: #1, 35276(26%)
minecraft.mined.diorite: #1, 71224(26%)
minecraft.picked_up.beetroot_seeds: #1, 2675(45%)
minecraft.picked_up.glow_lichen: #1, 14055(36%)
minecraft.picked_up.andesite: #1, 76722(28%)
minecraft.custom.walk_under_water_one_cm: #2, 42407849(14%)
minecraft.mined.kelp_plant: #1, 4485(34%)
minecraft.mined.pink_wool: #1, 1040(64%)
minecraft.crafted.light_gray_stained_glass: #1, 27152(46%)
minecraft.used.glow_lichen: #1, 12915(31%)
minecraft.dropped.bucket: #1, 305(34%)
minecraft.used.mangrove_roots: #1, 3113(43%)
minecraft.picked_up.oxeye_daisy: #2, 4423(35%)
minecraft.used.red_sand: #1, 778(45%)
minecraft.picked_up.birch_sign: #1, 1005(25%)
minecraft.mined.granite: #1, 70577(26%)
minecraft.mined.andesite: #1, 78832(26%)
minecraft.used.yellow_candle: #1, 906(79%)
minecraft.picked_up.birch_leaves: #1, 16544(28%)
minecraft.used.birch_sapling: #1, 6003(30%)
minecraft.used.birch_leaves: #1, 10038(30%)
minecraft.mined.yellow_concrete_powder: #1, 1182(77%)
minecraft.mined.horn_coral_block: #1, 2413(54%)
minecraft.picked_up.horn_coral_block: #1, 2110(50%)
minecraft.mined.mangrove_roots: #1, 6579(33%)
minecraft.dropped.tropical_fish: #2, 722(33%)
minecraft.picked_up.birch_sapling: #1, 6261(24%)
minecraft.used.sand: #1, 97117(27%)
minecraft.crafted.netherite_block: #1, 130(72%)
minecraft.mined.furnace: #1, 677(22%)
minecraft.picked_up.yellow_candle: #1, 203(65%)
minecraft.used.potion: #1, 1858(21%)
minecraft.mined.yellow_candle: #1, 57(79%)
minecraft.used.wooden_shovel: #1, 4577(79%)
minecraft.picked_up.beetroot: #1, 1191(55%)
minecraft.used.cyan_stained_glass_pane: #1, 508(50%)
minecraft.used.gravel: #1, 7793(23%)
minecraft.used.yellow_stained_glass_pane: #1, 826(50%)
minecraft.used.horn_coral_block: #1, 1997(54%)
minecraft.used.ender_pearl: #1, 1630(20%)
minecraft.crafted.magenta_shulker_box: #1, 27(40%)
minecraft.used.light_gray_stained_glass: #1, 16582(34%)
minecraft.used.beetroot_seeds: #1, 1066(52%)
minecraft.mined.beetroots: #1, 932(52%)
minecraft.picked_up.water_bucket: #1, 270(20%)
minecraft.picked_up.torch: #1, 20561(17%)
minecraft.used.baked_potato: #1, 1684(29%)
minecraft.mined.snow: #2, 176224(26%)
minecraft.mined.torch: #1, 5045(18%)
minecraft.used.sponge: #1, 6753(39%)
minecraft.crafted.snow_block: #2, 40881(27%)
minecraft.used.birch_button: #1, 378(44%)
minecraft.mined.rooted_dirt: #1, 4383(27%)
minecraft.picked_up.wet_sponge: #1, 6525(36%)
minecraft.mined.pearlescent_froglight: #1, 316(31%)
minecraft.used.tropical_fish: #1, 177(65%)
minecraft.custom.walk_on_water_one_cm: #2, 14768022(11%)
minecraft.mined.wet_sponge: #1, 6507(37%)
