stat, rank, value, (percentage) 
minecraft.used.golden_boots: #7, 1(5%)
minecraft.used.wooden_sword: #22, 6(0%)
minecraft.picked_up.pointed_dripstone: #24, 54(0%)
minecraft.picked_up.golden_boots: #24, 1(0%)
minecraft.used.glow_berries: #27, 2(0%)
minecraft.custom.time_since_rest: #30, 62589(0%)
minecraft.custom.talked_to_villager: #30, 1(0%)
minecraft.custom.damage_resisted: #32, 55(0%)
minecraft.used.potion: #32, 1(0%)
minecraft.used.elytra: #33, 1(0%)
minecraft.custom.inspect_dropper: #33, 2(0%)
minecraft.dropped.ender_pearl: #33, 2(0%)
minecraft.mined.red_shulker_box: #34, 1(0%)
minecraft.custom.open_barrel: #35, 27(0%)
minecraft.picked_up.red_shulker_box: #35, 1(0%)
minecraft.used.golden_carrot: #36, 9(0%)
minecraft.killed_by.player: #37, 1(0%)
minecraft.used.diamond_sword: #37, 4(0%)
minecraft.custom.aviate_one_cm: #39, 3187160(0%)
minecraft.custom.damage_dealt: #40, 262(0%)
minecraft.used.diamond_pickaxe: #41, 1(0%)
minecraft.custom.sprint_one_cm: #42, 233464(0%)
minecraft.used.firework_rocket: #42, 59(0%)
minecraft.custom.crouch_one_cm: #42, 22039(0%)
minecraft.custom.swim_one_cm: #42, 1448(0%)
minecraft.custom.climb_one_cm: #43, 2498(0%)
minecraft.custom.walk_one_cm: #44, 292813(0%)
minecraft.custom.sleep_in_bed: #44, 1(0%)
minecraft.custom.damage_taken: #46, 746(0%)
minecraft.custom.jump: #46, 383(0%)
minecraft.custom.fall_one_cm: #46, 5308(0%)
minecraft.custom.time_since_death: #47, 62366(0%)
minecraft.custom.deaths: #47, 1(0%)
minecraft.custom.open_chest: #47, 3(0%)
minecraft.custom.drop: #48, 2(0%)
minecraft.custom.open_shulker_box: #48, 3(0%)
minecraft.custom.sneak_time: #59, 6360(0%)
minecraft.custom.walk_on_water_one_cm: #62, 1081(0%)
minecraft.custom.fly_one_cm: #63, 77038(0%)
minecraft.custom.walk_under_water_one_cm: #64, 382(0%)
minecraft.custom.play_time: #65, 122530(0%)
minecraft.custom.total_world_time: #65, 122530(0%)
minecraft.custom.leave_game: #70, 1(0%)
