stat, rank, value, (percentage) 
minecraft.crafted.slime_block: #1, 44809(80%)
minecraft.crafted.iron_block: #1, 49379(33%)
minecraft.used.spruce_button: #1, 402(35%)
minecraft.used.spruce_pressure_plate: #1, 195(50%)
minecraft.used.cobbled_deepslate_slab: #1, 9829(32%)
minecraft.crafted.cobbled_deepslate_slab: #1, 3880(35%)
minecraft.dropped.furnace: #1, 130(41%)
minecraft.dropped.slime_ball: #1, 4268(39%)
minecraft.used.blackstone_stairs: #1, 1478(62%)
minecraft.used.oak_stairs: #1, 917(27%)
minecraft.crafted.spruce_pressure_plate: #1, 220(36%)
minecraft.dropped.diamond_block: #1, 709(28%)
minecraft.used.poppy: #1, 161(26%)
minecraft.dropped.deepslate: #1, 19878(24%)
minecraft.mined.glass_pane: #1, 287(27%)
minecraft.killed.bat: #1, 93(35%)
minecraft.used.deepslate_redstone_ore: #1, 2029(26%)
minecraft.used.gray_stained_glass_pane: #1, 1042(42%)
minecraft.dropped.deepslate_lapis_ore: #1, 59(69%)
minecraft.crafted.gray_stained_glass_pane: #1, 1120(32%)
minecraft.dropped.minecart: #1, 152(28%)
minecraft.used.composter: #1, 948(19%)
minecraft.mined.sweet_berry_bush: #1, 84(20%)
minecraft.picked_up.diamond_block: #2, 953(17%)
minecraft.dropped.spruce_pressure_plate: #1, 47(54%)
minecraft.used.andesite_stairs: #1, 762(26%)
minecraft.crafted.composter: #1, 977(18%)
minecraft.dropped.hopper_minecart: #1, 121(60%)
minecraft.mined.spruce_pressure_plate: #1, 28(34%)
minecraft.crafted.dark_oak_door: #1, 102(21%)
minecraft.used.deepslate_lapis_ore: #1, 268(22%)
minecraft.mined.gray_stained_glass_pane: #1, 216(41%)
minecraft.mined.dark_oak_stairs: #1, 364(15%)
minecraft.crafted.coal: #1, 9972(18%)
minecraft.picked_up.spruce_pressure_plate: #1, 53(27%)
minecraft.crafted.spruce_button: #2, 446(21%)
minecraft.picked_up.deepslate_redstone_ore: #1, 2403(16%)
minecraft.mined.deepslate_brick_wall: #1, 234(30%)
minecraft.crafted.black_bed: #1, 13(34%)
minecraft.picked_up.cut_copper_stairs: #1, 102(17%)
minecraft.used.spruce_log: #1, 5959(14%)
minecraft.mined.dark_oak_sapling: #1, 65(20%)
minecraft.mined.dirt_path: #2, 1128(16%)
minecraft.crafted.spruce_slab: #1, 8996(13%)
minecraft.mined.diamond_block: #2, 677(20%)
minecraft.dropped.birch_log: #1, 424(15%)
minecraft.mined.cut_copper_stairs: #1, 106(20%)
minecraft.dropped.acacia_door: #1, 48(70%)
minecraft.mined.mud_brick_stairs: #1, 148(23%)
minecraft.used.glass_pane: #2, 1193(22%)
minecraft.picked_up.mud_brick_stairs: #1, 148(21%)
minecraft.picked_up.deepslate_lapis_ore: #2, 416(17%)
minecraft.mined.campfire: #2, 166(17%)
minecraft.crafted.oak_stairs: #2, 816(17%)
minecraft.picked_up.netherite_chestplate: #1, 10(33%)
minecraft.used.campfire: #2, 516(15%)
minecraft.mined.deepslate_redstone_ore: #2, 5051(13%)
minecraft.used.blue_stained_glass: #1, 197(21%)
minecraft.used.dark_oak_stairs: #2, 1744(13%)
minecraft.dropped.iron_block: #2, 1408(16%)
minecraft.dropped.tuff: #2, 3341(13%)
minecraft.mined.deepslate_lapis_ore: #2, 679(11%)
minecraft.dropped.spruce_sign: #1, 36(11%)
minecraft.used.blackstone_slab: #2, 1025(23%)
minecraft.used.sculk_shrieker: #2, 195(26%)
minecraft.used.purple_candle: #1, 119(39%)
minecraft.killed.phantom: #3, 148(15%)
minecraft.mined.blackstone_stairs: #1, 48(23%)
minecraft.mined.sculk_sensor: #2, 824(13%)
minecraft.mined.andesite_stairs: #2, 63(16%)
minecraft.broken.golden_pickaxe: #1, 4(21%)
minecraft.mined.white_banner: #2, 28(27%)
minecraft.picked_up.gray_stained_glass_pane: #2, 212(19%)
minecraft.picked_up.potato: #3, 3699(13%)
minecraft.dropped.sculk_catalyst: #2, 64(26%)
minecraft.picked_up.purple_candle: #2, 49(29%)
minecraft.dropped.potato: #2, 441(12%)
minecraft.crafted.campfire: #3, 449(14%)
minecraft.mined.oak_stairs: #3, 221(14%)
minecraft.mined.sculk_shrieker: #3, 218(18%)
minecraft.used.black_dye: #1, 3(38%)
minecraft.crafted.dark_oak_stairs: #3, 1570(11%)
minecraft.dropped.red_mushroom_block: #2, 536(22%)
minecraft.used.bamboo_slab: #2, 126(29%)
minecraft.picked_up.redstone: #2, 15222(7%)
minecraft.killed.pig: #3, 67(11%)
minecraft.used.cut_copper_stairs: #3, 949(17%)
minecraft.crafted.blue_shulker_box: #2, 10(11%)
minecraft.crafted.blue_carpet: #2, 288(17%)
minecraft.picked_up.deepslate_brick_wall: #2, 231(12%)
minecraft.crafted.spruce_sign: #3, 273(11%)
minecraft.dropped.dark_oak_door: #2, 52(21%)
minecraft.crafted.acacia_door: #2, 54(17%)
minecraft.used.green_glazed_terracotta: #2, 71(21%)
minecraft.used.dark_oak_door: #2, 29(10%)
minecraft.used.cut_copper: #3, 752(16%)
minecraft.dropped.archer_pottery_sherd: #1, 1(100%)
minecraft.mined.potted_warped_fungus: #1, 1(100%)
minecraft.crafted.trident: #1, 1(100%)
minecraft.mined.deepslate: #3, 128696(10%)
minecraft.dropped.gravel: #3, 6757(11%)
minecraft.picked_up.weathered_cut_copper_stairs: #2, 8(24%)
minecraft.mined.weathered_cut_copper_stairs: #2, 8(27%)
minecraft.mined.composter: #3, 200(11%)
minecraft.picked_up.deepslate: #3, 44715(10%)
minecraft.used.deepslate_brick_wall: #3, 1236(14%)
minecraft.crafted.furnace: #3, 328(8%)
minecraft.picked_up.glass_pane: #3, 360(13%)
minecraft.mined.polished_deepslate_wall: #3, 204(12%)
minecraft.picked_up.spruce_sign: #3, 134(9%)
minecraft.used.end_stone_bricks: #3, 403(17%)
minecraft.used.iron_ore: #3, 1158(10%)
minecraft.picked_up.diamond: #3, 2941(8%)
minecraft.dropped.cobbled_deepslate: #3, 3990(9%)
minecraft.mined.blue_concrete_powder: #2, 5(21%)
minecraft.mined.deepslate_diamond_ore: #3, 2725(8%)
minecraft.mined.azalea: #3, 363(8%)
minecraft.dropped.phantom_membrane: #2, 24(8%)
minecraft.used.jungle_leaves: #3, 798(15%)
minecraft.mined.flowering_azalea: #3, 220(9%)
minecraft.mined.polished_andesite_stairs: #3, 200(9%)
minecraft.dropped.sugar_cane: #4, 1492(15%)
minecraft.crafted.waxed_cut_copper_slab: #2, 105(22%)
minecraft.picked_up.andesite_stairs: #3, 100(13%)
minecraft.picked_up.composter: #3, 202(10%)
minecraft.mined.blast_furnace: #3, 43(12%)
minecraft.used.mud_brick_stairs: #3, 391(19%)
minecraft.dropped.green_stained_glass: #2, 15(21%)
minecraft.picked_up.dark_oak_door: #3, 39(12%)
minecraft.used.spruce_sign: #4, 282(10%)
minecraft.crafted.iron_sword: #3, 20(9%)
minecraft.crafted.blue_wool: #3, 192(19%)
minecraft.mined.tuff: #3, 12227(7%)
minecraft.broken.golden_hoe: #2, 3(21%)
minecraft.mined.weathered_cut_copper: #2, 6(12%)
minecraft.picked_up.weathered_cut_copper: #2, 6(10%)
minecraft.used.spruce_stairs: #3, 1476(8%)
minecraft.crafted.spruce_stairs: #3, 1632(8%)
minecraft.mined.cyan_wall_banner: #2, 6(17%)
minecraft.used.diamond_block: #4, 528(13%)
minecraft.picked_up.deepslate_brick_stairs: #3, 480(9%)
minecraft.used.soul_campfire: #3, 50(17%)
minecraft.broken.golden_axe: #2, 3(14%)
minecraft.mined.moss_carpet: #3, 748(7%)
minecraft.custom.trigger_trapped_chest: #3, 73(9%)
minecraft.picked_up.wheat: #4, 5139(10%)
minecraft.crafted.oak_trapdoor: #3, 674(8%)
minecraft.dropped.tripwire_hook: #3, 13(19%)
minecraft.dropped.music_disc_pigstep: #2, 1(50%)
minecraft.dropped.rabbit_stew: #2, 1(20%)
minecraft.killed.skeleton_horse: #2, 2(33%)
minecraft.used.oak_trapdoor: #3, 602(7%)
minecraft.picked_up.spruce_door: #3, 32(7%)
minecraft.dropped.sculk: #2, 320(9%)
minecraft.dropped.glow_ink_sac: #3, 125(10%)
minecraft.crafted.cooked_porkchop: #3, 96(9%)
minecraft.picked_up.spyglass: #3, 12(10%)
minecraft.mined.purple_candle: #2, 6(24%)
minecraft.crafted.spruce_door: #3, 48(8%)
minecraft.picked_up.sculk_catalyst: #3, 116(12%)
minecraft.picked_up.lectern: #4, 942(10%)
minecraft.mined.deepslate_bricks: #4, 1655(11%)
minecraft.mined.spruce_door: #3, 20(8%)
minecraft.crafted.netherite_pickaxe: #3, 5(12%)
minecraft.picked_up.porkchop: #3, 153(6%)
minecraft.mined.lectern: #4, 942(11%)
minecraft.used.end_stone_brick_stairs: #2, 59(10%)
minecraft.dropped.golden_shovel: #2, 2(33%)
minecraft.picked_up.golden_shovel: #2, 1(33%)
minecraft.used.lectern: #4, 962(10%)
minecraft.picked_up.coal_block: #3, 388(7%)
minecraft.dropped.deepslate_brick_stairs: #2, 58(5%)
minecraft.used.hopper_minecart: #4, 194(10%)
minecraft.mined.soul_campfire: #3, 14(16%)
minecraft.crafted.clock: #3, 20(8%)
minecraft.picked_up.archer_pottery_sherd: #2, 4(12%)
minecraft.mined.cobbled_deepslate_slab: #3, 489(6%)
minecraft.mined.smoker: #3, 13(15%)
minecraft.picked_up.polished_andesite_stairs: #4, 252(9%)
minecraft.used.potato: #4, 722(9%)
minecraft.mined.mud_brick_slab: #3, 76(9%)
minecraft.crafted.purple_candle: #2, 128(6%)
minecraft.dropped.nether_gold_ore: #3, 51(9%)
minecraft.picked_up.blackstone_stairs: #3, 42(13%)
minecraft.picked_up.mud_brick_slab: #3, 79(8%)
minecraft.used.acacia_door: #3, 9(16%)
minecraft.picked_up.dark_oak_stairs: #4, 355(8%)
minecraft.mined.spruce_button: #4, 19(12%)
minecraft.custom.interact_with_smoker: #3, 39(7%)
minecraft.used.big_dripleaf: #3, 50(6%)
minecraft.used.deepslate_brick_slab: #4, 2415(10%)
minecraft.killed.frog: #3, 20(17%)
minecraft.used.chainmail_boots: #2, 1(4%)
minecraft.mined.cobblestone_wall: #3, 80(5%)
minecraft.dropped.cobblestone_wall: #3, 75(7%)
minecraft.dropped.enchanted_golden_apple: #3, 2(18%)
minecraft.used.smoker: #4, 21(12%)
minecraft.crafted.netherite_hoe: #3, 2(15%)
minecraft.dropped.deepslate_iron_ore: #3, 26(8%)
minecraft.killed.shulker: #4, 357(10%)
minecraft.used.torch: #4, 11594(6%)
minecraft.dropped.spyglass: #3, 4(11%)
minecraft.picked_up.poisonous_potato: #4, 17(10%)
minecraft.killed.axolotl: #2, 5(0%)
minecraft.used.oak_chest_boat: #3, 1(33%)
minecraft.crafted.oak_chest_boat: #3, 1(25%)
minecraft.dropped.lime_stained_glass: #3, 23(12%)
minecraft.mined.blackstone: #4, 11087(8%)
minecraft.picked_up.gilded_blackstone: #3, 56(6%)
minecraft.picked_up.sculk_shrieker: #4, 133(9%)
minecraft.used.axolotl_bucket: #4, 56(10%)
minecraft.picked_up.oak_stairs: #4, 221(7%)
minecraft.crafted.blue_bed: #3, 2(8%)
minecraft.picked_up.bamboo_slab: #3, 30(12%)
minecraft.dropped.seagrass: #3, 15(7%)
minecraft.mined.smooth_quartz_stairs: #4, 85(7%)
minecraft.picked_up.cobbled_deepslate_slab: #4, 832(7%)
minecraft.mined.spruce_stairs: #4, 253(6%)
minecraft.picked_up.cyan_banner: #3, 8(9%)
minecraft.used.blue_carpet: #3, 169(6%)
minecraft.custom.swim_one_cm: #5, 8744382(6%)
minecraft.dropped.deepslate_coal_ore: #3, 1(25%)
minecraft.used.wheat_seeds: #5, 5507(10%)
minecraft.crafted.black_shulker_box: #4, 29(8%)
minecraft.crafted.book: #4, 203(8%)
minecraft.used.trapped_chest: #3, 3(9%)
minecraft.mined.polished_andesite: #4, 299(7%)
minecraft.picked_up.end_stone_brick_stairs: #3, 5(11%)
minecraft.picked_up.nautilus_shell: #4, 29(9%)
minecraft.crafted.diamond_block: #5, 577(10%)
minecraft.mined.spruce_trapdoor: #4, 349(5%)
minecraft.used.spruce_door: #4, 37(7%)
minecraft.mined.end_stone_brick_stairs: #3, 5(10%)
minecraft.used.pufferfish_bucket: #3, 4(7%)
minecraft.crafted.baked_potato: #4, 493(8%)
minecraft.mined.cyan_banner: #3, 1(14%)
minecraft.dropped.orange_concrete: #3, 19(6%)
minecraft.mined.bamboo_slab: #3, 24(11%)
minecraft.mined.cobbled_deepslate: #5, 1886(8%)
minecraft.used.sculk_catalyst: #3, 480(4%)
minecraft.picked_up.prize_pottery_sherd: #3, 2(8%)
minecraft.mined.polished_deepslate_stairs: #4, 143(7%)
minecraft.dropped.redstone_block: #4, 145(6%)
minecraft.mined.spruce_wall_sign: #5, 56(10%)
minecraft.crafted.filled_map: #3, 664(3%)
minecraft.mined.sculk_catalyst: #3, 348(3%)
minecraft.dropped.cobbled_deepslate_wall: #3, 26(6%)
minecraft.crafted.terracotta: #3, 128(7%)
minecraft.crafted.written_book: #3, 23(3%)
minecraft.dropped.magenta_stained_glass: #3, 12(3%)
minecraft.mined.blue_carpet: #3, 12(4%)
minecraft.dropped.composter: #4, 9(10%)
minecraft.dropped.magma_cream: #4, 36(8%)
minecraft.picked_up.piglin_banner_pattern: #3, 1(7%)
minecraft.mined.wall_torch: #5, 680(6%)
minecraft.picked_up.campfire: #5, 160(10%)
minecraft.used.golden_hoe: #3, 18(3%)
minecraft.mined.chiseled_sandstone: #4, 13(9%)
minecraft.mined.potatoes: #5, 566(9%)
minecraft.dropped.deepslate_brick_wall: #3, 16(2%)
minecraft.picked_up.smoker: #4, 9(11%)
minecraft.crafted.stripped_warped_hyphae: #4, 48(16%)
minecraft.used.deepslate_bricks: #5, 8049(8%)
minecraft.crafted.white_wool: #5, 5879(9%)
minecraft.used.sculk_vein: #4, 355(8%)
minecraft.used.gray_dye: #4, 5(14%)
