stat, rank, value, (percentage) 
minecraft.used.structure_block: #1, 18(100%)
minecraft.custom.time_since_rest: #4, 19500004(5%)
minecraft.custom.time_since_death: #4, 19499979(5%)
minecraft.used.villager_spawn_egg: #2, 1(25%)
minecraft.used.compass: #4, 3(0%)
minecraft.used.lodestone: #6, 1(0%)
minecraft.used.daylight_detector: #8, 6(1%)
minecraft.used.cut_sandstone: #12, 9(0%)
minecraft.used.netherite_hoe: #15, 1(0%)
minecraft.custom.leave_game: #18, 781(2%)
minecraft.custom.fly_one_cm: #21, 57200535(2%)
minecraft.used.stone_hoe: #20, 1(0%)
minecraft.dropped.wheat_seeds: #21, 640(1%)
minecraft.custom.play_time: #24, 32513964(1%)
minecraft.custom.total_world_time: #24, 32513964(1%)
minecraft.used.obsidian: #24, 19(0%)
minecraft.dropped.gold_nugget: #24, 1(0%)
minecraft.used.hopper_minecart: #25, 1(0%)
minecraft.picked_up.wheat_seeds: #27, 132(0%)
minecraft.custom.walk_under_water_one_cm: #28, 468932(0%)
minecraft.used.observer: #28, 1(0%)
minecraft.picked_up.gold_nugget: #29, 1(0%)
minecraft.used.anvil: #31, 1(0%)
minecraft.picked_up.wheat: #31, 1(0%)
minecraft.custom.walk_on_water_one_cm: #32, 178326(0%)
minecraft.used.writable_book: #32, 1(0%)
minecraft.dropped.rotten_flesh: #32, 2(0%)
minecraft.custom.sneak_time: #33, 88561(0%)
minecraft.custom.interact_with_anvil: #33, 5(0%)
minecraft.used.chest: #35, 3(0%)
minecraft.custom.inspect_dropper: #35, 1(0%)
minecraft.picked_up.rotten_flesh: #36, 3(0%)
minecraft.custom.drop: #42, 13(0%)
minecraft.custom.deaths: #43, 2(0%)
minecraft.custom.sleep_in_bed: #43, 1(0%)
minecraft.custom.open_enderchest: #45, 1(0%)
minecraft.custom.walk_one_cm: #47, 49192(0%)
minecraft.custom.jump: #49, 73(0%)
minecraft.custom.sprint_one_cm: #49, 21734(0%)
minecraft.custom.open_chest: #49, 1(0%)
minecraft.custom.crouch_one_cm: #49, 729(0%)
minecraft.custom.damage_taken: #51, 60(0%)
minecraft.custom.fall_one_cm: #51, 211(0%)
